standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
-0.780227,0.283333,-0.925958,0.283333,-0.614124,0.283333,-0.569764,0.283333,-0.705191,0.283333,-0.942019,0.283333,-0.637953,0.283333,-0.784445,0.283333,-0.804887,0.283333,-0.528994,0.283333,-0.620452,0.283333,All
-0.759419,0.291667,-0.922378,0.291667,-0.607156,0.291667,-0.558653,0.291667,-0.702349,0.291667,-0.924117,0.291667,-0.630487,0.291667,-0.77754,0.291667,-0.782944,0.291667,-0.527211,0.291667,-0.598129,0.291667,All
-0.747585,0.3,-0.83943,0.3,-0.53074,0.3,-0.490135,0.3,-0.690261,0.3,-0.906026,0.3,-0.620491,0.3,-0.757085,0.3,-0.760484,0.3,-0.495481,0.3,-0.579824,0.3,All
-0.703422,0.308333,-0.826149,0.308333,-0.522625,0.308333,-0.489649,0.308333,-0.682519,0.308333,-0.877928,0.308333,-0.616352,0.308333,-0.736791,0.308333,-0.727618,0.308333,-0.488785,0.308333,-0.52413,0.308333,All
-0.68133,0.316667,-0.825603,0.316667,-0.517771,0.316667,-0.468326,0.316667,-0.659317,0.316667,-0.837533,0.316667,-0.597408,0.316667,-0.731451,0.316667,-0.684552,0.316667,-0.479148,0.316667,-0.457949,0.316667,All
-0.63487,0.325,-0.785801,0.325,-0.452274,0.325,-0.458415,0.325,-0.653845,0.325,-0.828705,0.325,-0.573114,0.325,-0.708687,0.325,-0.683536,0.325,-0.438163,0.325,-0.454879,0.325,All
-0.60312,0.333333,-0.755322,0.333333,-0.428127,0.333333,-0.456217,0.333333,-0.588659,0.333333,-0.770293,0.333333,-0.557843,0.333333,-0.680442,0.333333,-0.682681,0.333333,-0.413978,0.333333,-0.453726,0.333333,All
-0.597316,0.341667,-0.752864,0.341667,-0.394647,0.341667,-0.435465,0.341667,-0.585692,0.341667,-0.76971,0.341667,-0.536317,0.341667,-0.648043,0.341667,-0.676898,0.341667,-0.413822,0.341667,-0.44193,0.341667,All
-0.595021,0.35,-0.74373,0.35,-0.355692,0.35,-0.412575,0.35,-0.559969,0.35,-0.757396,0.35,-0.532905,0.35,-0.632855,0.35,-0.660471,0.35,-0.404875,0.35,-0.413078,0.35,All
-0.588675,0.358333,-0.729033,0.358333,-0.346937,0.358333,-0.392005,0.358333,-0.538448,0.358333,-0.733987,0.358333,-0.524864,0.358333,-0.620877,0.358333,-0.631557,0.358333,-0.381083,0.358333,-0.359817,0.358333,All
-0.578728,0.366667,-0.70334,0.366667,-0.255012,0.366667,-0.39155,0.366667,-0.537634,0.366667,-0.728559,0.366667,-0.491755,0.366667,-0.59456,0.366667,-0.620999,0.366667,-0.370897,0.366667,-0.318575,0.366667,All
-0.545388,0.375,-0.696439,0.375,-0.25334,0.375,-0.381908,0.375,-0.492744,0.375,-0.70818,0.375,-0.487318,0.375,-0.559216,0.375,-0.58416,0.375,-0.370013,0.375,-0.315302,0.375,All
-0.520059,0.383333,-0.628803,0.383333,-0.222414,0.383333,-0.36432,0.383333,-0.432932,0.383333,-0.636497,0.383333,-0.4707,0.383333,-0.546517,0.383333,-0.54863,0.383333,-0.361305,0.383333,-0.290746,0.383333,All
-0.458654,0.391667,-0.606727,0.391667,-0.180508,0.391667,-0.359898,0.391667,-0.410596,0.391667,-0.627852,0.391667,-0.462535,0.391667,-0.535947,0.391667,-0.529467,0.391667,-0.35503,0.391667,-0.279188,0.391667,All
-0.447085,0.4,-0.591807,0.4,-0.168548,0.4,-0.355885,0.4,-0.388007,0.4,-0.616888,0.4,-0.447818,0.4,-0.447291,0.4,-0.489692,0.4,-0.340783,0.4,-0.238262,0.4,All
-0.440863,0.408333,-0.535891,0.408333,-0.109721,0.408333,-0.34527,0.408333,-0.378258,0.408333,-0.599674,0.408333,-0.436907,0.408333,-0.428903,0.408333,-0.475895,0.408333,-0.318597,0.408333,-0.231172,0.408333,All
-0.428422,0.416667,-0.476031,0.416667,-0.0410713,0.416667,-0.335608,0.416667,-0.318684,0.416667,-0.586078,0.416667,-0.348081,0.416667,-0.406445,0.416667,-0.424092,0.416667,-0.309453,0.416667,-0.231135,0.416667,All
-0.382219,0.425,-0.457515,0.425,-0.0195025,0.425,-0.310031,0.425,-0.271401,0.425,-0.515996,0.425,-0.281953,0.425,-0.386879,0.425,-0.415619,0.425,-0.295711,0.425,-0.221065,0.425,All
-0.376828,0.433333,-0.393992,0.433333,0.0032077,0.433333,-0.265875,0.433333,-0.158656,0.433333,-0.45665,0.433333,-0.280759,0.433333,-0.383262,0.433333,-0.407943,0.433333,-0.27896,0.433333,-0.21048,0.433333,All
-0.348056,0.441667,-0.384666,0.441667,0.0170313,0.441667,-0.256233,0.441667,-0.127245,0.441667,-0.414662,0.441667,-0.278669,0.441667,-0.344259,0.441667,-0.358988,0.441667,-0.252148,0.441667,-0.209493,0.441667,All
-0.323509,0.45,-0.338309,0.45,0.0239553,0.45,-0.240034,0.45,-0.0926674,0.45,-0.404158,0.45,-0.220224,0.45,-0.330151,0.45,-0.358671,0.45,-0.243224,0.45,-0.177447,0.45,All
-0.296412,0.458333,-0.302853,0.458333,0.0531078,0.458333,-0.232244,0.458333,0.0451084,0.458333,-0.362346,0.458333,-0.195807,0.458333,-0.324193,0.458333,-0.332507,0.458333,-0.199974,0.458333,-0.176618,0.458333,All
-0.293522,0.466667,-0.279015,0.466667,0.0624002,0.466667,-0.214146,0.466667,0.100231,0.466667,-0.259309,0.466667,-0.184142,0.466667,-0.269145,0.466667,-0.327312,0.466667,-0.172581,0.466667,-0.155461,0.466667,All
-0.207077,0.475,-0.259844,0.475,0.112484,0.475,-0.204123,0.475,0.14634,0.475,-0.244675,0.475,-0.162892,0.475,-0.261773,0.475,-0.321438,0.475,-0.147002,0.475,-0.142833,0.475,All
-0.192648,0.483333,-0.227495,0.483333,0.159732,0.483333,-0.17421,0.483333,0.153545,0.483333,-0.233807,0.483333,-0.159823,0.483333,-0.249955,0.483333,-0.267824,0.483333,-0.130041,0.483333,-0.125169,0.483333,All
-0.177726,0.491667,-0.181738,0.491667,0.188637,0.491667,-0.154283,0.491667,0.166422,0.491667,-0.173981,0.491667,-0.0929324,0.491667,-0.230244,0.491667,-0.2641,0.491667,-0.126367,0.491667,-0.116348,0.491667,All
-0.0946788,0.5,-0.118753,0.5,0.213921,0.5,-0.111798,0.5,0.319792,0.5,-0.104469,0.5,-0.050653,0.5,-0.197679,0.5,-0.253374,0.5,-0.106842,0.5,-0.100956,0.5,All
-0.0498332,0.508333,-0.0625834,0.508333,0.247039,0.508333,-0.0901998,0.508333,0.377158,0.508333,-0.10357,0.508333,-0.0483145,0.508333,-0.131205,0.508333,-0.208129,0.508333,-0.0871218,0.508333,-0.0293138,0.508333,All
0.000955082,0.516667,-0.0291824,0.516667,0.254844,0.516667,-0.0794905,0.516667,0.3788,0.516667,-0.0736193,0.516667,-0.0132957,0.516667,-0.128495,0.516667,-0.185062,0.516667,-0.044791,0.516667,-0.0224271,0.516667,All
0.0181879,0.525,-0.0172421,0.525,0.264509,0.525,-0.0126456,0.525,0.427834,0.525,-0.0735616,0.525,-0.0115963,0.525,-0.127751,0.525,-0.175383,0.525,0.0117921,0.525,-0.00418952,0.525,All
0.0280866,0.533333,0.0947129,0.533333,0.276324,0.533333,0.041105,0.533333,0.449025,0.533333,-0.0269291,0.533333,0.0207489,0.533333,-0.121657,0.533333,-0.124301,0.533333,0.0281388,0.533333,0.0119165,0.533333,All
0.0343146,0.541667,0.166121,0.541667,0.282267,0.541667,0.184564,0.541667,0.497254,0.541667,0.051329,0.541667,0.0386755,0.541667,-0.0579906,0.541667,-0.120501,0.541667,0.0722963,0.541667,0.0228123,0.541667,All
0.0370004,0.55,0.187537,0.55,0.302707,0.55,0.215213,0.55,0.546844,0.55,0.100398,0.55,0.0683935,0.55,-0.015341,0.55,-0.0578273,0.55,0.0760377,0.55,0.0261497,0.55,All
0.0394802,0.558333,0.22787,0.558333,0.316328,0.558333,0.249429,0.558333,0.554365,0.558333,0.10651,0.558333,0.0899518,0.558333,0.0251554,0.558333,-0.0501797,0.558333,0.0763452,0.558333,0.0506012,0.558333,All
0.0634029,0.566667,0.235184,0.566667,0.36106,0.566667,0.266054,0.566667,0.586878,0.566667,0.120267,0.566667,0.100119,0.566667,0.157301,0.566667,-0.0423925,0.566667,0.0779406,0.566667,0.056882,0.566667,All
0.101492,0.575,0.249505,0.575,0.366218,0.575,0.273125,0.575,0.588609,0.575,0.137572,0.575,0.174226,0.575,0.343725,0.575,-0.0375751,0.575,0.094021,0.575,0.0657018,0.575,All
0.125034,0.583333,0.268385,0.583333,0.373771,0.583333,0.302199,0.583333,0.675878,0.583333,0.142288,0.583333,0.288117,0.583333,0.346098,0.583333,-0.0278605,0.583333,0.0955453,0.583333,0.0717241,0.583333,All
0.135947,0.591667,0.269441,0.591667,0.380797,0.591667,0.316359,0.591667,0.719026,0.591667,0.227796,0.591667,0.296342,0.591667,0.365409,0.591667,-0.0233958,0.591667,0.120613,0.591667,0.131953,0.591667,All
0.148771,0.6,0.271119,0.6,0.441869,0.6,0.361386,0.6,0.719999,0.6,0.309005,0.6,0.297732,0.6,0.389155,0.6,-0.0190184,0.6,0.160802,0.6,0.145962,0.6,All
0.278344,0.608333,0.340949,0.608333,0.568438,0.608333,0.426321,0.608333,0.768196,0.608333,0.394122,0.608333,0.365997,0.608333,0.389346,0.608333,-0.0119975,0.608333,0.172775,0.608333,0.149582,0.608333,All
0.306277,0.616667,0.341702,0.616667,0.584928,0.616667,0.455805,0.616667,0.788318,0.616667,0.398682,0.616667,0.406592,0.616667,0.43575,0.616667,0.0767353,0.616667,0.199938,0.616667,0.17674,0.616667,All
0.330512,0.625,0.394705,0.625,0.594813,0.625,0.463095,0.625,0.802099,0.625,0.429073,0.625,0.41087,0.625,0.459033,0.625,0.116152,0.625,0.231433,0.625,0.209755,0.625,All
0.359923,0.633333,0.434555,0.633333,0.623054,0.633333,0.470748,0.633333,0.805823,0.633333,0.447261,0.633333,0.429473,0.633333,0.482756,0.633333,0.141457,0.633333,0.27621,0.633333,0.235103,0.633333,All
0.400282,0.641667,0.442006,0.641667,0.625819,0.641667,0.476472,0.641667,0.811722,0.641667,0.478104,0.641667,0.437898,0.641667,0.48639,0.641667,0.19429,0.641667,0.304566,0.641667,0.244719,0.641667,All
0.425146,0.65,0.453348,0.65,0.638349,0.65,0.499328,0.65,0.81769,0.65,0.478391,0.65,0.454009,0.65,0.518042,0.65,0.250332,0.65,0.306112,0.65,0.267925,0.65,All
0.42997,0.658333,0.462708,0.658333,0.643213,0.658333,0.527967,0.658333,0.850088,0.658333,0.525532,0.658333,0.477763,0.658333,0.520964,0.658333,0.28655,0.658333,0.309722,0.658333,0.272064,0.658333,All
0.446922,0.666667,0.488632,0.666667,0.66359,0.666667,0.538009,0.666667,0.859961,0.666667,0.58723,0.666667,0.49421,0.666667,0.530388,0.666667,0.564025,0.666667,0.327918,0.666667,0.288628,0.666667,All
0.462112,0.675,0.511304,0.675,0.675795,0.675,0.549796,0.675,0.872896,0.675,0.592161,0.675,0.52033,0.675,0.537783,0.675,0.570878,0.675,0.366835,0.675,0.295088,0.675,All
0.476288,0.683333,0.528378,0.683333,0.682854,0.683333,0.553768,0.683333,0.878782,0.683333,0.595298,0.683333,0.53035,0.683333,0.581359,0.683333,0.641199,0.683333,0.39829,0.683333,0.34697,0.683333,All
0.513102,0.691667,0.559851,0.691667,0.698177,0.691667,0.563431,0.691667,0.891274,0.691667,0.633767,0.691667,0.579596,0.691667,0.611683,0.691667,0.649863,0.691667,0.437751,0.691667,0.355128,0.691667,All
0.558985,0.7,0.57908,0.7,0.703141,0.7,0.571776,0.7,0.910735,0.7,0.643857,0.7,0.594899,0.7,0.631696,0.7,0.656457,0.7,0.467314,0.7,0.380639,0.7,All
0.574837,0.708333,0.588678,0.708333,0.717035,0.708333,0.586629,0.708333,0.91318,0.708333,0.663555,0.708333,0.651933,0.708333,0.706501,0.708333,0.688419,0.708333,0.468254,0.708333,0.413396,0.708333,All
0.587978,0.716667,0.60657,0.716667,0.738455,0.716667,0.59376,0.716667,0.916577,0.716667,0.671091,0.716667,0.67832,0.716667,0.734625,0.716667,0.693258,0.716667,0.501201,0.716667,0.439243,0.716667,All
0.603838,0.725,0.608713,0.725,0.753372,0.725,0.611723,0.725,0.917292,0.725,0.671985,0.725,0.680758,0.725,0.758266,0.725,0.743249,0.725,0.572589,0.725,0.462627,0.725,All
0.610003,0.733333,0.641147,0.733333,0.760693,0.733333,0.622024,0.733333,0.917453,0.733333,0.681587,0.733333,0.683322,0.733333,0.773762,0.733333,0.783451,0.733333,0.595104,0.733333,0.464494,0.733333,All
0.634451,0.741667,0.648479,0.741667,0.80507,0.741667,0.624819,0.741667,0.932833,0.741667,0.707441,0.741667,0.707335,0.741667,0.797306,0.741667,0.814425,0.741667,0.597271,0.741667,0.474685,0.741667,All
0.677656,0.75,0.665521,0.75,0.829252,0.75,0.627832,0.75,0.935621,0.75,0.733381,0.75,0.708088,0.75,0.832604,0.75,0.821476,0.75,0.653518,0.75,0.512626,0.75,All
0.681954,0.758333,0.68198,0.758333,0.830068,0.758333,0.633259,0.758333,0.951624,0.758333,0.791337,0.758333,0.739969,0.758333,0.851023,0.758333,0.889877,0.758333,0.691853,0.758333,0.51663,0.758333,All
0.703095,0.766667,0.749525,0.766667,0.837132,0.766667,0.64011,0.766667,0.984678,0.766667,0.852074,0.766667,0.759762,0.766667,0.880634,0.766667,0.894307,0.766667,0.716819,0.766667,0.51955,0.766667,All
0.707208,0.775,0.77342,0.775,0.848606,0.775,0.641365,0.775,1.02882,0.775,0.898094,0.775,0.766059,0.775,0.893383,0.775,0.909967,0.775,0.722422,0.775,0.532089,0.775,All
0.718969,0.783333,0.865306,0.783333,0.852828,0.783333,0.682625,0.783333,1.0416,0.783333,0.906004,0.783333,0.767124,0.783333,0.909973,0.783333,0.925663,0.783333,0.731415,0.783333,0.542199,0.783333,All
0.85127,0.791667,0.868968,0.791667,0.955834,0.791667,0.688622,0.791667,1.05185,0.791667,0.958577,0.791667,0.828015,0.791667,1.00651,0.791667,0.951146,0.791667,0.817102,0.791667,0.568156,0.791667,All
0.906812,0.8,0.869029,0.8,0.979651,0.8,0.694658,0.8,1.05542,0.8,0.980876,0.8,0.832062,0.8,1.00802,0.8,0.954961,0.8,0.825031,0.8,0.64271,0.8,All
0.916125,0.808333,0.886204,0.808333,0.985452,0.808333,0.708931,0.808333,1.07533,0.808333,0.991263,0.808333,0.883769,0.808333,1.01839,0.808333,0.996743,0.808333,0.849246,0.808333,0.648108,0.808333,All
1.05753,0.816667,0.916493,0.816667,1.0142,0.816667,0.713926,0.816667,1.08257,0.816667,0.99201,0.816667,0.901826,0.816667,1.01899,0.816667,1.05907,0.816667,0.917503,0.816667,0.696729,0.816667,All
