rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_q_exp_simulated,standEta_ifn0_simulated,filter
4,9,-0.293522,-0.227495,1.02411,-0.34527,0.805823,-1.22446,-0.0483145,-0.230244,-0.915239,0.366835,0.0717241,0
5,9,-0.588675,-1.08946,1.31794,-0.0901998,1.27963,-1.91535,-0.620491,-0.731451,-1.70817,0.304566,0.0119165,0
6,9,-0.0498332,0.249505,0.738455,-0.738071,0.0451084,-0.233807,0.759762,1.00802,-0.120501,-0.126367,-0.44193,0
7,9,-0.323509,-0.922378,1.09731,-0.468326,0.719999,-1.21863,-0.278669,-0.269145,-1.02609,0.467314,-0.70565,0
8,9,-0.63487,-2.2904,1.14183,-0.240034,1.08257,-1.81692,-1.13116,-0.77754,-1.26481,1.3339,1.0754,0
9,9,-0.177726,-0.825603,0.594813,-0.232244,0.802099,-1.21935,-0.050653,0.157301,-0.489692,1.32421,0.568156,0
10,9,-0.458654,-0.983374,0.638349,-0.17421,0.878782,-1.3588,-0.436907,-0.88741,-1.13551,0.825031,0.0261497,0
1,10,0.677656,-1.12391,0.254844,-1.11245,0.910735,-1.16955,0.683322,0.706501,-0.682681,0.716819,-0.221065,0
2,10,0.359923,-1.2755,-0.0410713,-1.13879,0.811722,-0.9465,0.0899518,0.48639,-0.327312,0.817102,-0.726945,0
3,10,0.0280866,-0.279015,1.24882,-1.06866,0.377158,-0.362346,0.49421,1.00651,-0.2641,-0.172581,-0.933788,0
4,10,0.906812,-0.752864,0.366218,-0.971162,1.12837,-1.58006,0.767124,1.15434,-0.620999,0.172775,0.267925,0
5,10,0.587978,-0.259844,0.188637,-1.52416,0.319792,-0.259309,1.41768,1.31771,-0.175383,-0.595949,-0.816121,0
6,10,0.0394802,-1.25635,0.643213,-1.04067,0.91318,-1.19858,0.365997,0.773762,-0.815743,0.991534,0.288628,0
7,10,0.42997,-0.393992,0.703141,-1.09172,0.788318,-0.906026,0.680758,1.04745,-0.760484,-0.495481,-0.665481,0
8,10,0.558985,-0.606727,0.302707,-1.13316,0.554365,-0.636497,0.936965,0.734625,-0.321438,0.309722,-1.28226,0
9,10,0.0181879,-1.09517,0.753372,-1.22347,1.0416,-1.24336,0.296342,0.909973,-0.631557,0.952689,-0.00418952,0
10,10,0.476288,-0.338309,0.373771,-1.09061,0.546844,-0.586078,1.2132,1.31251,-0.0423925,-0.044791,-0.579824,0
1,11,-0.935115,-1.2695,1.61778,-0.359898,1.2093,-1.54498,-0.491755,0.346098,-1.43545,0.0779406,-1.03368,0
2,11,-1.68905,-0.925958,0.80507,-0.335608,1.20745,-0.877928,-1.0099,-1.0293,-1.21307,-0.147002,-1.21838,0
3,11,-0.440863,-1.07561,0.213921,-0.569764,0.917292,-0.76971,-0.573114,0.343725,-0.358988,-0.106842,-0.777052,0
4,11,-1.13397,-0.950097,1.29638,-0.39155,0.984678,-0.968837,-0.78943,-0.428903,-0.962339,-0.318597,-0.359817,0
5,11,-0.296412,-1.6893,0.264509,-0.214146,1.47935,-1.78096,-0.4707,0.530388,-0.683536,1.05753,0.413396,0
6,11,-0.982254,-1.71208,0.760693,-0.310031,1.93788,-2.43661,-0.462535,0.832604,-1.38053,0.306112,0.464494,0
7,11,-1.0633,-0.983497,1.2307,-0.458415,1.08764,-1.03868,-0.999953,-0.559216,-1.43236,-0.943203,-1.49917,0
8,11,-0.759419,-0.755322,0.623054,-0.809166,0.449025,-0.244675,-0.532905,-0.261773,-0.54863,0.0117921,-0.828863,0
9,11,-1.50805,-0.729033,1.29303,-0.36432,1.18281,-1.0314,-0.849549,-0.131205,-1.14127,-0.661968,-0.657046,0
10,11,-1.34467,-1.54143,0.955834,-0.256233,1.28232,-1.09746,-0.524864,0.581359,-0.58416,0.653518,-0.52413,0
1,12,-0.837253,-1.71567,-0.708934,2.43304,1.25262,-1.50057,-2.03242,-1.02468,-0.660471,2.28771,1.79953,0
2,12,-0.595021,-1.68758,-1.00182,2.2636,0.872896,-0.828705,-1.75177,-0.447291,-0.0233958,2.43511,2.20981,0
3,12,-0.814274,-2.156,-1.29208,2.46192,1.14666,-1.18541,-2.05419,-0.736791,-0.185062,2.9641,3.02893,0
4,12,-1.02118,-1.92465,-0.614124,2.40139,1.07533,-1.06221,-2.03919,-0.787019,-0.415619,2.51631,2.15327,0
5,12,-0.545388,-1.54019,-0.748696,2.31941,1.09163,-1.43251,-1.32514,-0.121657,-0.124301,2.51092,3.12596,0
6,12,-0.60312,-0.993192,-0.25334,2.47459,1.05542,-1.41385,-1.16188,-0.406445,-0.529467,2.19474,2.11914,0
7,12,-0.816478,-1.69178,-1.32615,2.37629,1.23696,-1.26758,-1.81335,-0.648043,-0.332507,2.1571,1.92943,0
8,12,-0.93162,-0.826149,-0.663072,2.42362,1.09545,-1.06407,-1.4403,-0.784445,-0.475895,2.37051,2.73972,0
9,12,-0.872103,-1.49846,-0.942918,2.32868,0.891274,-0.733987,-2.18318,-0.708687,-0.208129,2.23852,1.51425,0
10,12,-0.922609,-1.31946,-0.833158,2.43402,1.2482,-1.2592,-1.38874,-0.197679,-0.424092,1.91145,2.37837,0
1,13,1.71092,1.10408,-0.953078,-1.19465,-1.10189,0.633767,1.34694,1.01899,0.996743,0.160802,-0.655252,0
2,13,1.56149,0.9743,-0.729206,-0.84373,-1.16927,0.791337,1.22653,0.851023,0.889877,-0.309453,-0.457949,0
3,13,1.52867,1.39576,-0.0195025,-1.1475,-0.812463,0.227796,2.04427,1.20057,0.656457,-0.564611,-1.1713,0
4,13,1.79688,0.268385,-0.222414,-1.33163,-0.782355,0.137572,1.48905,1.38817,0.641199,-0.707325,-1.32714,0
5,13,1.8332,1.34624,-0.869175,-1.45173,-1.12963,0.663555,1.89688,1.23078,0.909967,-0.649693,-0.231135,0
6,13,1.54618,0.559851,-0.452274,-0.589097,-0.702349,0.100398,1.37318,1.11849,0.688419,0.501201,0.532089,0
7,13,1.98894,1.49823,-0.428127,-2.5562,-1.78859,1.10181,2.56031,1.0329,1.09878,-0.557252,-1.4685,0
8,13,1.36216,-0.476031,-0.851246,-1.18138,-0.538448,-0.0735616,0.969715,1.432,0.925663,0.849246,0.272064,0
9,13,1.58353,0.916493,-0.817649,-0.599505,-0.945974,0.595298,1.36342,0.880634,0.954961,0.327918,0.235103,0
10,13,2.21019,1.06189,-0.682859,-1.39902,-1.20819,0.429073,2.11963,1.01839,0.814425,-0.252148,-0.790903,0
1,14,0.330512,0.394705,0.0531078,-0.743187,-0.158656,0.478391,0.67832,0.537783,-0.0375751,-1.05804,-0.279188,0
2,14,-0.192648,0.77342,1.18703,-0.593152,0.14634,-0.0269291,0.288117,-0.127751,-0.358671,-0.361305,-0.0293138,0
3,14,0.101492,0.588678,1.17949,-0.412575,0.497254,-0.45665,0.477763,-0.128495,-0.782944,-1.13552,-1.49349,0
4,14,0.0634029,0.442006,0.36106,-0.580246,0.100231,0.10651,0.406592,0.389155,-0.253374,-1.04915,-0.65659,0
5,14,-0.520059,0.869029,1.14832,-1.39545,-0.559969,0.99201,0.883769,0.518042,0.250332,-1.68842,-1.01914,0
6,14,0.135947,0.865306,0.584928,-0.435465,0.166422,0.142288,0.651933,-0.0579906,-0.407943,-1.18162,-1.02734,0
7,14,0.125034,0.271119,0.282267,-1.0703,-0.378258,0.707441,0.832062,0.43575,0.116152,-0.528994,-1.08533,0
8,14,0.0370004,0.269441,1.37338,-0.381908,0.935621,-1.03322,0.766059,0.631696,-1.14081,-0.624105,0.17674,0
9,14,0.610003,0.187537,0.441869,-0.636038,-0.0926674,0.394122,1.15164,0.758266,-0.0501797,-0.381083,-0.750153,0
10,14,0.513102,1.11382,-0.180508,-1.11161,-0.871681,1.20939,0.974643,0.459033,0.693258,-1.59164,-1.40873,0
1,15,0.634451,0.948758,-0.522625,0.463095,-0.653845,0.681587,1.20624,2.21696,1.2253,0.595104,1.06604,0
2,15,0.916125,0.60657,-1.58458,0.476472,-0.537634,0.671985,0.901826,1.84786,1.50375,1.22582,1.20258,0
3,15,1.79952,0.511304,-2.19157,-0.111798,-1.06942,1.05257,1.53339,2.14565,2.07169,1.51408,0.64271,0
4,15,0.681954,0.488632,-1.23656,0.563431,-0.388007,0.525532,0.594899,1.43969,1.17292,0.231433,0.696729,0
5,15,1.5278,0.462708,-1.49632,0.184564,-0.925311,0.906004,1.18129,2.27712,2.02465,1.56779,1.17503,0
6,15,0.603838,0.641147,-1.42653,0.611723,-0.410596,0.671091,0.948596,2.02108,1.47817,0.917503,0.512626,0
7,15,0.278344,0.0947129,-1.20873,0.041105,-0.271401,0.478104,0.707335,1.79597,1.23052,0.572589,0.131953,0
8,15,1.1202,1.19117,-1.21503,0.553768,-0.659317,0.733381,1.1365,2.23549,1.11492,0.437751,0.912007,0
9,15,1.28369,0.434555,-0.80702,0.874599,-0.432932,0.398682,0.739969,1.9437,1.07882,1.02348,1.42257,0
10,15,0.400282,0.528378,-0.517771,0.426321,-0.588659,0.592161,0.828015,2.23242,1.30054,0.597271,0.51955,0
1,16,0.148771,0.340949,-0.255012,-0.982505,-1.06336,0.898094,0.429473,-0.680442,0.743249,-0.404875,-0.775674,0
2,16,0.000955082,0.57908,0.112484,-0.0126456,-0.849255,0.58723,-0.0115963,-1.87048,0.28655,-0.627769,-0.231172,0
3,16,1.51525,1.93244,-0.53074,-1.05951,-1.89743,1.36249,0.579596,-0.546517,0.951146,-2.47783,-0.76138,0
4,16,0.446922,0.868968,-0.394647,-0.355885,-0.705191,0.447261,0.0683935,-0.324193,0.649863,-0.857713,-0.318575,0
5,16,0.85127,0.648479,-0.607156,-0.456217,-1.33849,0.958577,0.454009,-0.802386,0.894307,-0.565006,-0.100956,0
6,16,0.462112,1.35166,0.276324,-0.558653,-1.44798,1.10588,0.53035,-0.344259,0.783451,-0.699177,-0.877771,0
7,16,-0.348056,1.57604,0.829252,0.302199,-0.492744,0.309005,-0.220224,-1.36717,-0.267824,-0.67006,-0.155461,0
8,16,1.43618,0.955862,-1.30464,-0.154283,-1.44638,1.18293,0.708088,0.0251554,1.18368,-0.199974,0.244719,0
9,16,0.574837,1.36338,-0.355692,-0.774674,-1.57075,1.37393,1.38805,-0.015341,1.05907,-0.479148,-1.05556,0
10,16,0.306277,-0.302853,-0.168548,-1.52133,-1.21773,0.852074,-0.281953,-1.00906,0.821476,-0.35503,-0.640903,0
1,17,0.0343146,1.53169,0.717035,-0.0794905,-1.64114,1.49398,0.41087,-2.11795,-0.0578273,-1.89705,-0.21048,0
2,17,-0.578728,0.235184,0.0032077,0.688622,-0.682519,0.991263,-0.616352,-1.35975,-0.0190184,-0.413978,0.439243,0
3,17,-0.382219,1.53111,0.247039,0.316359,-0.960103,1.15375,-0.714996,-1.83882,-0.0119975,-1.46932,-0.987999,0
4,17,-1.18715,-0.628803,0.830068,0.962087,0.3788,-0.0736193,-1.55447,-1.51186,-0.676898,-0.370013,0.0657018,0
5,17,-0.747585,0.453348,0.0170313,0.694658,-0.318684,0.643857,-0.630487,-1.07607,-0.0278605,-0.581814,-0.453726,0
6,17,-0.376828,0.68198,0.0624002,-0.490135,-1.38327,1.53705,-0.536317,-1.39191,0.564025,-0.83474,-1.60824,0
7,17,-0.447085,0.608713,-0.109721,0.627832,-0.690261,0.980876,-0.348081,-1.11614,0.141457,-0.619329,-0.315302,0
8,17,-0.428422,1.1705,0.316328,0.571776,-1.09394,1.32569,-0.184142,-1.87534,0.19429,-0.647822,-0.209493,0
9,17,-1.15302,-0.457515,0.568438,0.899389,0.153545,0.120267,-0.935668,-0.82634,-0.804887,-0.800889,-0.116348,0
10,17,-0.68133,0.166121,-0.346937,0.455805,-0.585692,1.0004,-0.637953,-0.535947,0.570878,-0.527211,-0.598129,0
1,18,-1.43275,0.22787,0.985452,0.772645,0.81769,-0.404158,-1.03296,-0.905521,-1.0335,-0.243224,0.056882,0
2,18,-1.21199,-0.0172421,1.0917,0.622024,0.586878,-0.173981,-1.02485,-1.46109,-0.862137,-0.340783,-0.142833,0
3,18,-1.25365,-1.41829,0.675795,0.499328,1.02882,-0.942019,-1.60538,-1.29907,-1.09685,0.731415,0.355128,0
4,18,-1.26416,-0.181738,0.66359,0.249429,0.427834,0.051329,-1.32816,-1.99937,-0.727618,-0.488785,-0.672388,0
5,18,-1.50953,-0.535891,0.848606,0.713926,0.859961,-0.10357,-1.67337,-1.39471,-0.684552,-0.295711,-0.413078,0
6,18,-1.53278,-0.0625834,0.698177,0.641365,1.13227,-0.627852,-0.953852,-0.386879,-1.126,-0.6397,0.0506012,0
7,18,-1.42095,-1.46278,0.979651,0.59376,0.916577,-0.757396,-1.23552,-0.59456,-0.993262,0.199938,0.380639,0
8,18,-0.920838,-1.05713,0.625819,1.09202,1.28426,-0.770293,-1.17313,-0.620877,-1.11354,0.0760377,0.149582,0
9,18,-1.35834,-1.38344,1.0142,0.682625,1.1688,-0.988698,-1.47246,-1.06649,-1.41561,0.722422,0.892267,0
10,18,-1.36666,-1.25925,0.159732,0.771133,1.09062,-0.616888,-1.97768,-1.25408,-1.09545,0.094021,0.474685,0
