ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
8,8,6.43148,1.30727,1.30727,7.24358,1.09312,1.09312,7.4902,0.817588,0.817588,6.43148,1.44415,1.44415,0,All,#4682B4,0
8,8.5,6.12263,0.785951,0.785951,6.83989,0.390042,0.390042,7.14114,0.0534732,0.0534732,6.12263,0.803437,0.803437,0,All,#4682B4,0
8,9,5.84436,1.51777,1.51777,6.39911,1.74723,1.74723,6.75359,1.3512,1.3512,5.84436,1.68984,1.68984,0,All,#4682B4,0
8,9.5,5.60406,1.17372,1.17372,5.92539,1.63296,1.63296,6.33172,1.179,1.179,5.60406,1.32456,1.32456,0,All,#4682B4,0
8,10,5.37388,1.34546,1.34546,5.42541,2.07313,2.07313,5.88133,1.56375,1.56375,5.37388,1.40704,1.40704,0,All,#4682B4,0
8,10.5,5.14024,0.301341,0.301341,4.91286,0.801213,0.801213,5.41041,0.245335,0.245335,5.14024,0.274073,0.274073,0,All,#4682B4,0
8,11,4.91488,-0.0570289,-0.0570289,4.41216,0.423252,0.423252,4.93389,-0.159646,-0.159646,4.91488,-0.157325,-0.157325,0,All,#4682B4,0
8,11.5,4.7063,0.869032,0.869032,3.9583,2.34697,2.34697,4.47607,1.7685,1.7685,4.7063,0.784943,0.784943,0,All,#4682B4,0
8,12,4.51848,-0.652192,-0.652192,3.58442,-0.10325,-0.10325,4.063,-0.637936,-0.637936,4.51848,-0.701842,-0.701842,0,All,#4682B4,0
8,12.5,4.35198,-0.235318,-0.235318,3.30484,0.566617,0.566617,3.71631,0.106908,0.106908,4.35198,-0.225649,-0.225649,0,All,#4682B4,0
8,13,4.20908,-0.641278,-0.950988,3.11255,-0.125739,-0.533775,3.44607,-0.498363,-0.611202,4.20908,-0.658182,-0.916703,1,All,#4682B4,0
8,13.5,4.07652,0.10572,0.10572,2.98976,1.08175,1.08175,3.25192,0.788852,0.788852,4.07652,0.0353584,0.0353584,0,All,#4682B4,0
8,14,3.95997,-0.35399,-0.700122,2.91664,0.0931364,-0.457464,3.11772,-0.131521,-2.10116,3.95997,-0.431391,-0.787197,1,All,#4682B4,0
8,14.5,3.85189,0.232203,0.232203,2.87742,1.00057,1.00057,3.02934,0.83084,0.83084,3.85189,0.177321,0.177321,0,All,#4682B4,0
8,15,3.74766,-0.113604,-0.342234,2.85873,0.157836,-0.60874,2.97368,0.0294016,-1.12583,3.74766,-0.140543,-0.425324,1,All,#4682B4,0
8,15.5,3.64832,-0.0313587,-0.208376,2.84929,0.168381,-0.542475,2.93994,0.0670977,-0.136319,3.64832,-0.115849,-0.289326,1,All,#4682B4,0
8,16,3.54986,0.0285695,-0.152561,2.84704,0.17089,0.127569,2.92027,0.0890772,-0.266539,3.54986,-0.0217181,-0.24592,1,All,#4682B4,0
8,16.5,3.45107,0.490016,0.490016,2.84971,0.800259,0.800259,2.90926,0.733735,0.733735,3.45107,0.488105,0.488105,0,All,#4682B4,0
8,17,3.35154,0.863227,0.863227,2.85202,1.33842,1.33842,2.90289,1.28159,1.28159,3.35154,0.851889,0.851889,0,All,#4682B4,0
8,17.5,3.25039,0.602001,0.602001,2.85485,0.790049,0.790049,2.89976,0.739877,0.739877,3.25039,0.502609,0.502609,0,All,#4682B4,0
8,18,3.14736,0.53509,0.53509,2.85499,0.517294,0.517294,2.89502,0.472572,0.472572,3.14736,0.481822,0.481822,0,All,#4682B4,0
8,18.5,3.04268,0.438036,-0.138735,2.85421,0.162879,-0.918972,2.89067,0.122146,-0.497712,3.04268,0.381321,-0.185983,1,All,#4682B4,0
8,19,2.93605,0.468718,-0.316318,2.85075,0.166743,-2.03443,2.88703,0.12621,-2.08236,2.93605,0.418775,-0.2994,1,All,#4682B4,0
8,19.5,2.82586,0.444938,0.106659,2.8481,0.16971,-0.423167,2.88151,0.132383,0.0970389,2.82586,0.328771,0.0470586,1,All,#4682B4,0
9,1,0,2.72187,0.902464,0,3.3517,0.349243,0,3.3517,0.00692094,0,2.29951,0.995993,1,All,#4682B4,0
9,1.5,0,1.33119,-0.229569,0,3.3517,0.573718,0,3.3517,1.54469,0,1.30297,-5.35061e-05,1,All,#4682B4,0
9,2,0.189146,0.827439,0.827439,4.64315,0.0657491,0.0657491,4.30512,0.443404,0.443404,0.189146,0.667031,0.667031,0,All,#4682B4,0
