rep,ID,time,sim_y3,censored,split,color,filter
1,18,9,2.76144,0,All,-1,0
1,18,10,0.400281,0,All,-1,0
1,18,2,-11.2479,1,All,-1,0
1,18,3,-0.905858,1,All,-1,0
1,18,11,-0.431023,1,All,-1,0
1,18,12,-0.547416,1,All,-1,0
1,18,13,-0.300277,0,All,-1,0
1,18,14,-1.10229,1,All,-1,0
2,7,-1,-6.94643,1,All,-1,0
2,7,1,5.35947,0,All,-1,0
2,7,2,-5.91479,1,All,-1,0
2,7,4,0.579518,0,All,-1,0
2,7,5,0.0529581,0,All,-1,0
2,7,6,3.96193,0,All,-1,0
2,7,7,3.13955,0,All,-1,0
2,7,8,0.959653,0,All,-1,0
2,7,9,-3.20228,1,All,-1,0
2,7,10,0.00131614,0,All,-1,0
2,7,11,-0.512537,1,All,-1,0
2,7,12,-0.901306,1,All,-1,0
2,7,13,-2.40046,1,All,-1,0
2,7,0,-1.64869,1,All,-1,0
2,7,3,2.53872,0,All,-1,0
2,7,14,-0.203688,0,All,-1,0
2,8,-1,-14.7443,1,All,-1,0
2,8,0,-10.0118,1,All,-1,0
2,8,1,-5.4571,1,All,-1,0
2,8,4,0.370196,0,All,-1,0
2,8,5,4.86272,0,All,-1,0
2,8,6,1.91328,0,All,-1,0
2,8,7,3.71493,0,All,-1,0
2,8,8,0.772809,0,All,-1,0
2,8,9,0.844052,0,All,-1,0
2,8,10,-0.689906,1,All,-1,0
2,8,11,-0.748328,1,All,-1,0
2,8,13,-2.17694,1,All,-1,0
2,8,2,-0.137774,0,All,-1,0
2,8,3,-0.716052,1,All,-1,0
2,8,12,-2.85301,1,All,-1,0
2,8,14,-1.6498,1,All,-1,0
2,9,3,-7.99979,1,All,-1,0
2,9,4,5.33879,0,All,-1,0
2,9,5,3.87523,0,All,-1,0
2,9,6,-0.80626,1,All,-1,0
2,9,7,1.57041,0,All,-1,0
2,9,8,2.20052,0,All,-1,0
2,9,9,0.994232,0,All,-1,0
2,9,10,0.417009,0,All,-1,0
2,9,11,-0.189425,0,All,-1,0
2,9,12,-1.39183,1,All,-1,0
2,9,13,-5.26886,1,All,-1,0
2,9,14,-2.77241,1,All,-1,0
2,9,-1,-8.80691,1,All,-1,0
2,9,0,0.518646,0,All,-1,0
2,9,1,-10.606,1,All,-1,0
2,9,2,-1.62362,1,All,-1,0
2,10,0,0.446962,0,All,-1,0
2,10,2,-3.49777,1,All,-1,0
2,10,3,-12.1436,1,All,-1,0
2,10,4,-5.63997,1,All,-1,0
2,10,5,0.813367,0,All,-1,0
2,10,6,0.8859,0,All,-1,0
2,10,7,1.4515,0,All,-1,0
2,10,8,3.68324,0,All,-1,0
2,10,9,1.19198,0,All,-1,0
2,10,10,-0.835076,1,All,-1,0
2,10,-1,3.13822,0,All,-1,0
2,10,1,-12.2211,1,All,-1,0
