pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.245933,0.578005,-1.56121,0.0578005,0.247711,0.578005,All
0.247312,0.580563,-1.55935,0.0580563,0.264335,0.580563,All
0.274418,0.58312,-1.55808,0.058312,0.264966,0.58312,All
0.281652,0.585678,-1.54446,0.0585678,0.265637,0.585678,All
0.290932,0.588235,-1.54044,0.0588235,0.267517,0.588235,All
0.291998,0.590793,-1.53844,0.0590793,0.26753,0.590793,All
0.297409,0.59335,-1.53057,0.059335,0.279934,0.59335,All
0.301189,0.595908,-1.52718,0.0595908,0.290687,0.595908,All
0.302675,0.598465,-1.52461,0.0598465,0.294368,0.598465,All
0.336911,0.601023,-1.52342,0.0601023,0.296548,0.601023,All
0.337856,0.603581,-1.51944,0.0603581,0.302589,0.603581,All
0.34323,0.606138,-1.51889,0.0606138,0.302725,0.606138,All
0.351115,0.608696,-1.5186,0.0608696,0.329824,0.608696,All
0.35257,0.611253,-1.51667,0.0611253,0.330361,0.611253,All
0.35924,0.613811,-1.5158,0.0613811,0.333253,0.613811,All
0.375455,0.616368,-1.5143,0.0616368,0.341992,0.616368,All
0.378216,0.618926,-1.5123,0.0618926,0.349657,0.618926,All
0.381321,0.621483,-1.5107,0.0621483,0.350401,0.621483,All
0.402628,0.624041,-1.50926,0.0624041,0.35382,0.624041,All
0.416613,0.626598,-1.50923,0.0626598,0.35588,0.626598,All
0.4332,0.629156,-1.50649,0.0629156,0.386227,0.629156,All
0.44445,0.631714,-1.50259,0.0631714,0.39977,0.631714,All
0.445218,0.634271,-1.50081,0.0634271,0.412379,0.634271,All
0.452172,0.636829,-1.49795,0.0636829,0.426484,0.636829,All
0.465121,0.639386,-1.49339,0.0639386,0.430597,0.639386,All
0.475372,0.641944,-1.48618,0.0641944,0.437398,0.641944,All
0.487386,0.644501,-1.48537,0.0644501,0.44713,0.644501,All
0.488736,0.647059,-1.48505,0.0647059,0.453232,0.647059,All
0.489061,0.649616,-1.47784,0.0649616,0.460976,0.649616,All
0.495868,0.652174,-1.47393,0.0652174,0.467963,0.652174,All
0.496949,0.654731,-1.47363,0.0654731,0.470829,0.654731,All
0.499894,0.657289,-1.46936,0.0657289,0.471258,0.657289,All
0.501006,0.659847,-1.46833,0.0659847,0.473724,0.659847,All
0.501545,0.662404,-1.46695,0.0662404,0.473725,0.662404,All
0.514387,0.664962,-1.46209,0.0664962,0.4751,0.664962,All
0.515046,0.667519,-1.46174,0.0667519,0.510281,0.667519,All
0.517185,0.670077,-1.46165,0.0670077,0.51643,0.670077,All
0.52117,0.672634,-1.46108,0.0672634,0.520101,0.672634,All
0.521775,0.675192,-1.46071,0.0675192,0.530074,0.675192,All
0.52868,0.677749,-1.45992,0.0677749,0.530988,0.677749,All
0.530146,0.680307,-1.45524,0.0680307,0.536946,0.680307,All
0.532886,0.682864,-1.4543,0.0682864,0.540889,0.682864,All
0.53527,0.685422,-1.44862,0.0685422,0.545039,0.685422,All
0.538255,0.68798,-1.44859,0.068798,0.545995,0.68798,All
0.540284,0.690537,-1.44644,0.0690537,0.546592,0.690537,All
0.542358,0.693095,-1.44603,0.0693095,0.557872,0.693095,All
0.55103,0.695652,-1.44555,0.0695652,0.563651,0.695652,All
0.564475,0.69821,-1.44491,0.069821,0.567114,0.69821,All
0.567714,0.700767,-1.44444,0.0700767,0.567136,0.700767,All
0.577088,0.703325,-1.44332,0.0703325,0.568996,0.703325,All
0.582359,0.705882,-1.43691,0.0705882,0.572486,0.705882,All
0.583885,0.70844,-1.43401,0.070844,0.582885,0.70844,All
0.589656,0.710997,-1.43349,0.0710997,0.592486,0.710997,All
0.591298,0.713555,-1.43275,0.0713555,0.609851,0.713555,All
0.591892,0.716113,-1.4316,0.0716113,0.621889,0.716113,All
0.593737,0.71867,-1.43125,0.071867,0.633669,0.71867,All
0.594492,0.721228,-1.43016,0.0721228,0.638025,0.721228,All
0.60469,0.723785,-1.42941,0.0723785,0.640369,0.723785,All
0.609869,0.726343,-1.42645,0.0726343,0.645464,0.726343,All
0.628053,0.7289,-1.42585,0.07289,0.660855,0.7289,All
0.629141,0.731458,-1.42545,0.0731458,0.6642,0.731458,All
0.631293,0.734015,-1.422,0.0734015,0.666496,0.734015,All
0.64031,0.736573,-1.42092,0.0736573,0.668045,0.736573,All
0.649764,0.73913,-1.41958,0.073913,0.670276,0.73913,All
0.649862,0.741688,-1.41937,0.0741688,0.681435,0.741688,All
0.662067,0.744246,-1.41747,0.0744246,0.693893,0.744246,All
0.667183,0.746803,-1.4169,0.0746803,0.703369,0.746803,All
0.676479,0.749361,-1.41625,0.0749361,0.703623,0.749361,All
0.682607,0.751918,-1.41404,0.0751918,0.704234,0.751918,All
0.686129,0.754476,-1.41374,0.0754476,0.704651,0.754476,All
0.686648,0.757033,-1.41083,0.0757033,0.713559,0.757033,All
0.691266,0.759591,-1.4106,0.0759591,0.722145,0.759591,All
0.694153,0.762148,-1.41016,0.0762148,0.724538,0.762148,All
0.705781,0.764706,-1.40919,0.0764706,0.724617,0.764706,All
0.707165,0.767263,-1.40918,0.0767263,0.73024,0.767263,All
0.709533,0.769821,-1.3984,0.0769821,0.735214,0.769821,All
0.711939,0.772379,-1.39772,0.0772379,0.737241,0.772379,All
0.713577,0.774936,-1.39738,0.0774936,0.74122,0.774936,All
0.71531,0.777494,-1.39569,0.0777494,0.741627,0.777494,All
0.715621,0.780051,-1.38873,0.0780051,0.741743,0.780051,All
0.715906,0.782609,-1.38792,0.0782609,0.755617,0.782609,All
0.72401,0.785166,-1.38736,0.0785166,0.769562,0.785166,All
0.725864,0.787724,-1.38712,0.0787724,0.772466,0.787724,All
0.732184,0.790281,-1.38711,0.0790281,0.784319,0.790281,All
0.739642,0.792839,-1.37631,0.0792839,0.79427,0.792839,All
0.739727,0.795396,-1.37561,0.0795396,0.796277,0.795396,All
0.742724,0.797954,-1.37483,0.0797954,0.798692,0.797954,All
0.750078,0.800512,-1.36788,0.0800512,0.799119,0.800512,All
0.751997,0.803069,-1.3646,0.0803069,0.800241,0.803069,All
0.757461,0.805627,-1.36435,0.0805627,0.804904,0.805627,All
0.75903,0.808184,-1.36169,0.0808184,0.805631,0.808184,All
0.764319,0.810742,-1.35926,0.0810742,0.822078,0.810742,All
0.769845,0.813299,-1.35779,0.0813299,0.835275,0.813299,All
0.780517,0.815857,-1.35413,0.0815857,0.845322,0.815857,All
0.787685,0.818414,-1.35292,0.0818414,0.84709,0.818414,All
0.795012,0.820972,-1.35208,0.0820972,0.850672,0.820972,All
0.804781,0.823529,-1.35145,0.0823529,0.851596,0.823529,All
0.808814,0.826087,-1.34975,0.0826087,0.860911,0.826087,All
0.812298,0.828645,-1.34751,0.0828645,0.884885,0.828645,All
0.815142,0.831202,-1.34699,0.0831202,0.885408,0.831202,All
0.821821,0.83376,-1.34583,0.083376,0.900259,0.83376,All
0.827528,0.836317,-1.34443,0.0836317,0.901454,0.836317,All
0.82819,0.838875,-1.34314,0.0838875,0.902254,0.838875,All
0.840833,0.841432,-1.34129,0.0841432,0.909332,0.841432,All
0.866103,0.84399,-1.34127,0.084399,0.917849,0.84399,All
0.875788,0.846547,-1.34118,0.0846547,0.919433,0.846547,All
0.880683,0.849105,-1.33904,0.0849105,0.935973,0.849105,All
0.883571,0.851662,-1.33849,0.0851662,0.938604,0.851662,All
0.883891,0.85422,-1.33847,0.085422,0.958504,0.85422,All
0.885465,0.856777,-1.33798,0.0856777,0.966424,0.856777,All
0.901738,0.859335,-1.33583,0.0859335,0.978365,0.859335,All
0.904371,0.861893,-1.33446,0.0861893,0.98699,0.861893,All
0.914324,0.86445,-1.3343,0.086445,1.01679,0.86445,All
0.934824,0.867008,-1.3326,0.0867008,1.01943,0.867008,All
0.939161,0.869565,-1.33246,0.0869565,1.02066,0.869565,All
0.943355,0.872123,-1.33185,0.0872123,1.03202,0.872123,All
0.945132,0.87468,-1.32891,0.087468,1.03983,0.87468,All
0.957019,0.877238,-1.32865,0.0877238,1.04191,0.877238,All
0.958886,0.879795,-1.32636,0.0879795,1.05313,0.879795,All
0.964372,0.882353,-1.32252,0.0882353,1.05474,0.882353,All
0.968574,0.88491,-1.32032,0.088491,1.06775,0.88491,All
0.981612,0.887468,-1.31986,0.0887468,1.06878,0.887468,All
1.00549,0.890026,-1.31697,0.0890026,1.10354,0.890026,All
1.01261,0.892583,-1.31309,0.0892583,1.11137,0.892583,All
1.01927,0.895141,-1.31257,0.0895141,1.11377,0.895141,All
1.02274,0.897698,-1.31099,0.0897698,1.11544,0.897698,All
1.02303,0.900256,-1.31057,0.0900256,1.13349,0.900256,All
1.03489,0.902813,-1.3089,0.0902813,1.15229,0.902813,All
1.03712,0.905371,-1.30616,0.0905371,1.19875,0.905371,All
1.04487,0.907928,-1.30594,0.0907928,1.20942,0.907928,All
1.04789,0.910486,-1.30593,0.0910486,1.21311,0.910486,All
1.04957,0.913043,-1.30553,0.0913043,1.21821,0.913043,All
1.04984,0.915601,-1.30318,0.0915601,1.26176,0.915601,All
1.06622,0.918159,-1.30282,0.0918159,1.28071,0.918159,All
1.11613,0.920716,-1.30247,0.0920716,1.28512,0.920716,All
1.12796,0.923274,-1.30216,0.0923274,1.28616,0.923274,All
1.13528,0.925831,-1.30153,0.0925831,1.29338,0.925831,All
1.1449,0.928389,-1.29888,0.0928389,1.29689,0.928389,All
1.17,0.930946,-1.29877,0.0930946,1.31374,0.930946,All
1.18559,0.933504,-1.29588,0.0933504,1.33737,0.933504,All
1.19079,0.936061,-1.2956,0.0936061,1.34338,0.936061,All
1.20052,0.938619,-1.29146,0.0938619,1.41316,0.938619,All
1.23103,0.941176,-1.2909,0.0941176,1.41888,0.941176,All
1.24036,0.943734,-1.28834,0.0943734,1.45073,0.943734,All
1.26776,0.946292,-1.28699,0.0946292,1.45297,0.946292,All
1.27586,0.948849,-1.28534,0.0948849,1.45681,0.948849,All
1.29667,0.951407,-1.28472,0.0951407,1.46024,0.951407,All
1.3152,0.953964,-1.28446,0.0953964,1.47464,0.953964,All
1.33263,0.956522,-1.28442,0.0956522,1.48614,0.956522,All
1.37102,0.959079,-1.28177,0.0959079,1.50174,0.959079,All
1.39116,0.961637,-1.28097,0.0961637,1.51615,0.961637,All
1.40853,0.964194,-1.27959,0.0964194,1.55921,0.964194,All
1.41052,0.966752,-1.27901,0.0966752,1.56893,0.966752,All
1.41579,0.969309,-1.27697,0.0969309,1.63772,0.969309,All
1.46525,0.971867,-1.27579,0.0971867,1.63833,0.971867,All
1.48338,0.974425,-1.27564,0.0974425,1.64991,0.974425,All
1.57617,0.976982,-1.27505,0.0976982,1.65439,0.976982,All
1.59359,0.97954,-1.27225,0.097954,1.82366,0.97954,All
1.61353,0.982097,-1.27127,0.0982097,1.85652,0.982097,All
1.65951,0.984655,-1.27113,0.0984655,1.88141,0.984655,All
1.66429,0.987212,-1.27006,0.0987212,1.92742,0.987212,All
1.6719,0.98977,-1.26358,0.098977,1.95052,0.98977,All
1.8129,0.992327,-1.26277,0.0992327,1.99334,0.992327,All
1.94328,0.994885,-1.26239,0.0994885,2.02396,0.994885,All
2.14565,0.997442,-1.2621,0.0997442,2.08937,0.997442,All
2.29181,1,-1.2618,0.1,2.20121,1,All
4,1,-1.25956,0.100256,4,1,All
,,-1.25817,0.100512,,,All
,,-1.25729,0.100767,,,All
,,-1.25704,0.101023,,,All
