rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_dF,eta_q_exp,eta_ifn0
4,12,0.258733,0.340479,-1.16617,0.766203,0.582953,-0.00749845,-1.25717,-0.82744,0,-0.145149,0,0.0146572,-0.588045
5,12,-0.170243,0.372558,-1.06261,0.783604,1.14079,-0.0482039,-1.05883,-0.96186,0,-0.442337,0,0.0154541,-0.206417
1,13,1.32127,1.47008,-0.15536,-1.12579,-2.93608,0.402279,2.45518,0.452059,0,1.07743,0,0.0654136,-0.765413
2,13,1.47489,0.972617,-0.131132,-1.27066,-3.09264,0.37636,1.70296,0.208153,0,1.02027,0,0.0547115,-0.599181
3,13,1.31958,2.48067,0.197882,-0.947272,-3.02569,0.410283,2.90117,0.548761,0,1.23006,0,0.0430054,-0.591201
4,13,0.982619,1.09871,-0.0321734,-0.765589,-2.32329,0.301761,1.67943,0.233535,0,0.980995,0,0.0512598,-0.313921
5,13,1.49463,2.2275,-0.285614,-0.930568,-2.48332,0.325383,1.9467,0.136856,0,1.18175,0,0.0541129,-1.29889
1,14,-0.164192,-0.53536,0.552928,-0.147556,0.995588,-0.216998,-1.32586,0.0827039,0,-0.380727,0,-0.0218465,0.176112
2,14,-0.0594266,-0.469195,0.372307,-0.0352258,1.03063,-0.208464,-1.25167,-0.0894266,0,-0.499267,0,-0.00503777,-0.0855495
3,14,0.44714,0.0702825,0.0857731,-0.0676804,0.66764,-0.152347,-0.544447,0.0640983,0,-0.0651234,0,0.00273168,-0.450916
4,14,-0.0174273,0.278612,0.423623,-0.0933257,0.460308,-0.0381476,-0.556728,-0.010605,0,-0.194127,0,-0.00704299,-0.268834
5,14,0.0643984,-0.304411,0.327416,-0.149438,0.503118,-0.12155,-1.00076,0.0915701,0,0.163375,0,-0.00605542,-0.0254107
1,15,0.0973016,1.33511,-0.271001,0.0132938,-1.09798,0.285187,2.52343,1.01975,0,0.987182,0,0.0317899,-0.348501
2,15,0.418535,2.80074,0.0621493,0.153658,-1.61649,0.362654,2.61322,1.11564,0,1.43592,0,0.052746,-1.0094
3,15,0.407188,2.47282,0.150702,-0.396642,-2.20673,0.416085,3.81215,1.15274,0,1.34655,0,0.065973,-0.632809
4,15,0.202238,2.56412,0.274664,0.224895,-1.11286,0.250948,3.45803,1.43671,0,1.12232,0,0.0632346,-0.854151
5,15,0.165003,1.91818,0.120679,0.152326,-1.41415,0.31022,2.1975,0.897288,0,1.16619,0,0.0380606,-0.270036
1,16,0.83009,-1.57009,-0.917004,-0.433864,-1.57115,0.257506,-0.729549,-1.19141,0,-0.157942,0,-0.0142059,0.52859
2,16,0.579853,-1.33686,-0.703638,-0.278106,-1.26878,0.197943,-1.19997,-1.22603,0,0.0151619,0,-0.0302557,0.122355
3,16,0.446561,-1.83242,-0.728556,-0.227145,-0.986456,0.130776,-1.08179,-0.907423,0,-0.504076,0,-0.0321956,0.734578
4,16,0.662943,-1.20637,-0.925544,-0.0403835,-0.924318,0.183952,-1.20216,-1.50815,0,-0.322306,0,-0.0201941,0.362337
5,16,0.772088,-1.40688,-0.583955,-0.397616,-1.2936,0.146225,-0.324659,-0.78306,0,-0.400769,0,-0.0192729,0.350755
1,17,-0.584685,-0.416154,-0.185647,0.339739,0.530988,-0.0065996,-0.124392,-0.0562498,0,-0.053075,0,-0.0191455,0.10914
2,17,-0.27401,-1.03225,-0.125384,0.344702,0.219635,0.0279561,-1.59003,-0.503576,0,-0.27552,0,-0.0439358,0.839616
3,17,-0.411798,-0.251024,-0.000527426,0.381009,0.920525,-0.13075,-0.206318,0.00533781,0,-0.212114,0,-0.0135615,0.325758
4,17,-0.253586,0.366847,-0.0895097,0.342746,-0.142932,0.121908,0.115957,-0.20077,0,0.097519,0,0.0082879,0.412159
5,17,-0.641073,-0.667091,-0.019113,0.389608,0.943891,-0.0593535,-0.531559,-0.031139,0,-0.223305,0,-0.0144901,0.454313
1,18,-0.61647,-0.393505,0.29935,0.284953,1.05589,-0.159691,-0.720473,0.10828,0,-0.263776,0,8.37454e-05,0.102102
2,18,-0.808178,-1.79735,0.879536,0.34561,1.81675,-0.432799,-1.12514,0.592394,0,-1.22675,0,-0.0438815,0.0484595
3,18,-0.894231,-1.11294,0.794318,0.298352,1.28711,-0.246401,-1.52389,0.381675,0,-0.674825,0,-0.010819,0.697252
4,18,-0.790831,-0.0685709,0.646969,0.304662,1.04488,-0.193195,-0.338662,0.482117,0,-0.200307,0,0.000288182,0.496573
5,18,-0.655469,-0.0469382,0.43604,0.332869,1.39082,-0.277989,0.0963922,0.667755,0,-0.342143,0,-0.0121249,-0.0505143
