rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,dF,q_exp,ifn0
5,13,-2.32952,9.19726,2.65856,0.76094,-4.80014,0.841243,10.6057,0.465876,-1.44683,-0.615473,0.943972,-4.22322,0.109133
1,14,-3.98834,0.580449,3.49711,1.66498,-1.32123,0.489067,2.68575,0.441319,-1.44683,-2.17795,0.943972,-4.29918,0.477028
2,14,-3.88357,0.620153,3.31648,1.86291,-1.28619,0.493259,2.84355,0.371533,-1.44683,-2.29649,0.943972,-4.28237,0.367203
3,14,-3.37701,1.06363,3.02995,1.80342,-1.64918,0.521731,4.63763,0.433184,-1.44683,-1.86235,0.943972,-4.2746,0.254818
4,14,-3.84157,1.30999,3.3678,1.75776,-1.85651,0.584847,4.60274,0.402003,-1.44683,-1.99135,0.943972,-4.28437,0.305708
5,14,-3.75975,0.731246,3.27159,1.66185,-1.8137,0.538048,3.42319,0.445249,-1.44683,-1.63385,0.943972,-4.28339,0.389964
1,15,-3.72684,3.76791,2.67318,1.95553,-3.41479,0.8081,11.1747,1.12644,-1.44683,-0.810043,0.943972,-4.24554,0.282298
2,15,-3.40561,16.316,3.00633,2.25021,-3.93331,0.873189,11.2411,1.23979,-1.44683,-0.361303,0.943972,-4.22459,0.145775
3,15,-3.41696,11.7543,3.09488,1.29787,-4.52355,0.921114,11.7606,1.28666,-1.44683,-0.450672,0.943972,-4.21136,0.212439
4,15,-3.62191,12.878,3.21884,2.41636,-3.42968,0.780899,11.6618,1.7092,-1.44683,-0.674905,0.943972,-4.2141,0.170258
5,15,-3.65914,6.75026,3.06486,2.24722,-3.73097,0.828584,10.8863,0.996602,-1.44683,-0.631031,0.943972,-4.23927,0.305341
1,16,-2.99406,0.206246,2.02717,1.25045,-3.88797,0.786037,4.12324,0.123427,-1.44683,-1.95517,0.943972,-4.29154,0.678615
2,16,-3.24429,0.260423,2.24054,1.4612,-3.5856,0.740585,2.95726,0.119228,-1.44683,-1.78206,0.943972,-4.30759,0.452062
3,16,-3.37758,0.158656,2.21562,1.5376,-3.30327,0.692477,3.22843,0.163963,-1.44683,-2.3013,0.943972,-4.30953,0.833841
4,16,-3.1612,0.296721,2.01863,1.85333,-3.24114,0.730296,2.95238,0.0899194,-1.44683,-2.11953,0.943972,-4.29753,0.574673
5,16,-3.05206,0.242811,2.36022,1.29661,-3.61042,0.703258,5.27637,0.185676,-1.44683,-2.19799,0.943972,-4.2966,0.568056
1,17,-4.40883,0.653935,2.75853,2.71043,-1.78583,0.603592,5.87365,0.384066,-1.44683,-1.8503,0.943972,-4.29648,0.446127
2,17,-4.09816,0.353155,2.81879,2.72391,-2.09718,0.624814,2.17526,0.245547,-1.44683,-2.07275,0.943972,-4.32127,0.926191
3,17,-4.23594,0.771346,2.94365,2.82462,-1.39629,0.533121,5.62833,0.408463,-1.44683,-2.00934,0.943972,-4.29089,0.554032
4,17,-4.07773,1.43083,2.85467,2.71859,-2.45975,0.686362,6.59274,0.332385,-1.44683,-1.69971,0.943972,-4.26904,0.60403
5,17,-4.46522,0.508808,2.92507,2.84902,-1.37293,0.572576,4.67436,0.393832,-1.44683,-2.02053,0.943972,-4.29182,0.630036
1,18,-4.44062,0.668915,3.24353,2.56593,-1.26093,0.517913,4.14783,0.452752,-1.44683,-2.061,0.943972,-4.27725,0.442998
2,18,-4.63232,0.16432,3.82371,2.72639,-0.500067,0.394137,3.12716,0.734697,-1.44683,-3.02397,0.943972,-4.32121,0.419861
3,18,-4.71838,0.325779,3.7385,2.60054,-1.02971,0.474897,2.29553,0.595106,-1.44683,-2.47205,0.943972,-4.28815,0.803291
4,18,-4.61498,0.925737,3.59115,2.617,-1.27194,0.500848,5.23501,0.657984,-1.44683,-1.99753,0.943972,-4.27704,0.657232
5,18,-4.47961,0.945982,3.38022,2.69187,-0.925995,0.46013,6.53456,0.792204,-1.44683,-2.13937,0.943972,-4.28946,0.380296
