beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-4.65477,0.1,0.878329,0.1,2.38841,0.1,1.36731,0.1,-4.29313,0.108333,0.429424,0.1,1.94271,0.108333,0.105049,0.1,-2.82821,0.1,-4.76517,0.1,0.25853,0.1,All
-4.64992,0.108333,0.89591,0.108333,2.43138,0.108333,1.36978,0.108333,-4.29108,0.116667,0.435544,0.108333,2.11792,0.116667,0.105709,0.108333,-2.7526,0.108333,-4.73643,0.108333,0.259223,0.108333,All
-4.59795,0.116667,0.91122,0.116667,2.44059,0.116667,1.37893,0.116667,-4.24067,0.125,0.445879,0.116667,2.33935,0.125,0.111259,0.116667,-2.74869,0.116667,-4.72824,0.116667,0.260122,0.116667,All
-4.59117,0.125,0.930674,0.125,2.44596,0.125,1.37931,0.125,-4.21015,0.133333,0.446841,0.125,2.35084,0.133333,0.114673,0.125,-2.74818,0.125,-4.71618,0.125,0.263565,0.125,All
-4.56428,0.133333,0.946202,0.133333,2.46973,0.133333,1.38815,0.133333,-4.15273,0.141667,0.448664,0.133333,2.71114,0.141667,0.115561,0.133333,-2.74231,0.133333,-4.68717,0.133333,0.269668,0.133333,All
-4.54824,0.141667,0.975392,0.141667,2.47895,0.141667,1.38865,0.141667,-4.01965,0.15,0.450849,0.141667,2.98409,0.15,0.11854,0.141667,-2.73178,0.141667,-4.68566,0.141667,0.276122,0.141667,All
-4.52621,0.15,0.995968,0.15,2.48164,0.15,1.39774,0.15,-3.99786,0.158333,0.451441,0.15,3.0352,0.158333,0.123876,0.15,-2.71798,0.15,-4.68284,0.15,0.281883,0.15,All
-4.51391,0.158333,0.998809,0.158333,2.5221,0.158333,1.39848,0.158333,-3.98564,0.166667,0.451525,0.158333,3.17777,0.166667,0.129817,0.158333,-2.6995,0.158333,-4.67994,0.158333,0.283404,0.158333,All
-4.47767,0.166667,1.00368,0.166667,2.56404,0.166667,1.4026,0.166667,-3.93573,0.175,0.453858,0.166667,3.66111,0.175,0.134279,0.166667,-2.69794,0.166667,-4.66957,0.166667,0.286438,0.166667,All
-4.4683,0.175,1.00507,0.175,2.57022,0.175,1.41112,0.175,-3.88489,0.183333,0.455398,0.175,3.7028,0.183333,0.135368,0.175,-2.68789,0.175,-4.66668,0.175,0.288118,0.175,All
-4.46343,0.183333,1.0703,0.183333,2.59109,0.183333,1.43775,0.183333,-3.84932,0.191667,0.456772,0.183333,3.78043,0.191667,0.138363,0.183333,-2.68043,0.183333,-4.66231,0.183333,0.288285,0.183333,All
-4.44111,0.191667,1.07294,0.191667,2.59544,0.191667,1.443,0.191667,-3.83913,0.2,0.457258,0.191667,3.83252,0.2,0.139681,0.191667,-2.62934,0.191667,-4.66164,0.191667,0.289834,0.191667,All
-4.41598,0.2,1.08501,0.2,2.62701,0.2,1.50334,0.2,-3.80768,0.208333,0.459146,0.2,4.07886,0.208333,0.140226,0.2,-2.6239,0.2,-4.65875,0.2,0.29003,0.2,All
-4.38555,0.208333,1.08796,0.208333,2.63468,0.208333,1.52014,0.208333,-3.79991,0.216667,0.465812,0.208333,4.17812,0.216667,0.142085,0.208333,-2.62113,0.208333,-4.6545,0.208333,0.291409,0.208333,All
-4.38329,0.216667,1.09514,0.216667,2.64242,0.216667,1.53709,0.216667,-3.6675,0.225,0.469827,0.216667,4.61112,0.225,0.143168,0.216667,-2.58478,0.216667,-4.65319,0.216667,0.294278,0.216667,All
-4.37748,0.225,1.09981,0.225,2.64906,0.225,1.55272,0.225,-3.64938,0.233333,0.470052,0.225,4.6624,0.233333,0.151307,0.225,-2.57431,0.225,-4.65149,0.225,0.296936,0.225,All
-4.37633,0.233333,1.10479,0.233333,2.65361,0.233333,1.55528,0.233333,-3.62289,0.241667,0.472904,0.233333,4.6844,0.241667,0.155049,0.233333,-2.55053,0.233333,-4.6442,0.233333,0.301136,0.233333,All
-4.36954,0.241667,1.13884,0.241667,2.67858,0.241667,1.60714,0.241667,-3.55411,0.25,0.473567,0.241667,4.81637,0.25,0.157436,0.241667,-2.53505,0.241667,-4.64316,0.241667,0.302015,0.241667,All
-4.34487,0.25,1.1441,0.25,2.68693,0.25,1.62612,0.25,-3.52536,0.258333,0.47379,0.25,4.83185,0.258333,0.165756,0.25,-2.49837,0.25,-4.63812,0.25,0.303093,0.25,All
-4.32238,0.258333,1.14417,0.258333,2.6956,0.258333,1.62945,0.258333,-3.47818,0.266667,0.479019,0.258333,5.01216,0.266667,0.167631,0.258333,-2.49575,0.258333,-4.63213,0.258333,0.303151,0.258333,All
-4.30897,0.266667,1.14606,0.266667,2.70677,0.266667,1.63157,0.266667,-3.43957,0.275,0.481471,0.266667,5.45468,0.275,0.169138,0.266667,-2.43956,0.266667,-4.63199,0.266667,0.303323,0.266667,All
-4.30754,0.275,1.16239,0.275,2.71524,0.275,1.63622,0.275,-3.34062,0.283333,0.484244,0.275,5.91904,0.283333,0.171345,0.275,-2.38818,0.275,-4.62937,0.275,0.305166,0.275,All
-4.28557,0.283333,1.17579,0.283333,2.73619,0.283333,1.64174,0.283333,-3.33697,0.291667,0.484802,0.283333,5.96419,0.291667,0.171717,0.283333,-2.37615,0.283333,-4.6193,0.283333,0.307812,0.283333,All
-4.27214,0.291667,1.17779,0.291667,2.73917,0.291667,1.64762,0.291667,-3.32147,0.3,0.487038,0.291667,6.02463,0.3,0.17272,0.291667,-2.35185,0.291667,-4.61867,0.291667,0.310727,0.291667,All
-4.2645,0.3,1.22511,0.3,2.77189,0.3,1.68431,0.3,-3.31154,0.308333,0.489309,0.3,6.04966,0.308333,0.175725,0.3,-2.32698,0.3,-4.60736,0.3,0.313138,0.3,All
-4.23599,0.308333,1.23286,0.308333,2.77536,0.308333,1.68457,0.308333,-3.28179,0.316667,0.492856,0.308333,6.16417,0.316667,0.178758,0.308333,-2.29058,0.308333,-4.60497,0.308333,0.320589,0.308333,All
-4.22173,0.316667,1.23318,0.316667,2.77744,0.316667,1.69616,0.316667,-3.27477,0.325,0.498001,0.316667,6.31083,0.325,0.179565,0.316667,-2.24289,0.316667,-4.60154,0.316667,0.329674,0.316667,All
-4.19174,0.325,1.25671,0.325,2.80548,0.325,1.70157,0.325,-3.19118,0.333333,0.499132,0.325,6.40285,0.333333,0.183045,0.325,-2.24176,0.325,-4.58694,0.325,0.330102,0.325,All
-4.17124,0.333333,1.27503,0.333333,2.81582,0.333333,1.70277,0.333333,-3.18738,0.341667,0.506684,0.333333,6.53222,0.341667,0.187458,0.333333,-2.24081,0.333333,-4.57832,0.333333,0.330262,0.333333,All
-4.1675,0.341667,1.27652,0.341667,2.83015,0.341667,1.71417,0.341667,-3.15439,0.35,0.50676,0.341667,6.55268,0.35,0.19265,0.341667,-2.23441,0.341667,-4.57826,0.341667,0.331911,0.341667,All
-4.16602,0.35,1.28207,0.35,2.84683,0.35,1.72683,0.35,-3.12679,0.358333,0.508367,0.35,6.60085,0.358333,0.195133,0.35,-2.21622,0.35,-4.57508,0.35,0.335979,0.35,All
-4.16192,0.358333,1.29105,0.358333,2.85057,0.358333,1.73829,0.358333,-3.12575,0.366667,0.511435,0.358333,6.79832,0.366667,0.197114,0.358333,-2.1842,0.358333,-4.5666,0.358333,0.343621,0.358333,All
-4.1555,0.366667,1.30689,0.366667,2.88993,0.366667,1.73854,0.366667,-3.06818,0.375,0.512149,0.366667,6.82466,0.375,0.201538,0.366667,-2.1725,0.366667,-4.56297,0.366667,0.349657,0.366667,All
-4.13398,0.375,1.31118,0.375,2.89064,0.375,1.74394,0.375,-2.99148,0.383333,0.514839,0.375,6.92301,0.383333,0.207635,0.375,-2.1317,0.375,-4.56265,0.375,0.35014,0.375,All
-4.11763,0.383333,1.35398,0.383333,2.90388,0.383333,1.75382,0.383333,-2.96284,0.391667,0.524415,0.383333,6.97115,0.391667,0.209871,0.383333,-2.09236,0.383333,-4.55955,0.383333,0.35379,0.383333,All
-4.07799,0.391667,1.36825,0.391667,2.92182,0.391667,1.75632,0.391667,-2.93388,0.4,0.525582,0.391667,7.0576,0.4,0.21175,0.391667,-2.07113,0.391667,-4.55732,0.391667,0.35552,0.391667,All
-4.07052,0.4,1.37797,0.4,2.92694,0.4,1.75859,0.4,-2.92137,0.408333,0.527065,0.4,7.1214,0.408333,0.228188,0.4,-2.02708,0.4,-4.55224,0.4,0.361717,0.4,All
-4.06651,0.408333,1.41505,0.408333,2.95212,0.408333,1.7646,0.408333,-2.84498,0.416667,0.529403,0.408333,7.62988,0.416667,0.231754,0.408333,-2.0118,0.408333,-4.54433,0.408333,0.362802,0.408333,All
-4.05847,0.416667,1.45585,0.416667,2.98151,0.416667,1.77009,0.416667,-2.78435,0.425,0.531256,0.416667,7.99313,0.425,0.236185,0.416667,-1.95443,0.416667,-4.54108,0.416667,0.362807,0.416667,All
-4.02865,0.425,1.46871,0.425,2.99075,0.425,1.7847,0.425,-2.63977,0.433333,0.540914,0.425,7.99955,0.433333,0.240114,0.425,-1.94505,0.425,-4.53618,0.425,0.364353,0.425,All
-4.02517,0.433333,1.51369,0.433333,3.00047,0.433333,1.81021,0.433333,-2.59949,0.441667,0.54923,0.433333,8.01078,0.441667,0.240848,0.433333,-1.93655,0.433333,-4.53021,0.433333,0.365985,0.433333,All
-4.0066,0.441667,1.52041,0.441667,3.00639,0.441667,1.81583,0.441667,-2.55515,0.45,0.555191,0.441667,8.31807,0.45,0.248901,0.441667,-1.88233,0.441667,-4.52066,0.441667,0.366138,0.441667,All
-3.99075,0.45,1.55425,0.45,3.00935,0.45,1.82531,0.45,-2.37847,0.458333,0.556692,0.45,8.44247,0.458333,0.25188,0.45,-1.88198,0.45,-4.51748,0.45,0.371126,0.45,All
-3.97326,0.458333,1.58064,0.458333,3.02183,0.458333,1.82989,0.458333,-2.30778,0.466667,0.562708,0.458333,8.50104,0.466667,0.253149,0.458333,-1.853,0.458333,-4.50207,0.458333,0.371256,0.458333,All
-3.9714,0.466667,1.59863,0.466667,3.02581,0.466667,1.84057,0.466667,-2.24866,0.475,0.577812,0.466667,8.60625,0.475,0.265178,0.466667,-1.84725,0.466667,-4.49231,0.466667,0.374587,0.466667,All
-3.91559,0.475,1.61325,0.475,3.04725,0.475,1.84651,0.475,-2.23942,0.483333,0.57999,0.475,8.62129,0.483333,0.266831,0.475,-1.84074,0.475,-4.48319,0.475,0.37659,0.475,All
-3.90628,0.483333,1.63822,0.483333,3.06748,0.483333,1.86435,0.483333,-2.2229,0.491667,0.581613,0.483333,8.93873,0.491667,0.269504,0.483333,-1.78137,0.483333,-4.47715,0.483333,0.379409,0.483333,All
-3.89665,0.491667,1.67421,0.491667,3.07985,0.491667,1.87633,0.491667,-2.02623,0.5,0.590627,0.491667,9.12897,0.5,0.274021,0.491667,-1.77724,0.491667,-4.47584,0.491667,0.380825,0.491667,All
-3.84304,0.5,1.72504,0.5,3.09067,0.5,1.90213,0.5,-1.95267,0.508333,0.601276,0.5,9.13926,0.508333,0.281651,0.5,-1.76536,0.5,-4.46888,0.5,0.383308,0.5,All
-3.81409,0.508333,1.77167,0.508333,3.10485,0.508333,1.91538,0.508333,-1.95056,0.516667,0.601415,0.508333,9.29019,0.516667,0.29789,0.508333,-1.71526,0.508333,-4.46186,0.508333,0.39508,0.508333,All
-3.78131,0.516667,1.79999,0.516667,3.10819,0.516667,1.92199,0.516667,-1.88768,0.525,0.606064,0.516667,9.29737,0.525,0.298572,0.516667,-1.68971,0.516667,-4.44677,0.516667,0.39623,0.516667,All
-3.77018,0.525,1.81023,0.525,3.11233,0.525,1.96373,0.525,-1.86051,0.533333,0.606073,0.525,9.43144,0.533333,0.298759,0.525,-1.67899,0.525,-4.42661,0.525,0.399293,0.525,All
-3.76379,0.533333,1.90907,0.533333,3.11739,0.533333,1.99796,0.533333,-1.79866,0.541667,0.613382,0.533333,9.50363,0.541667,0.300298,0.533333,-1.62242,0.533333,-4.42079,0.533333,0.402018,0.533333,All
-3.75977,0.541667,1.97491,0.541667,3.11993,0.541667,2.09225,0.541667,-1.73507,0.55,0.625847,0.541667,9.61998,0.55,0.316862,0.541667,-1.61821,0.541667,-4.40505,0.541667,0.403871,0.541667,All
-3.75804,0.55,1.9951,0.55,3.12868,0.55,2.11297,0.55,-1.72542,0.558333,0.633792,0.55,9.70181,0.558333,0.328466,0.55,-1.5488,0.55,-4.40372,0.55,0.404441,0.55,All
-3.75644,0.558333,2.03368,0.558333,3.13451,0.558333,2.13633,0.558333,-1.68373,0.566667,0.634788,0.558333,9.73964,0.566667,0.339877,0.558333,-1.54033,0.558333,-4.40361,0.558333,0.408638,0.558333,All
-3.741,0.566667,2.04075,0.566667,3.15366,0.566667,2.14778,0.566667,-1.68151,0.575,0.637037,0.566667,10.001,0.575,0.379943,0.566667,-1.53171,0.566667,-4.40304,0.566667,0.409723,0.566667,All
-3.71641,0.575,2.05468,0.575,3.15587,0.575,2.15267,0.575,-1.5696,0.583333,0.639878,0.575,10.3548,0.583333,0.444626,0.575,-1.52637,0.575,-4.39731,0.575,0.411252,0.575,All
-3.70121,0.583333,2.07318,0.583333,3.1591,0.583333,2.17288,0.583333,-1.51427,0.591667,0.640654,0.583333,10.3782,0.591667,0.445516,0.583333,-1.51561,0.583333,-4.39677,0.583333,0.412299,0.583333,All
-3.69417,0.591667,2.07422,0.591667,3.16211,0.591667,2.1828,0.591667,-1.51302,0.6,0.654893,0.591667,10.3822,0.6,0.452831,0.591667,-1.51067,0.591667,-4.38784,0.591667,0.422918,0.591667,All
-3.68589,0.6,2.07587,0.6,3.18826,0.6,2.21462,0.6,-1.45122,0.608333,0.668708,0.6,10.5653,0.608333,0.46199,0.6,-1.50582,0.6,-4.37352,0.6,0.425427,0.6,All
-3.60225,0.608333,2.14586,0.608333,3.24244,0.608333,2.26133,0.608333,-1.42541,0.616667,0.683502,0.608333,10.6654,0.616667,0.462065,0.608333,-1.49805,0.608333,-4.36925,0.608333,0.426078,0.608333,All
-3.58422,0.616667,2.14663,0.616667,3.2495,0.616667,2.28287,0.616667,-1.40774,0.625,0.684304,0.616667,10.6756,0.625,0.480505,0.616667,-1.39978,0.616667,-4.35957,0.616667,0.430992,0.616667,All
-3.56858,0.625,2.20134,0.625,3.25373,0.625,2.28822,0.625,-1.40297,0.633333,0.689671,0.625,10.7192,0.633333,0.490033,0.625,-1.35612,0.625,-4.34835,0.625,0.437042,0.625,All
-3.54959,0.633333,2.2434,0.633333,3.26582,0.633333,2.29386,0.633333,-1.3954,0.641667,0.692903,0.633333,10.7385,0.641667,0.499935,0.633333,-1.3281,0.633333,-4.3324,0.633333,0.441745,0.633333,All
-3.52354,0.641667,2.25135,0.641667,3.267,0.641667,2.29808,0.641667,-1.38775,0.65,0.698419,0.641667,10.7747,0.65,0.501469,0.641667,-1.26959,0.641667,-4.32229,0.641667,0.443542,0.641667,All
-3.50749,0.65,2.2635,0.65,3.27237,0.65,2.31503,0.65,-1.3462,0.658333,0.698471,0.65,10.8264,0.658333,0.515035,0.65,-1.20752,0.65,-4.32174,0.65,0.447909,0.65,All
-3.50437,0.658333,2.27359,0.658333,3.27445,0.658333,2.33644,0.658333,-1.33354,0.666667,0.706987,0.658333,10.861,0.666667,0.516306,0.658333,-1.16741,0.658333,-4.32045,0.658333,0.448693,0.658333,All
-3.49343,0.666667,2.30175,0.666667,3.28317,0.666667,2.34399,0.666667,-1.31696,0.675,0.71829,0.666667,10.9141,0.675,0.520425,0.666667,-0.860113,0.666667,-4.31397,0.666667,0.451842,0.666667,All
-3.48363,0.675,2.32666,0.675,3.2884,0.675,2.35289,0.675,-1.30941,0.683333,0.719201,0.675,10.9339,0.683333,0.523681,0.675,-0.852523,0.675,-4.3001,0.675,0.453076,0.675,All
-3.47448,0.683333,2.3456,0.683333,3.29142,0.683333,2.3559,0.683333,-1.29339,0.691667,0.719781,0.683333,11.0265,0.691667,0.543283,0.683333,-0.774644,0.683333,-4.2889,0.683333,0.463111,0.683333,All
-3.45071,0.691667,2.38092,0.691667,3.29798,0.691667,2.36323,0.691667,-1.26843,0.7,0.726934,0.691667,11.0537,0.7,0.557355,0.691667,-0.765049,0.691667,-4.27484,0.691667,0.464709,0.691667,All
-3.42109,0.7,2.40276,0.7,3.30011,0.7,2.36958,0.7,-1.2653,0.708333,0.728822,0.7,11.1492,0.708333,0.566841,0.7,-0.757747,0.7,-4.2643,0.7,0.469741,0.7,All
-3.41086,0.708333,2.41374,0.708333,3.30605,0.708333,2.38092,0.708333,-1.26094,0.716667,0.732522,0.708333,11.1903,0.716667,0.603751,0.708333,-0.722349,0.708333,-4.26397,0.708333,0.476284,0.708333,All
-3.40238,0.716667,2.43433,0.716667,3.31522,0.716667,2.38638,0.716667,-1.26002,0.725,0.733943,0.716667,11.194,0.725,0.618242,0.716667,-0.71699,0.716667,-4.25223,0.716667,0.48151,0.716667,All
-3.39214,0.725,2.43681,0.725,3.32161,0.725,2.4002,0.725,-1.25982,0.733333,0.734112,0.725,11.1979,0.733333,0.630691,0.725,-0.661626,0.725,-4.22679,0.725,0.486288,0.725,All
-3.38816,0.733333,2.47463,0.733333,3.32474,0.733333,2.40816,0.733333,-1.2401,0.741667,0.735926,0.733333,11.2333,0.741667,0.638986,0.733333,-0.617103,0.733333,-4.21877,0.733333,0.486671,0.733333,All
-3.37238,0.741667,2.48326,0.741667,3.34374,0.741667,2.41033,0.741667,-1.23652,0.75,0.740834,0.741667,11.2344,0.75,0.6518,0.741667,-0.5828,0.741667,-4.218,0.741667,0.48877,0.741667,All
-3.34449,0.75,2.50344,0.75,3.35409,0.75,2.41266,0.75,-1.216,0.758333,0.74579,0.75,11.2792,0.758333,0.671494,0.75,-0.574991,0.75,-4.19795,0.75,0.496663,0.75,All
-3.34172,0.758333,2.52308,0.758333,3.35444,0.758333,2.41687,0.758333,-1.17361,0.766667,0.756985,0.758333,11.3058,0.766667,0.682006,0.758333,-0.499239,0.758333,-4.1843,0.758333,0.497503,0.758333,All
-3.32807,0.766667,2.60532,0.766667,3.35747,0.766667,2.4222,0.766667,-1.11701,0.775,0.768897,0.766667,11.314,0.775,0.69925,0.766667,-0.494333,0.766667,-4.1754,0.766667,0.498117,0.766667,All
-3.32541,0.775,2.63505,0.775,3.36238,0.775,2.42318,0.775,-1.10062,0.783333,0.778048,0.775,11.3154,0.783333,0.706809,0.775,-0.476989,0.775,-4.1734,0.775,0.500761,0.775,All
-3.31782,0.783333,2.75257,0.783333,3.36419,0.783333,2.45553,0.783333,-1.08747,0.791667,0.779632,0.783333,11.3905,0.791667,0.716767,0.783333,-0.459607,0.783333,-4.1702,0.783333,0.502903,0.783333,All
-3.23242,0.791667,2.75736,0.791667,3.40828,0.791667,2.46027,0.791667,-1.0829,0.8,0.79024,0.791667,11.3952,0.8,0.777562,0.791667,-0.431384,0.791667,-4.13967,0.791667,0.508445,0.791667,All
-3.19657,0.8,2.75744,0.8,3.41848,0.8,2.46505,0.8,-1.05737,0.808333,0.794783,0.8,11.4523,0.808333,0.778552,0.8,-0.427159,0.8,-4.13684,0.8,0.524705,0.8,All
-3.19056,0.808333,2.78002,0.808333,3.42096,0.808333,2.47639,0.808333,-1.04808,0.816667,0.796908,0.808333,11.471,0.816667,0.785386,0.808333,-0.380886,0.808333,-4.12821,0.808333,0.525903,0.808333,All
-3.09928,0.816667,2.8203,0.816667,3.43327,0.816667,2.48037,0.816667,-1.04158,0.825,0.797061,0.816667,11.5057,0.825,0.785782,0.816667,-0.311866,0.816667,-4.10389,0.816667,0.536811,0.816667,All
-3.07844,0.825,2.86384,0.825,3.43473,0.825,2.5264,0.825,-1.03775,0.833333,0.798783,0.825,11.5167,0.833333,0.795057,0.825,-0.289983,0.825,-4.10318,0.825,0.583012,0.825,All
-3.06421,0.833333,2.87352,0.833333,3.43751,0.833333,2.52763,0.833333,-1.03647,0.841667,0.809567,0.833333,11.536,0.841667,0.804873,0.833333,-0.267883,0.833333,-4.09136,0.833333,0.587791,0.833333,All
-3.05882,0.841667,2.89879,0.841667,3.43841,0.841667,2.56563,0.841667,-1.03156,0.85,0.81988,0.841667,11.5405,0.85,0.843455,0.841667,-0.25001,0.841667,-4.07751,0.841667,0.587892,0.841667,All
-2.95329,0.85,2.93597,0.85,3.46644,0.85,2.58136,0.85,-0.989355,0.858333,0.82074,0.85,11.6648,0.858333,0.854561,0.85,-0.185778,0.85,-4.06613,0.85,0.589939,0.85,All
-2.90264,0.858333,3.0219,0.858333,3.46885,0.858333,2.60497,0.858333,-0.98435,0.866667,0.830901,0.858333,11.6746,0.866667,0.880794,0.858333,-0.173859,0.858333,-4.054,0.858333,0.627397,0.858333,All
-2.89149,0.866667,3.0718,0.866667,3.4788,0.866667,2.61184,0.866667,-0.965896,0.875,0.837157,0.866667,11.693,0.875,0.901917,0.866667,-0.127764,0.866667,-3.99403,0.866667,0.629882,0.866667,All
-2.85486,0.875,3.08305,0.875,3.48791,0.875,2.63274,0.875,-0.95731,0.883333,0.842872,0.875,11.7077,0.883333,0.915815,0.875,-0.121982,0.875,-3.95898,0.875,0.656944,0.875,All
-2.80381,0.883333,3.09734,0.883333,3.49069,0.883333,2.6667,0.883333,-0.95544,0.891667,0.866771,0.883333,11.7117,0.891667,0.939439,0.883333,-0.0444341,0.883333,-3.95552,0.883333,0.664632,0.883333,All
-2.79571,0.891667,3.18183,0.891667,3.50403,0.891667,2.68634,0.891667,-0.937507,0.9,0.868453,0.891667,11.7191,0.9,1.00647,0.891667,0.123535,0.891667,-3.89133,0.891667,0.676196,0.891667,All
-2.79515,0.9,3.20081,0.9,3.50726,0.9,2.80092,0.9,-0.919532,0.908333,0.876707,0.9,11.7785,0.908333,1.0109,0.9,0.127083,0.9,-3.87218,0.9,0.729324,0.9,All
-2.78385,0.908333,3.21323,0.908333,3.52595,0.908333,2.83207,0.908333,-0.887942,0.916667,0.879288,0.908333,11.7856,0.916667,1.07278,0.908333,0.152286,0.908333,-3.79998,0.908333,0.758111,0.908333,All
-2.77397,0.916667,3.45876,0.916667,3.53371,0.916667,2.86361,0.916667,-0.885567,0.925,0.899887,0.916667,11.7897,0.925,1.11318,0.916667,0.180617,0.916667,-3.78672,0.916667,0.838593,0.916667,All
-2.76498,0.925,3.46768,0.925,3.53729,0.925,4.08188,0.925,-0.850098,0.933333,0.901095,0.925,11.7959,0.933333,1.12042,0.925,0.233231,0.925,-3.74973,0.925,0.855154,0.925,All
-2.75974,0.933333,3.48703,0.933333,3.55263,0.933333,4.15576,0.933333,-0.83569,0.941667,0.906849,0.933333,11.8075,0.941667,1.5131,0.933333,0.319712,0.933333,-3.66221,0.933333,0.903367,0.933333,All
-2.74203,0.941667,3.49154,0.941667,3.55407,0.941667,4.16817,0.941667,-0.830016,0.95,0.908819,0.941667,11.8329,0.95,1.58077,0.941667,0.333979,0.941667,-3.6488,0.941667,0.978706,0.941667,All
-2.73673,0.95,3.54106,0.95,3.5633,0.95,4.23244,0.95,-0.795378,0.958333,0.916945,0.95,11.847,0.958333,1.71384,0.95,0.385357,0.95,-3.63319,0.95,0.992915,0.95,All
-2.67751,0.958333,3.71762,0.958333,3.56401,0.958333,4.26674,0.958333,-0.791926,0.966667,0.959945,0.958333,11.8516,0.966667,1.82941,0.958333,0.757498,0.958333,-3.61567,0.958333,1.0169,0.958333,All
-2.62202,0.966667,3.77612,0.966667,3.57649,0.966667,4.29733,0.966667,-0.789441,0.975,0.964849,0.966667,11.926,0.975,2.03204,0.966667,0.779619,0.966667,-3.58617,0.966667,1.09191,0.966667,All
-2.62032,0.975,3.77716,0.975,3.58703,0.975,4.31036,0.975,-0.539272,0.983333,0.9698,0.975,11.9449,0.983333,2.158,0.975,0.8096,0.975,-3.56315,0.975,1.12706,0.975,All
-2.59858,0.983333,3.85756,0.983333,3.63072,0.983333,4.31172,0.983333,-0.51448,0.991667,0.982594,0.983333,11.9527,0.991667,2.18631,0.983333,0.828468,0.983333,-3.53614,0.983333,1.27189,0.983333,All
-2.49805,0.991667,4.17372,0.991667,3.69166,0.991667,4.35057,0.991667,0.0487238,1,0.989825,0.991667,11.9805,1,2.19197,0.991667,0.871058,0.991667,-3.53421,0.991667,1.43709,0.991667,All
-2.35522,1,4.56891,1,3.71958,1,4.36833,1,0.0487238,1,1.02016,1,11.9805,1,2.2703,1,0.963006,1,-3.37466,1,1.49719,1,All
