ID,TIME,popPred_medianCOV,cens_popPred_medianCOV,popPred,cens_popPred,indivPred_mean,cens_indivPred_mean,indivPred_mode,cens_indivPred_mode,obsid
7,5.56,7.9081,0,7.9081,0,7.08562,0,7.09815,0,y1
7,5.64119184193756,7.88555,0,7.88555,0,7.18261,0,7.19281,0,y1
7,5.68,7.87441,0,7.87441,0,7.22768,0,7.23665,0,y1
7,5.7677154858409,7.8484,0,7.8484,0,7.32591,0,7.33256,0,y1
7,5.8,7.83857,0,7.83857,0,7.36063,0,7.36638,0,y1
7,5.8970768691644,7.80825,0,7.80825,0,7.45982,0,7.46321,0,y1
7,5.92,7.80094,0,7.80094,0,7.48208,0,7.48518,0,y1
7,6,7.77504,0,7.77504,0,7.55688,0,7.55846,0,y1
7,6.02933963823352,7.7654,0,7.7654,0,7.58312,0,7.58373,0,y1
7,6.04,7.76188,0,7.76188,0,7.59239,0,7.59271,0,y1
7,6.16,7.72161,0,7.72161,0,7.68489,0,7.68664,0,y1
7,6.16456886686726,7.72006,0,7.72006,0,7.68808,0,7.68995,0,y1
7,6.28,7.6804,0,7.6804,0,7.76156,0,7.76606,0,y1
7,6.30283108839477,7.67245,0,7.67245,0,7.7743,0,7.77937,0,y1
7,6.4,7.63808,0,7.63808,0,7.82071,0,7.82955,0,y1
7,6.44419432839,7.62208,0,7.62208,0,7.8379,0,7.84879,0,y1
7,6.5,7.60136,0,7.60136,0,7.85674,0,7.86985,0,y1
7,6.52,7.59378,0,7.59378,0,7.86259,0,7.87653,0,y1
7,6.58872813814059,7.56713,0,7.56713,0,7.87854,0,7.89599,0,y1
7,6.64,7.54661,0,7.54661,0,7.88639,0,7.90698,0,y1
7,6.73650362886733,7.50655,0,7.50655,0,7.89343,0,7.91964,0,y1
7,6.76,7.4965,0,7.4965,0,7.8936,0,7.92121,0,y1
7,6.88,7.4433,0,7.4433,0,7.88464,0,7.92047,0,y1
7,6.88759350671123,7.43983,0,7.43983,0,7.88358,0,7.91994,0,y1
7,7,7.38696,0,7.38696,0,7.86195,0,7.90595,0,y1
7,7.04207210850521,7.36646,0,7.36646,0,7.85097,0,7.89798,0,y1
7,7.12,7.32742,0,7.32742,0,7.82698,0,7.87951,0,y1
7,7.2000154383481,7.28591,0,7.28591,0,7.79783,0,7.85604,0,y1
7,7.24,7.26462,0,7.26462,0,7.78186,0,7.84291,0,y1
7,7.36,7.19857,0,7.19857,0,7.72874,0,7.79801,0,y1
7,7.361501204999,7.19772,0,7.19772,0,7.72803,0,7.7974,0,y1
7,7.48,7.1292,0,7.1292,0,7.66924,0,7.74648,0,y1
7,7.5,7.11732,0,7.11732,0,7.65894,0,7.73738,0,y1
7,7.5266088601103,7.10136,0,7.10136,0,7.64498,0,7.72506,0,y1
7,7.6,7.05649,0,7.05649,0,7.60538,0,7.68997,0,y1
7,7.6954196373182,6.9963,0,6.9963,0,7.55219,0,7.64242,0,y1
7,7.72,6.98045,0,6.98045,0,7.53829,0,7.62991,0,y1
7,7.84,6.90102,0,6.90102,0,7.46982,0,7.5678,0,y1
7,7.86801659220999,6.882,0,6.882,0,7.45371,0,7.55313,0,y1
7,7.96,6.81827,0,6.81827,0,7.40104,0,7.50475,0,y1
7,8,6.78994,0,6.78994,0,7.37821,0,7.48368,0,y1
7,8.04448464318775,6.75801,0,6.75801,0,7.35295,0,7.46031,0,y1
7,8.08,6.7322,0,6.7322,0,7.33295,0,7.44172,0,y1
7,8.2,6.64289,0,6.64289,0,7.26636,0,7.37959,0,y1
7,8.22491061324853,6.62395,0,6.62395,0,7.25284,0,7.36688,0,y1
7,8.32,6.55037,0,6.55037,0,7.20196,0,7.319,0,y1
7,8.40938327270165,6.47946,0,6.47946,0,7.15583,0,7.27547,0,y1
7,8.44,6.45479,0,6.45479,0,7.14034,0,7.26083,0,y1
7,8.5,6.40591,0,6.40591,0,7.11057,0,7.23265,0,y1
7,8.56,6.35636,0,6.35636,0,7.08175,0,7.20534,0,y1
7,8.59799338284401,6.32465,0,6.32465,0,7.06382,0,7.18842,0,y1
7,8.68,6.25545,0,6.25545,0,7.02646,0,7.15262,0,y1
7,8.79083374061504,6.16044,0,6.16044,0,6.97839,0,7.10717,0,y1
7,8.8,6.15251,0,6.15251,0,6.97458,0,7.10351,0,y1
7,8.92,6.04792,0,6.04792,0,6.92579,0,7.05702,0,y1
7,8.98799922425316,5.98807,0,5.98807,0,6.89773,0,7.03221,0,y1
7,9,5.97748,0,5.97748,0,6.89263,0,7.02789,0,y1
7,9.04,5.94211,0,5.94211,0,6.8752,0,7.01368,0,y1
7,9.16,5.83561,0,5.83561,0,6.82025,0,6.97027,0,y1
7,9.18958683997628,5.80931,0,5.80931,0,6.80596,0,6.95896,0,y1
7,9.28,5.72902,0,5.72902,0,6.76104,0,6.92307,0,y1
7,9.39569576970923,5.62665,0,5.62665,0,6.70063,0,6.87422,0,y1
7,9.4,5.62285,0,5.62285,0,6.69832,0,6.87234,0,y1
7,9.5,5.53503,0,5.53503,0,6.64379,0,6.82747,0,y1
7,9.52,5.51758,0,5.51758,0,6.63264,0,6.81825,0,y1
7,9.60642741988167,5.4426,0,5.4426,0,6.58362,0,6.7775,0,y1
7,9.64,5.41372,0,5.41372,0,6.56425,0,6.76128,0,y1
7,9.76,5.31166,0,5.31166,0,6.49323,0,6.7016,0,y1
7,9.82188547132048,5.25987,0,5.25987,0,6.45582,0,6.66983,0,y1
7,9.88,5.21181,0,5.21181,0,6.42004,0,6.63938,0,y1
7,10,5.11423,0,5.11423,0,6.34373,0,6.57461,0,y1
7,10.0421759302611,5.0806,0,5.0806,0,6.31666,0,6.55124,0,y1
7,10.12,5.01959,0,5.01959,0,6.26397,0,6.50732,0,y1
7,10.24,4.92784,0,4.92784,0,6.18297,0,6.43764,0,y1
7,10.2674071805032,4.90691,0,4.90691,0,6.16356,0,6.42138,0,y1
7,10.36,4.83706,0,4.83706,0,6.10017,0,6.36546,0,y1
7,10.48,4.74902,0,4.74902,0,6.01336,0,6.29065,0,y1
7,10.4976900367357,4.73627,0,4.73627,0,6.00062,0,6.27941,0,y1
7,10.5,4.73461,0,4.73461,0,5.99895,0,6.27794,0,y1
7,10.6,4.66377,0,4.66377,0,5.92438,0,6.21344,0,y1
7,10.72,4.58147,0,4.58147,0,5.83327,0,6.13385,0,y1
