standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
0.102685,0.5,-0.000739392,0.5,0.123476,0.5,-0.151311,0.5,0.350899,0.5,-0.182721,0.5,-0.304766,0.5,0.0327397,0.5,-0.149717,0.5,-0.170884,0.5,-0.172673,0.5,All
0.123608,0.508333,0.00766004,0.508333,0.153181,0.508333,-0.140664,0.508333,0.374499,0.508333,-0.159119,0.508333,-0.261681,0.508333,0.0557371,0.508333,-0.12465,0.508333,-0.139512,0.508333,-0.1718,0.508333,All
0.134908,0.516667,0.031339,0.516667,0.158483,0.516667,-0.130314,0.516667,0.385596,0.516667,-0.116661,0.516667,-0.256566,0.516667,0.107475,0.516667,-0.117612,0.516667,-0.110017,0.516667,-0.0867595,0.516667,All
0.135697,0.525,0.0323511,0.525,0.164202,0.525,-0.119082,0.525,0.386057,0.525,-0.11664,0.525,-0.232278,0.525,0.147976,0.525,-0.0918105,0.525,-0.0586237,0.525,-0.0763289,0.525,All
0.163836,0.533333,0.0352142,0.533333,0.174546,0.533333,-0.110888,0.533333,0.390338,0.533333,-0.0348811,0.533333,-0.212839,0.533333,0.173357,0.533333,-0.0627592,0.533333,-0.038121,0.533333,-0.0755948,0.533333,All
0.175625,0.541667,0.0457946,0.541667,0.229268,0.541667,-0.0986474,0.541667,0.391986,0.541667,-0.00694139,0.541667,-0.18958,0.541667,0.22414,0.541667,-0.0420982,0.541667,-0.0203057,0.541667,-0.038217,0.541667,All
0.189004,0.55,0.0556929,0.55,0.250424,0.55,-0.0607095,0.55,0.395243,0.55,-0.00384336,0.55,-0.186964,0.55,0.235385,0.55,-0.0296692,0.55,-0.0195098,0.55,-0.0267159,0.55,All
0.217536,0.558333,0.0560348,0.558333,0.260171,0.558333,-0.0560625,0.558333,0.407145,0.558333,0.000348951,0.558333,-0.16498,0.558333,0.24435,0.558333,-0.0137723,0.558333,-0.00785148,0.558333,0.0176943,0.558333,All
0.22326,0.566667,0.108809,0.566667,0.30089,0.566667,-0.0516954,0.566667,0.415106,0.566667,0.161697,0.566667,-0.164295,0.566667,0.323336,0.566667,-0.00894096,0.566667,0.00760454,0.566667,0.0317396,0.566667,All
0.23696,0.575,0.134636,0.575,0.323757,0.575,-0.0185978,0.575,0.41584,0.575,0.18809,0.575,-0.14266,0.575,0.331887,0.575,0.0139146,0.575,0.0109358,0.575,0.042409,0.575,All
0.238142,0.583333,0.158477,0.583333,0.336494,0.583333,0.0866332,0.583333,0.441721,0.583333,0.190327,0.583333,-0.11983,0.583333,0.34195,0.583333,0.0149113,0.583333,0.0376137,0.583333,0.126617,0.583333,All
0.241524,0.591667,0.171063,0.591667,0.341855,0.591667,0.182641,0.591667,0.443925,0.591667,0.191009,0.591667,-0.0225319,0.591667,0.342149,0.591667,0.0164711,0.591667,0.0744552,0.591667,0.284359,0.591667,All
0.250654,0.6,0.187549,0.6,0.377484,0.6,0.323317,0.6,0.450525,0.6,0.191393,0.6,-0.0158683,0.6,0.356049,0.6,0.0382125,0.6,0.0943359,0.6,0.340241,0.6,All
0.274222,0.608333,0.223987,0.608333,0.395401,0.608333,0.369247,0.608333,0.456518,0.608333,0.207925,0.608333,-0.0122913,0.608333,0.356993,0.608333,0.0591479,0.608333,0.140653,0.608333,0.356507,0.608333,All
0.293488,0.616667,0.22559,0.616667,0.402253,0.616667,0.376422,0.616667,0.476615,0.616667,0.239407,0.616667,0.0264977,0.616667,0.380648,0.616667,0.0605742,0.616667,0.165626,0.616667,0.394041,0.616667,All
0.319538,0.625,0.268618,0.625,0.406673,0.625,0.415533,0.625,0.487529,0.625,0.305076,0.625,0.0466261,0.625,0.400196,0.625,0.0728084,0.625,0.19609,0.625,0.399161,0.625,All
0.389581,0.633333,0.301317,0.633333,0.411968,0.633333,0.468054,0.633333,0.530358,0.633333,0.338555,0.633333,0.0864492,0.633333,0.405649,0.633333,0.109287,0.633333,0.207875,0.633333,0.447988,0.633333,All
0.407198,0.641667,0.435373,0.641667,0.431669,0.641667,0.46883,0.641667,0.542516,0.641667,0.338874,0.641667,0.102318,0.641667,0.416629,0.641667,0.20106,0.641667,0.209388,0.641667,0.451448,0.641667,All
0.414549,0.65,0.477751,0.65,0.436056,0.65,0.477281,0.65,0.553704,0.65,0.401558,0.65,0.12353,0.65,0.429457,0.65,0.207399,0.65,0.211402,0.65,0.476801,0.65,All
0.4166,0.658333,0.483376,0.658333,0.449592,0.658333,0.49212,0.658333,0.563895,0.658333,0.428872,0.658333,0.148871,0.658333,0.438987,0.658333,0.259078,0.658333,0.258986,0.658333,0.480526,0.658333,All
0.424985,0.666667,0.49101,0.666667,0.453313,0.666667,0.504908,0.666667,0.575821,0.666667,0.489803,0.666667,0.155744,0.666667,0.44224,0.666667,0.287281,0.666667,0.26785,0.666667,0.486246,0.666667,All
0.46957,0.675,0.505506,0.675,0.475976,0.675,0.505159,0.675,0.578464,0.675,0.517336,0.675,0.171619,0.675,0.449559,0.675,0.290427,0.675,0.289212,0.675,0.514439,0.675,All
0.472561,0.683333,0.514078,0.683333,0.514683,0.683333,0.518344,0.683333,0.586384,0.683333,0.550019,0.683333,0.17232,0.683333,0.454526,0.683333,0.369605,0.683333,0.335289,0.683333,0.619339,0.683333,All
0.516534,0.691667,0.538051,0.691667,0.525814,0.691667,0.52465,0.691667,0.596593,0.691667,0.555937,0.691667,0.198889,0.691667,0.458857,0.691667,0.375202,0.691667,0.358231,0.691667,0.64879,0.691667,All
0.545546,0.7,0.560928,0.7,0.534483,0.7,0.545758,0.7,0.615817,0.7,0.563049,0.7,0.200486,0.7,0.460525,0.7,0.392262,0.7,0.381037,0.7,0.66429,0.7,All
0.548378,0.708333,0.605364,0.708333,0.538751,0.708333,0.550092,0.708333,0.62508,0.708333,0.574964,0.708333,0.23978,0.708333,0.498321,0.708333,0.402205,0.708333,0.394491,0.708333,0.692023,0.708333,All
0.552601,0.716667,0.62091,0.716667,0.550778,0.716667,0.555569,0.716667,0.628531,0.716667,0.61163,0.716667,0.255817,0.716667,0.514032,0.716667,0.41676,0.716667,0.39858,0.716667,0.709386,0.716667,All
0.553503,0.725,0.633263,0.725,0.590284,0.725,0.565743,0.725,0.628665,0.725,0.771581,0.725,0.321659,0.725,0.530652,0.725,0.44523,0.725,0.480143,0.725,0.73084,0.725,All
0.57152,0.733333,0.643662,0.733333,0.602436,0.733333,0.584181,0.733333,0.676161,0.733333,0.778577,0.733333,0.361627,0.733333,0.534703,0.733333,0.496172,0.733333,0.487103,0.733333,0.74874,0.733333,All
0.579947,0.741667,0.667419,0.741667,0.610248,0.741667,0.616864,0.741667,0.699561,0.741667,0.792244,0.741667,0.363273,0.741667,0.54331,0.741667,0.498446,0.741667,0.583686,0.741667,0.766065,0.741667,All
0.580103,0.75,0.70484,0.75,0.626534,0.75,0.646798,0.75,0.714398,0.75,0.794745,0.75,0.393214,0.75,0.54576,0.75,0.601045,0.75,0.72989,0.75,0.857687,0.75,All
0.608125,0.758333,0.730537,0.758333,0.640637,0.758333,0.65597,0.758333,0.731589,0.758333,0.857285,0.758333,0.428074,0.758333,0.577832,0.758333,0.628779,0.758333,0.739863,0.758333,0.862962,0.758333,All
0.625409,0.766667,0.761236,0.766667,0.640864,0.766667,0.715553,0.766667,0.755188,0.766667,0.888066,0.766667,0.432659,0.766667,0.586208,0.766667,0.696949,0.766667,0.745193,0.766667,0.890839,0.766667,All
0.628618,0.775,0.776664,0.775,0.661373,0.775,0.721833,0.775,0.769052,0.775,0.952304,0.775,0.474749,0.775,0.591146,0.775,0.708788,0.775,0.786082,0.775,0.898847,0.775,All
0.650725,0.783333,0.940501,0.783333,0.682673,0.783333,0.750453,0.783333,0.837615,0.783333,0.97159,0.783333,0.55039,0.783333,0.607151,0.783333,0.740798,0.783333,0.787918,0.783333,0.910133,0.783333,All
0.679744,0.791667,0.971851,0.791667,0.687412,0.791667,0.751394,0.791667,0.856978,0.791667,0.981811,0.791667,0.561918,0.791667,0.623308,0.791667,0.748421,0.791667,0.85364,0.791667,0.945704,0.791667,All
0.726142,0.8,0.976211,0.8,0.703986,0.8,0.758756,0.8,0.867697,0.8,0.985566,0.8,0.5906,0.8,0.637005,0.8,0.798418,0.8,0.985548,0.8,0.95733,0.8,All
0.731567,0.808333,0.97663,0.808333,0.713833,0.808333,0.767865,0.808333,0.877408,0.808333,1.06282,0.808333,0.72444,0.808333,0.646667,0.808333,0.802438,0.808333,1.0334,0.808333,0.960803,0.808333,All
0.747404,0.816667,1.11857,0.816667,0.738205,0.816667,0.804223,0.816667,0.878181,0.816667,1.23536,0.816667,1.07203,0.816667,0.647514,0.816667,0.847578,0.816667,1.0836,0.816667,1.0047,0.816667,All
0.758054,0.825,1.17607,0.825,0.783209,0.825,0.809236,0.825,0.878478,0.825,1.31962,0.825,1.19677,0.825,0.669509,0.825,1.09557,0.825,1.10328,0.825,1.01844,0.825,All
0.798789,0.833333,1.18071,0.833333,0.799324,0.833333,0.818188,0.833333,0.899518,0.833333,1.34788,0.833333,1.24507,0.833333,0.690931,0.833333,1.31474,0.833333,1.15284,0.833333,1.03101,0.833333,All
0.806313,0.841667,1.19342,0.841667,0.844265,0.841667,0.834254,0.841667,0.916694,0.841667,1.35191,0.841667,1.41704,0.841667,0.748172,0.841667,1.48499,0.841667,1.21144,0.841667,1.04457,0.841667,All
0.807843,0.85,1.2328,0.85,0.867296,0.85,0.835234,0.85,0.917036,0.85,1.35469,0.85,1.46863,0.85,0.765182,0.85,1.53912,0.85,1.22089,0.85,1.05573,0.85,All
0.808964,0.858333,1.23334,0.858333,0.894193,0.858333,0.844502,0.858333,0.926942,0.858333,1.39239,0.858333,1.48157,0.858333,0.771239,0.858333,1.55714,0.858333,1.25428,0.858333,1.06485,0.858333,All
0.822384,0.866667,1.25738,0.866667,0.897803,0.866667,0.8525,0.866667,0.92946,0.866667,1.4154,0.866667,1.52742,0.866667,0.787521,0.866667,1.63694,0.866667,1.26155,0.866667,1.08156,0.866667,All
0.871566,0.875,1.28677,0.875,0.96264,0.875,0.853813,0.875,0.957036,0.875,1.42214,0.875,1.59289,0.875,0.82428,0.875,1.63756,0.875,1.32756,0.875,1.09247,0.875,All
0.910214,0.883333,1.29276,0.883333,1.0679,0.883333,0.924503,0.883333,0.977099,0.883333,1.44068,0.883333,1.64887,0.883333,0.824748,0.883333,1.6732,0.883333,1.34917,0.883333,1.09663,0.883333,All
0.961632,0.891667,1.29916,0.891667,1.06791,0.891667,0.93341,0.891667,0.986296,0.891667,1.45192,0.891667,1.73254,0.891667,0.825006,0.891667,1.68029,0.891667,1.34962,0.891667,1.12886,0.891667,All
1.02749,0.9,1.30939,0.9,1.10992,0.9,0.993313,0.9,0.987161,0.9,1.4584,0.9,1.77263,0.9,0.851838,0.9,1.70321,0.9,1.38739,0.9,1.13051,0.9,All
1.12372,0.908333,1.36132,0.908333,1.11448,0.908333,1.09019,0.908333,1.00673,0.908333,1.48713,0.908333,1.89806,0.908333,0.861714,0.908333,1.70505,0.908333,1.43985,0.908333,1.27027,0.908333,All
1.20283,0.916667,1.41181,0.916667,1.11463,0.916667,1.13459,0.916667,1.03613,0.916667,1.49848,0.916667,1.94441,0.916667,0.968823,0.916667,1.71513,0.916667,1.45064,0.916667,1.38766,0.916667,All
1.6625,0.925,1.48131,0.925,1.13028,0.925,1.56399,0.925,1.04619,0.925,1.51124,0.925,1.96529,0.925,1.2634,0.925,1.73611,0.925,1.48309,0.925,1.40542,0.925,All
1.95136,0.933333,1.586,0.933333,1.13953,0.933333,1.58037,0.933333,1.05903,0.933333,1.51167,0.933333,2.04399,0.933333,1.45402,0.933333,1.75811,0.933333,1.52436,0.933333,1.43508,0.933333,All
1.98323,0.941667,1.62311,0.941667,1.24372,0.941667,1.65648,0.941667,1.08492,0.941667,1.52918,0.941667,2.08077,0.941667,1.51453,0.941667,1.78606,0.941667,1.59949,0.941667,1.4579,0.941667,All
2.08439,0.95,1.64981,0.95,1.29581,0.95,1.6661,0.95,1.10579,0.95,1.5388,0.95,2.10705,0.95,1.6865,0.95,1.7881,0.95,1.61705,0.95,1.46619,0.95,All
2.19843,0.958333,1.82001,0.958333,1.30175,0.958333,1.68396,0.958333,1.12866,0.958333,1.54369,0.958333,2.12168,0.958333,1.87032,0.958333,1.90232,0.958333,1.61985,0.958333,1.49742,0.958333,All
