standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_alpha_exp_abscissa,standEta_alpha_exp_cdf,split
0.0243763,0.5,-0.318275,0.5,0.190318,0.5,0.0555764,0.5,0.388474,0.5,-0.323123,0.5,-0.12931,0.5,0.043686,0.5,-0.254538,0.5,-0.18905,0.5,All
0.033305,0.508333,-0.292145,0.508333,0.197837,0.508333,0.0571481,0.508333,0.39109,0.508333,-0.247074,0.508333,-0.119987,0.508333,0.0921415,0.508333,-0.237727,0.508333,-0.186366,0.508333,All
0.0338748,0.516667,-0.285932,0.516667,0.239722,0.516667,0.061501,0.516667,0.430977,0.516667,-0.217794,0.516667,-0.0648175,0.516667,0.0955182,0.516667,-0.204567,0.516667,-0.150501,0.516667,All
0.0583457,0.525,-0.255113,0.525,0.246007,0.525,0.0713115,0.525,0.467997,0.525,-0.21617,0.525,-0.0566528,0.525,0.0962801,0.525,-0.184479,0.525,-0.0642431,0.525,All
0.0772471,0.533333,-0.226187,0.533333,0.250752,0.533333,0.0808187,0.533333,0.487398,0.533333,-0.168955,0.533333,-0.048341,0.533333,0.0971692,0.533333,-0.165157,0.533333,-0.0570297,0.533333,All
0.0921013,0.541667,-0.21536,0.541667,0.283507,0.541667,0.0876174,0.541667,0.494524,0.541667,-0.127937,0.541667,-0.0481148,0.541667,0.10586,0.541667,-0.148688,0.541667,-0.0483164,0.541667,All
0.10868,0.55,-0.192816,0.55,0.294418,0.55,0.0902616,0.55,0.520457,0.55,0.0249373,0.55,-0.03812,0.55,0.113789,0.55,-0.00935777,0.55,-0.0403853,0.55,All
0.229054,0.558333,-0.0893257,0.558333,0.310106,0.558333,0.102572,0.558333,0.539525,0.558333,0.0255454,0.558333,-0.0137951,0.558333,0.123181,0.558333,-0.00308695,0.558333,-0.0286844,0.558333,All
0.243415,0.566667,-0.082354,0.566667,0.325828,0.566667,0.112923,0.566667,0.542971,0.566667,0.0459646,0.566667,0.00100403,0.566667,0.12655,0.566667,0.00426531,0.566667,0.00550881,0.566667,All
0.269691,0.575,-0.0470125,0.575,0.326054,0.575,0.119059,0.575,0.58577,0.575,0.0664733,0.575,0.0159488,0.575,0.148477,0.575,0.291397,0.575,0.0172587,0.575,All
0.290821,0.583333,0.0186381,0.583333,0.359591,0.583333,0.149796,0.583333,0.592583,0.583333,0.0949264,0.583333,0.0199058,0.583333,0.149239,0.583333,0.295022,0.583333,0.0238038,0.583333,All
0.329511,0.591667,0.0735914,0.591667,0.395352,0.591667,0.150842,0.591667,0.621134,0.591667,0.176182,0.591667,0.0236234,0.591667,0.153876,0.591667,0.318523,0.591667,0.03358,0.591667,All
0.360636,0.6,0.0781772,0.6,0.395591,0.6,0.169866,0.6,0.6229,0.6,0.177208,0.6,0.0412688,0.6,0.15903,0.6,0.356043,0.6,0.0343453,0.6,All
0.429148,0.608333,0.0889665,0.608333,0.4197,0.608333,0.191994,0.608333,0.631753,0.608333,0.209078,0.608333,0.0554963,0.608333,0.160215,0.608333,0.378332,0.608333,0.049465,0.608333,All
0.443062,0.616667,0.118392,0.616667,0.423167,0.616667,0.214827,0.616667,0.638188,0.616667,0.247915,0.616667,0.0780319,0.616667,0.181494,0.616667,0.381536,0.616667,0.0707752,0.616667,All
0.448248,0.625,0.194095,0.625,0.432139,0.625,0.216696,0.625,0.648409,0.625,0.409995,0.625,0.099591,0.625,0.186734,0.625,0.491109,0.625,0.0722237,0.625,All
0.448607,0.633333,0.27388,0.633333,0.439706,0.633333,0.305837,0.633333,0.68539,0.633333,0.416036,0.633333,0.108753,0.633333,0.191614,0.633333,0.527936,0.633333,0.0869333,0.633333,All
0.465464,0.641667,0.276038,0.641667,0.456859,0.641667,0.327032,0.641667,0.689077,0.641667,0.564666,0.641667,0.141299,0.641667,0.202803,0.641667,0.542091,0.641667,0.105261,0.641667,All
0.473851,0.65,0.293053,0.65,0.465583,0.65,0.345212,0.65,0.702307,0.65,0.634072,0.65,0.154589,0.65,0.26994,0.65,0.639711,0.65,0.158184,0.65,All
0.478966,0.658333,0.302005,0.658333,0.477091,0.658333,0.374454,0.658333,0.712929,0.658333,0.685288,0.658333,0.193082,0.658333,0.323325,0.658333,0.655933,0.658333,0.200286,0.658333,All
0.498211,0.666667,0.353726,0.666667,0.513704,0.666667,0.456017,0.666667,0.721882,0.666667,0.702173,0.666667,0.302169,0.666667,0.353677,0.666667,0.65812,0.666667,0.261874,0.666667,All
0.551992,0.675,0.356325,0.675,0.515515,0.675,0.487521,0.675,0.735291,0.675,0.772375,0.675,0.334791,0.675,0.389667,0.675,0.727795,0.675,0.347282,0.675,All
0.55895,0.683333,0.423993,0.683333,0.596776,0.683333,0.530099,0.683333,0.745093,0.683333,0.779371,0.683333,0.336787,0.683333,0.391589,0.683333,0.770752,0.683333,0.366821,0.683333,All
0.561669,0.691667,0.488285,0.691667,0.598942,0.691667,0.552788,0.691667,0.750982,0.691667,0.809054,0.691667,0.35075,0.691667,0.410425,0.691667,0.864582,0.691667,0.37991,0.691667,All
0.602871,0.7,0.568541,0.7,0.599861,0.7,0.557533,0.7,0.777843,0.7,0.879938,0.7,0.377038,0.7,0.415256,0.7,0.935833,0.7,0.386676,0.7,All
0.675461,0.708333,0.601292,0.708333,0.605454,0.708333,0.652668,0.708333,0.779765,0.708333,0.894105,0.708333,0.413181,0.708333,0.44608,0.708333,0.94638,0.708333,0.401618,0.708333,All
0.678892,0.716667,0.74974,0.716667,0.633332,0.716667,0.71614,0.716667,0.794633,0.716667,0.914871,0.716667,0.418302,0.716667,0.478573,0.716667,0.959754,0.716667,0.449713,0.716667,All
0.692137,0.725,0.751462,0.725,0.688114,0.725,0.718209,0.725,0.813576,0.725,0.917216,0.725,0.432315,0.725,0.514515,0.725,0.962298,0.725,0.457579,0.725,All
0.720239,0.733333,0.765933,0.733333,0.713835,0.733333,0.719688,0.733333,0.822842,0.733333,0.927886,0.733333,0.439552,0.733333,0.525993,0.733333,0.965196,0.733333,0.46167,0.733333,All
0.730027,0.741667,0.768235,0.741667,0.724135,0.741667,0.725977,0.741667,0.823772,0.741667,0.931985,0.741667,0.509146,0.741667,0.556148,0.741667,0.974301,0.741667,0.497608,0.741667,All
0.730189,0.75,0.828798,0.75,0.725912,0.75,0.740615,0.75,0.830511,0.75,0.952993,0.75,0.51963,0.75,0.564424,0.75,1.01787,0.75,0.515093,0.75,All
0.738054,0.758333,0.84534,0.758333,0.773231,0.758333,0.767685,0.758333,0.852665,0.758333,0.95918,0.758333,0.520951,0.758333,0.565137,0.758333,1.06224,0.758333,0.523613,0.758333,All
0.750514,0.766667,0.876738,0.766667,0.794171,0.766667,0.820499,0.766667,0.862633,0.766667,0.967634,0.766667,0.527295,0.766667,0.565713,0.766667,1.06494,0.766667,0.612832,0.766667,All
0.756776,0.775,0.972012,0.775,0.83217,0.775,0.842645,0.775,0.865398,0.775,1.0266,0.775,0.637081,0.775,0.573078,0.775,1.06817,0.775,0.672788,0.775,All
0.762917,0.783333,0.989559,0.783333,0.835753,0.783333,0.84511,0.783333,0.878709,0.783333,1.03708,0.783333,0.653537,0.783333,0.66065,0.783333,1.07838,0.783333,0.694621,0.783333,All
0.810588,0.791667,0.989731,0.791667,0.837971,0.791667,0.847248,0.791667,0.898483,0.791667,1.07481,0.791667,0.686359,0.791667,0.672387,0.791667,1.08974,0.791667,0.72789,0.791667,All
0.820458,0.8,0.997094,0.8,0.843253,0.8,0.852403,0.8,0.904991,0.8,1.10072,0.8,0.719564,0.8,0.833837,0.8,1.14573,0.8,0.732186,0.8,All
0.884697,0.808333,1.01159,0.808333,0.874731,0.808333,0.873,0.808333,0.905598,0.808333,1.10731,0.808333,0.891128,0.808333,0.920541,0.808333,1.16483,0.808333,0.754088,0.808333,All
0.894972,0.816667,1.01212,0.816667,0.908935,0.816667,0.875988,0.816667,0.918429,0.816667,1.10814,0.816667,0.939569,0.816667,0.939651,0.816667,1.1676,0.816667,0.83579,0.816667,All
0.895286,0.825,1.02702,0.825,0.946771,0.825,0.878238,0.825,0.926265,0.825,1.12055,0.825,1.08438,0.825,1.01482,0.825,1.17134,0.825,0.840878,0.825,All
0.924226,0.833333,1.05605,0.833333,0.98127,0.833333,0.88627,0.833333,0.937186,0.833333,1.1691,0.833333,1.12664,0.833333,1.03341,0.833333,1.255,0.833333,0.864506,0.833333,All
0.933202,0.841667,1.10948,0.841667,0.998882,0.841667,0.899786,0.841667,0.943468,0.841667,1.18915,0.841667,1.13898,0.841667,1.03589,0.841667,1.26458,0.841667,1.08831,0.841667,All
0.947837,0.85,1.1264,0.85,1.01222,0.85,0.922912,0.85,1.02162,0.85,1.20514,0.85,1.18689,0.85,1.03644,0.85,1.26942,0.85,1.1289,0.85,All
0.966033,0.858333,1.14734,0.858333,1.01469,0.858333,0.925807,0.858333,1.04426,0.858333,1.20728,0.858333,1.2697,0.858333,1.06018,0.858333,1.28114,0.858333,1.18643,0.858333,All
0.974235,0.866667,1.30469,0.866667,1.07123,0.866667,0.930764,0.866667,1.05728,0.866667,1.20881,0.866667,1.29457,0.866667,1.12344,0.866667,1.36597,0.866667,1.21964,0.866667,All
1.04702,0.875,1.31302,0.875,1.12517,0.875,0.930845,0.875,1.06601,0.875,1.2318,0.875,1.32229,0.875,1.17944,0.875,1.36946,0.875,1.22842,0.875,All
1.10937,0.883333,1.3477,0.883333,1.12653,0.883333,0.93707,0.883333,1.07645,0.883333,1.24404,0.883333,1.38069,0.883333,1.19964,0.883333,1.38056,0.883333,1.26142,0.883333,All
1.1487,0.891667,1.39403,0.891667,1.12809,0.891667,0.9476,0.891667,1.09588,0.891667,1.31305,0.891667,1.41109,0.891667,1.20115,0.891667,1.41487,0.891667,1.26858,0.891667,All
1.18039,0.9,1.40076,0.9,1.17502,0.9,0.974852,0.9,1.11367,0.9,1.3155,0.9,1.44545,0.9,1.2082,0.9,1.45173,0.9,1.30613,0.9,All
1.28769,0.908333,1.4596,0.908333,1.18916,0.908333,0.989457,0.908333,1.114,0.908333,1.35998,0.908333,1.60061,0.908333,1.25787,0.908333,1.4865,0.908333,1.30871,0.908333,All
1.32218,0.916667,1.47882,0.916667,1.1906,0.916667,0.997165,0.916667,1.11969,0.916667,1.41592,0.916667,1.60988,0.916667,1.36758,0.916667,1.52914,0.916667,1.38177,0.916667,All
1.3337,0.925,1.57445,0.925,1.19498,0.925,1.62847,0.925,1.13893,0.925,1.4283,0.925,1.68447,0.925,1.44369,0.925,1.55832,0.925,1.39553,0.925,All
1.42271,0.933333,1.60329,0.933333,1.20316,0.933333,1.7166,0.933333,1.13961,0.933333,1.47655,0.933333,1.68567,0.933333,1.59399,0.933333,1.60653,0.933333,1.39576,0.933333,All
1.47892,0.941667,1.60956,0.941667,1.32814,0.941667,1.72643,0.941667,1.15299,0.941667,1.51658,0.941667,1.68813,0.941667,1.62428,0.941667,1.61762,0.941667,1.73367,0.941667,All
1.67361,0.95,1.6697,0.95,1.34569,0.95,1.75019,0.95,1.15946,0.95,1.57875,0.95,1.6982,0.95,1.62857,0.95,1.63249,0.95,1.8407,0.95,All
1.73626,0.958333,1.71423,0.958333,1.34781,0.958333,1.75661,0.958333,1.22519,0.958333,1.66884,0.958333,1.74182,0.958333,1.80302,0.958333,1.63785,0.958333,1.88043,0.958333,All
1.78009,0.966667,1.73479,0.966667,1.43347,0.966667,1.77236,0.966667,1.23855,0.966667,1.74757,0.966667,1.75005,0.966667,1.91111,0.966667,1.65344,0.966667,1.92652,0.966667,All
2.08454,0.975,1.7597,0.975,1.47065,0.975,1.78059,0.975,1.27861,0.975,1.79091,0.975,1.77888,0.975,1.94031,0.975,1.80483,0.975,1.99626,0.975,All
2.13882,0.983333,2.02303,0.983333,1.50499,0.983333,1.79849,0.983333,1.3066,0.983333,1.81207,0.983333,1.88619,0.983333,2.07241,0.983333,2.00212,0.983333,2.07999,0.983333,All
2.18447,0.991667,2.11346,0.991667,1.62274,0.991667,1.80156,0.991667,1.42263,0.991667,1.93677,0.991667,1.92405,0.991667,2.43721,0.991667,2.23327,0.991667,2.1408,0.991667,All
2.37906,1,2.16034,1,1.64576,1,1.82436,1,1.4274,1,1.99402,1,1.95107,1,2.56264,1,2.45854,1,2.81453,1,All
4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,All
