iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
37,-3.79886,0.183295,2.42694,0.444819,2.92638,0.195846,2.10436,0.093202,-2.30669,0.331504,0.625549,0.0748824,5.96258,0.476956,0.497306,0.209634,-1.7645,0.220421,-4.27515,0.0155628,0.42452,0.247865
38,-3.79881,0.183938,2.42976,0.445757,2.92721,0.195579,2.10389,0.0932545,-2.30699,0.331842,0.625491,0.0748668,5.96078,0.478965,0.497266,0.209695,-1.76505,0.220891,-4.27522,0.015589,0.425072,0.24828
39,-3.79907,0.185056,2.43129,0.4461,2.92743,0.196019,2.10357,0.0932541,-2.30735,0.332188,0.625522,0.0748089,5.96119,0.480142,0.497378,0.210292,-1.7656,0.22107,-4.27521,0.0156793,0.425354,0.249259
40,-3.79888,0.186049,2.43602,0.446559,2.92728,0.196644,2.10358,0.0929306,-2.30713,0.332297,0.625504,0.0748062,5.96166,0.481007,0.49745,0.211058,-1.76611,0.221339,-4.2752,0.0157137,0.425946,0.250028
41,-3.79877,0.186965,2.44111,0.446836,2.92729,0.197089,2.10364,0.0926244,-2.30756,0.331968,0.625562,0.0747147,5.9618,0.482387,0.497645,0.211453,-1.76713,0.221574,-4.27521,0.0157364,0.426835,0.250844
42,-3.7985,0.188322,2.44594,0.447833,2.92757,0.197717,2.10342,0.092452,-2.30776,0.331668,0.62552,0.0745507,5.95862,0.482461,0.49798,0.212268,-1.76822,0.221863,-4.27514,0.0157425,0.427893,0.251987
43,-3.79805,0.189154,2.4496,0.449297,2.92784,0.198268,2.10364,0.092388,-2.30797,0.331219,0.625476,0.0745242,5.95577,0.482295,0.498283,0.21238,-1.76895,0.222284,-4.27515,0.0157176,0.42846,0.252843
44,-3.79745,0.189914,2.45354,0.450348,2.92842,0.198859,2.10429,0.092166,-2.30815,0.331115,0.625431,0.0745841,5.95466,0.481932,0.498586,0.212509,-1.76985,0.222706,-4.27521,0.0156783,0.429025,0.252865
45,-3.79716,0.190974,2.459,0.45166,2.92866,0.198778,2.10411,0.0920927,-2.30787,0.331783,0.625354,0.0748704,5.95626,0.48101,0.498966,0.212586,-1.7702,0.223059,-4.2752,0.015631,0.42932,0.252789
46,-3.79673,0.19144,2.46358,0.45255,2.92858,0.199071,2.10368,0.0921503,-2.30771,0.332592,0.625289,0.0750702,5.95596,0.481732,0.499342,0.212988,-1.77043,0.223257,-4.2752,0.0155762,0.429273,0.252727
47,-3.79641,0.192423,2.46581,0.452292,2.92848,0.198869,2.10335,0.0921538,-2.30761,0.333419,0.625205,0.0752784,5.95628,0.48188,0.499249,0.213174,-1.77101,0.223869,-4.27518,0.0155843,0.429193,0.251808
48,-3.79565,0.192944,2.46638,0.452183,2.92827,0.19869,2.1035,0.0921381,-2.30765,0.33448,0.625113,0.075609,5.95586,0.482221,0.499067,0.213447,-1.77177,0.225082,-4.2752,0.015558,0.429215,0.251854
49,-3.7951,0.193427,2.46837,0.45224,2.92782,0.198677,2.10333,0.092303,-2.30762,0.335039,0.625059,0.0756942,5.95485,0.482195,0.499051,0.213584,-1.77213,0.225431,-4.27519,0.0155252,0.429211,0.25195
50,-3.79467,0.19375,2.47058,0.452066,2.92747,0.198906,2.10297,0.0924066,-2.30777,0.335196,0.625049,0.075772,5.954,0.482992,0.498605,0.213768,-1.77284,0.225486,-4.27515,0.0154852,0.429256,0.252268
51,-3.79416,0.193871,2.47116,0.451407,2.92654,0.198868,2.10305,0.0922106,-2.3075,0.335126,0.625063,0.0758163,5.95217,0.483442,0.49815,0.213709,-1.77341,0.22524,-4.27516,0.0154436,0.429273,0.25249
52,-3.79373,0.19367,2.47106,0.451158,2.92514,0.198906,2.10296,0.0922018,-2.30727,0.335229,0.625101,0.0759277,5.95042,0.48435,0.497585,0.213504,-1.77429,0.225338,-4.27516,0.0154241,0.429208,0.25234
53,-3.79335,0.193879,2.46766,0.450581,2.92386,0.198546,2.10314,0.0920742,-2.30703,0.335859,0.625101,0.0760365,5.94967,0.485381,0.497129,0.213314,-1.77468,0.225463,-4.27515,0.0154091,0.428751,0.251163
54,-3.79288,0.193718,2.46503,0.450416,2.92291,0.198072,2.10305,0.0921692,-2.30681,0.336581,0.625063,0.0761432,5.94688,0.485908,0.496576,0.213382,-1.77505,0.225058,-4.27513,0.0153737,0.428571,0.250395
