beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_cdf,split
-3.66158,0.366667,0.474545,0.366667,2.68962,0.375,1.455,0.366667,-3.00377,0.375,0.509138,0.366667,4.19901,0.375,0.342657,0.366667,-2.63425,0.366667,-3.87305,0.366667,All
-3.64863,0.375,0.484787,0.375,2.71503,0.383333,1.4693,0.375,-3.00149,0.383333,0.509151,0.375,4.26915,0.383333,0.347099,0.375,-2.63028,0.375,-3.86871,0.375,All
-3.64499,0.383333,0.495175,0.383333,2.72017,0.391667,1.49305,0.383333,-2.95164,0.391667,0.509992,0.383333,4.28027,0.391667,0.34759,0.383333,-2.60295,0.383333,-3.86201,0.383333,All
-3.64244,0.391667,0.49707,0.391667,2.72078,0.4,1.58301,0.391667,-2.94878,0.4,0.510165,0.391667,4.36796,0.4,0.350387,0.391667,-2.60055,0.391667,-3.85931,0.391667,All
-3.62863,0.4,0.503642,0.4,2.72361,0.408333,1.61287,0.4,-2.85674,0.408333,0.51029,0.4,4.47475,0.408333,0.352362,0.4,-2.59927,0.4,-3.85746,0.4,All
-3.62676,0.408333,0.521708,0.408333,2.72435,0.416667,1.61624,0.408333,-2.83851,0.416667,0.511343,0.408333,4.51737,0.416667,0.358965,0.408333,-2.59098,0.408333,-3.84931,0.408333,All
-3.62565,0.416667,0.533441,0.416667,2.74453,0.425,1.64233,0.416667,-2.53283,0.425,0.513315,0.416667,4.85179,0.425,0.359242,0.416667,-2.58949,0.416667,-3.83978,0.416667,All
-3.61955,0.425,0.542201,0.425,2.7854,0.433333,1.68248,0.425,-2.45026,0.433333,0.515143,0.425,4.85959,0.433333,0.365806,0.425,-2.57602,0.425,-3.82962,0.425,All
-3.61598,0.433333,0.547533,0.433333,2.78562,0.441667,1.69211,0.433333,-2.42841,0.441667,0.518229,0.433333,5.04197,0.441667,0.368376,0.433333,-2.55139,0.433333,-3.8146,0.433333,All
-3.60744,0.441667,0.548672,0.441667,2.78664,0.45,1.69471,0.441667,-2.35932,0.45,0.519415,0.441667,5.06023,0.45,0.369712,0.441667,-2.52855,0.441667,-3.80449,0.441667,All
-3.59419,0.45,0.567957,0.45,2.81058,0.458333,1.69776,0.45,-2.30952,0.458333,0.532041,0.45,5.09076,0.458333,0.393956,0.45,-2.52705,0.45,-3.80335,0.45,All
-3.58705,0.458333,0.602798,0.458333,2.81908,0.466667,1.70848,0.458333,-2.14336,0.466667,0.54843,0.458333,5.09696,0.466667,0.396855,0.458333,-2.52621,0.458333,-3.7969,0.458333,All
-3.55232,0.466667,0.617712,0.466667,2.82252,0.475,1.71341,0.466667,-2.12302,0.475,0.548925,0.466667,5.12761,0.475,0.40038,0.466667,-2.51415,0.466667,-3.79044,0.466667,All
-3.5442,0.475,0.619848,0.475,2.82852,0.483333,1.72649,0.475,-1.98092,0.483333,0.551703,0.475,5.1653,0.483333,0.40663,0.475,-2.47092,0.475,-3.79031,0.475,All
-3.54074,0.483333,0.629673,0.483333,2.84082,0.491667,1.72841,0.483333,-1.95377,0.491667,0.554707,0.483333,5.18436,0.491667,0.411392,0.483333,-2.45049,0.483333,-3.7861,0.483333,All
-3.5363,0.491667,0.648016,0.491667,2.84339,0.5,1.72867,0.491667,-1.8997,0.5,0.556815,0.491667,5.44963,0.5,0.411781,0.491667,-2.39425,0.491667,-3.78421,0.491667,All
-3.52257,0.5,0.649143,0.5,2.84736,0.508333,1.73658,0.5,-1.89543,0.508333,0.561703,0.5,5.50055,0.508333,0.417466,0.5,-2.38322,0.5,-3.77706,0.5,All
-3.51768,0.508333,0.66874,0.508333,2.86952,0.516667,1.738,0.508333,-1.83034,0.516667,0.574998,0.508333,5.80308,0.516667,0.430972,0.508333,-2.36849,0.508333,-3.77627,0.508333,All
-3.51737,0.516667,0.673487,0.516667,2.87284,0.525,1.74194,0.516667,-1.76993,0.525,0.5802,0.516667,5.84797,0.525,0.43193,0.516667,-2.33942,0.516667,-3.76572,0.516667,All
-3.50398,0.525,0.697532,0.525,2.87535,0.533333,1.75086,0.525,-1.73827,0.533333,0.58049,0.525,5.8937,0.533333,0.432146,0.525,-2.32181,0.525,-3.74033,0.525,All
-3.49364,0.533333,0.720881,0.533333,2.89268,0.541667,1.75955,0.533333,-1.72665,0.541667,0.588982,0.533333,5.89494,0.541667,0.432399,0.533333,-2.30487,0.533333,-3.73821,0.533333,All
-3.48552,0.541667,0.72982,0.541667,2.89845,0.55,1.76579,0.541667,-1.68433,0.55,0.596461,0.541667,5.94994,0.55,0.434875,0.541667,-2.29043,0.541667,-3.73565,0.541667,All
-3.47645,0.55,0.74879,0.55,2.90675,0.558333,1.76822,0.55,-1.65321,0.558333,0.62518,0.55,6.0838,0.558333,0.437147,0.55,-2.16829,0.55,-3.73331,0.55,All
-3.4106,0.558333,0.842403,0.558333,2.91506,0.566667,1.77959,0.558333,-1.64759,0.566667,0.625297,0.558333,6.16521,0.566667,0.439853,0.558333,-2.16279,0.558333,-3.72987,0.558333,All
-3.40275,0.566667,0.849115,0.566667,2.91518,0.575,1.7892,0.566667,-1.57775,0.575,0.629237,0.566667,6.24736,0.575,0.440828,0.566667,-2.15635,0.566667,-3.71981,0.566667,All
-3.38837,0.575,0.883969,0.575,2.93292,0.583333,1.79493,0.575,-1.56663,0.583333,0.633219,0.575,6.26909,0.583333,0.447225,0.575,-1.90464,0.575,-3.71635,0.575,All
-3.37682,0.583333,0.952557,0.583333,2.95184,0.591667,1.82388,0.583333,-1.52004,0.591667,0.638785,0.583333,6.28951,0.591667,0.447449,0.583333,-1.90146,0.583333,-3.71442,0.583333,All
-3.35565,0.591667,1.01404,0.591667,2.95197,0.6,1.82487,0.591667,-1.51716,0.6,0.654953,0.591667,6.38631,0.6,0.448815,0.591667,-1.88086,0.591667,-3.71155,0.591667,All
-3.33863,0.6,1.01935,0.6,2.96472,0.608333,1.84303,0.6,-1.50271,0.608333,0.65516,0.6,6.46421,0.608333,0.450337,0.6,-1.84797,0.6,-3.71132,0.6,All
-3.30115,0.608333,1.03195,0.608333,2.96655,0.616667,1.86438,0.608333,-1.49221,0.616667,0.661614,0.608333,6.58728,0.616667,0.450688,0.608333,-1.82843,0.608333,-3.70687,0.608333,All
-3.29354,0.616667,1.0671,0.616667,2.9713,0.625,1.88668,0.616667,-1.47553,0.625,0.669566,0.616667,6.70455,0.625,0.457034,0.616667,-1.82562,0.616667,-3.7006,0.616667,All
-3.2907,0.625,1.16313,0.625,2.9753,0.633333,1.88851,0.625,-1.41518,0.633333,0.703795,0.625,6.75423,0.633333,0.45861,0.625,-1.72957,0.625,-3.70017,0.625,All
-3.2905,0.633333,1.2737,0.633333,2.98437,0.641667,1.97821,0.633333,-1.40917,0.641667,0.705104,0.633333,6.9298,0.641667,0.460084,0.633333,-1.69728,0.633333,-3.69585,0.633333,All
-3.28128,0.641667,1.27684,0.641667,2.98899,0.65,2.00016,0.641667,-1.38758,0.65,0.738089,0.641667,7.00104,0.65,0.463479,0.641667,-1.68487,0.641667,-3.69045,0.641667,All
-3.27669,0.65,1.30181,0.65,2.99508,0.658333,2.01918,0.65,-1.37024,0.658333,0.754017,0.65,7.2057,0.658333,0.484383,0.65,-1.5993,0.65,-3.67488,0.65,All
-3.2739,0.658333,1.31514,0.658333,3.01444,0.666667,2.05015,0.658333,-1.35563,0.666667,0.76599,0.658333,7.76861,0.666667,0.501677,0.658333,-1.58508,0.658333,-3.66249,0.658333,All
-3.26337,0.666667,1.39489,0.666667,3.0154,0.675,2.13908,0.666667,-1.33375,0.675,0.769979,0.666667,7.93106,0.675,0.511783,0.666667,-1.58316,0.666667,-3.64437,0.666667,All
