time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
9.14,-0.32955,9.14,-0.137212,9.14,-0.203622,0.602712,-0.343223,0.716739,0.113434,0.602712,-0.175062,All
9.51,-0.291421,9.51,-0.0608324,9.51,-0.163564,0.635903,-0.313211,0.761689,0.105432,0.635903,-0.144462,All
9.5593,-0.293391,9.5593,-0.0546676,9.5593,-0.165348,0.688895,-0.265294,0.825163,0.0845264,0.688895,-0.0956064,All
9.88,-0.30621,9.88,-0.0145692,9.88,-0.176951,0.741886,-0.217377,0.888637,0.0559112,0.741886,-0.0467509,All
10.1444,-0.33165,10.1444,0.0110046,10.1444,-0.202239,0.794878,-0.190535,0.952111,0.0255298,0.794878,-0.0214614,All
10.25,-0.346743,10.25,0.0187323,10.25,-0.217555,0.84787,-0.183518,1.01558,-0.00147228,0.84787,-0.0194725,All
10.62,-0.394856,10.62,0.0508969,10.62,-0.267239,0.900862,-0.209641,1.07906,-0.020781,0.900862,-0.0564631,All
10.7653,-0.409848,10.7653,0.0676923,10.7653,-0.283495,0.953854,-0.235763,1.14253,-0.0317305,0.953854,-0.0934538,All
10.99,-0.433022,10.99,0.0936545,10.99,-0.308623,1.00685,-0.261886,1.20601,-0.0375881,1.00685,-0.130444,All
11.36,-0.461719,11.36,0.118183,11.36,-0.348935,1.05984,-0.281051,1.26948,-0.0416349,1.05984,-0.159392,All
11.4243,-0.466657,11.4243,0.122356,11.4243,-0.355932,1.11283,-0.27244,1.33296,-0.0466628,1.11283,-0.156226,All
11.73,-0.491527,11.73,0.108476,11.73,-0.393417,1.16582,-0.263829,1.39643,-0.055115,1.16582,-0.153059,All
12.1,-0.519214,12.1,0.0722533,12.1,-0.429319,1.21881,-0.255218,1.4599,-0.066045,1.21881,-0.149893,All
12.1235,-0.520467,12.1235,0.068922,12.1235,-0.42969,1.2637,-0.247924,1.50822,-0.0750823,1.2637,-0.147211,All
12.47,-0.538919,12.47,0.0198699,12.47,-0.435156,1.27181,-0.246607,1.52338,-0.0779169,1.27181,-0.146727,All
12.84,-0.547634,12.84,0.00189237,12.84,-0.419439,1.3248,-0.237996,1.58685,-0.0891495,1.3248,-0.14356,All
12.8656,-0.54817,12.8656,0.000858898,12.8656,-0.41822,1.37779,-0.224544,1.65033,-0.0970091,1.37779,-0.13486,All
13.21,-0.551373,13.21,0.0279076,13.21,-0.406006,1.43078,-0.194705,1.7138,-0.0932453,1.43078,-0.107426,All
13.58,-0.552467,13.58,0.0842953,13.58,-0.396974,1.48377,-0.164866,1.77727,-0.0690543,1.48377,-0.0799912,All
13.6531,-0.552975,13.6531,0.0948357,13.6531,-0.396057,1.53676,-0.135027,1.84075,-0.0318475,1.53676,-0.0525566,All
13.95,-0.555036,13.95,0.137665,13.95,-0.392333,1.58976,-0.105188,1.90422,-0.00159878,1.58976,-0.025122,All
14.32,-0.564503,14.32,0.137349,14.32,-0.387733,1.64275,-0.0753493,1.9677,0.00105669,1.64275,0.00231257,All
14.4888,-0.569312,14.4888,0.13338,14.4888,-0.385638,1.69574,-0.0575266,2.03117,-0.0323191,1.69574,0.0154099,All
14.69,-0.575587,14.69,0.140873,14.69,-0.387529,1.74873,-0.0474306,2.09464,-0.0849705,1.74873,0.0192939,All
15.06,-0.587156,15.06,0.156628,15.06,-0.39273,1.80172,-0.0373346,2.15812,-0.141729,1.80172,0.023178,All
15.3756,-0.596917,15.3756,0.172916,15.3756,-0.402666,1.85472,-0.0272386,2.22159,-0.184518,1.85472,0.0270621,All
15.43,-0.598599,15.43,0.175725,15.43,-0.404379,1.90771,-0.0171426,2.28507,-0.19544,1.90771,0.0309461,All
15.8,-0.610763,15.8,0.164312,15.8,-0.418808,1.9607,0.00681743,2.34854,-0.174637,1.9607,0.0494699,All
16.17,-0.623695,16.17,0.138776,16.17,-0.433528,2.01369,0.0346298,2.41201,-0.132164,2.01369,0.0720616,All
16.3167,-0.629103,16.3167,0.125383,16.3167,-0.439198,2.06668,0.0624421,2.47549,-0.0825625,2.06668,0.0946532,All
16.54,-0.637486,16.54,0.106636,16.54,-0.447427,2.11968,0.0902544,2.53896,-0.0382363,2.11968,0.117245,All
