rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,alpha_exp
2,11,-3.84457,0.461655,2.94283,1.77664,-1.23622,0.522826,5.78154,0.73807,-0.204537,-2.38744,-5.68114
3,11,-3.87817,0.439918,3.04844,1.82037,-0.669952,0.439954,6.19053,0.704428,-0.204537,-3.02276,-5.28662
4,11,-4.28769,0.167113,3.06789,1.83714,-0.0494909,0.355292,4.95505,0.825683,-0.204537,-3.24981,-5.24048
5,11,-3.87617,0.467512,3.20267,1.74192,-0.577671,0.393951,5.11667,0.541649,-0.204537,-3.34168,-5.73014
1,12,-4.10279,0.374878,2.34091,4.3292,-0.853636,0.477113,1.74071,0.33442,-0.204537,-2.19861,-4.66965
2,12,-3.95701,0.320975,2.5472,4.20048,-1.45632,0.524235,0.708005,0.201446,-0.204537,-2.63039,-4.20126
3,12,-3.93509,0.316838,2.53301,4.37138,-1.04879,0.460313,2.26691,0.331394,-0.204537,-2.54369,-4.54211
4,12,-3.9306,0.573672,2.26942,4.05971,-1.35947,0.517658,1.22154,0.263369,-0.204537,-2.52954,-4.78994
5,12,-4.11223,0.367445,2.25788,4.28737,-1.22711,0.537453,1.67504,0.265102,-0.204537,-2.21103,-4.70639
1,13,-2.78751,10.6431,3.40598,0.780846,-5.5418,0.943614,10.9232,0.416423,-0.204537,-1.12723,-4.99461
2,13,-3.02312,5.27228,3.22701,0.829635,-4.87221,0.855492,11.6177,0.573999,-0.204537,-1.19293,-5.12832
3,13,-2.88896,4.36016,3.28001,0.756448,-5.28437,0.89591,11.3737,0.560056,-0.204537,-1.34783,-5.0894
4,13,-2.81301,5.81189,3.26298,0.813661,-4.75504,0.812753,11.0318,0.548188,-0.204537,-1.26787,-5.40632
5,13,-2.91732,8.90706,3.2841,0.871542,-5.21364,0.91928,11.7584,0.5662,-0.204537,-1.1879,-5.14732
1,14,-3.44753,1.2631,3.04129,1.65427,-2.00801,0.606189,3.51264,0.232598,-0.204537,-2.73056,-6.23817
2,14,-3.66519,1.28582,3.17242,1.71396,-1.93168,0.594235,4.87907,0.267427,-0.204537,-2.70467,-5.33546
3,14,-3.75222,0.64973,3.05846,1.78627,-1.23145,0.507496,1.36147,0.263905,-0.204537,-3.15639,-5.94414
4,14,-3.8689,1.10111,3.03473,1.83339,-1.50225,0.589152,3.61438,0.309773,-0.204537,-2.61972,-5.8817
5,14,-3.55051,1.32264,3.23162,1.64716,-2.38684,0.64641,4.70272,0.233091,-0.204537,-2.63868,-5.69995
1,15,-3.37813,1.81602,2.59324,1.90637,-3.6981,0.809894,11.3418,1.63561,-0.204537,-1.23697,-5.40798
2,15,-3.17178,5.74021,2.65474,1.75055,-4.13007,0.859453,11.636,1.57229,-0.204537,-0.69619,-6.12731
3,15,-3.36891,7.46166,2.59366,1.77231,-3.89522,0.898271,11.1205,0.837746,-0.204537,-1.07169,-5.50807
4,15,-3.39307,1.98659,2.62485,1.90357,-3.33359,0.717344,11.3742,1.92686,-0.204537,-0.997752,-5.67997
5,15,-3.35925,2.98149,2.66735,1.86247,-3.85933,0.821773,11.1894,1.65913,-0.204537,-0.850112,-5.54292
1,16,-3.83112,1.12441,2.70825,2.15581,-2.88963,0.642108,4.87544,0.192685,-0.204537,-2.27301,-6.00752
2,16,-4.08789,0.411138,3.13856,2.06296,-2.38111,0.567565,1.94912,0.180861,-0.204537,-2.54548,-5.60454
3,16,-3.68339,0.743064,2.9657,1.75567,-3.40081,0.68271,4.20721,0.177611,-0.204537,-2.6782,-6.13836
4,16,-3.40281,3.36377,3.16226,1.63718,-4.33289,0.805065,4.14563,0.111087,-0.204537,-2.22375,-6.07588
5,16,-3.5638,1.29118,2.84442,2.07518,-3.27088,0.687315,3.60926,0.221946,-0.204537,-2.01431,-6.63739
1,17,-3.64324,2.27154,2.81558,2.39375,-3.30137,0.76114,5.60686,0.336294,-0.204537,-1.96537,-6.44074
2,17,-3.73288,0.853232,2.49941,2.83074,-2.05848,0.592528,6.28299,0.522181,-0.204537,-2.26495,-6.28149
3,17,-3.41014,2.63069,2.84889,2.19852,-4.11254,0.850842,5.17956,0.25657,-0.204537,-1.48275,-6.6951
4,17,-3.85006,1.44309,2.65503,2.50319,-3.50355,0.843368,4.93657,0.314341,-0.204537,-1.31163,-6.45064
5,17,-3.54078,1.03741,2.65613,2.59429,-2.85625,0.693202,6.39169,0.317407,-0.204537,-2.31089,-5.99244
1,18,-3.821,0.627317,2.69968,2.44792,-1.1583,0.51124,5.34168,0.588632,-0.204537,-2.42727,-6.14633
2,18,-3.95319,0.372697,2.83453,2.58199,-0.911185,0.465473,3.57002,0.590347,-0.204537,-2.82528,-5.87203
3,18,-3.84572,0.241194,2.80303,2.71858,-0.84186,0.486225,3.06219,0.511574,-0.204537,-2.80729,-6.11673
4,18,-3.92969,0.182635,2.91013,2.73027,-0.764614,0.412898,3.29061,0.586519,-0.204537,-3.04012,-5.70905
5,18,-3.75206,0.453822,2.67186,2.43033,-0.885578,0.464217,3.95436,0.694323,-0.204537,-2.22802,-6.66931
