rep,ID,time,sim_y3,censored,split,color,filter
3,8,8,1.51711,0,All,-1,0
3,8,9,1.71782,0,All,-1,0
3,8,10,1.15483,0,All,-1,0
3,8,11,1.5218,0,All,-1,0
3,8,13,0.547547,0,All,-1,0
3,8,2,0.521177,0,All,-1,0
3,8,3,0.764203,0,All,-1,0
3,8,12,0.95465,0,All,-1,0
3,8,14,0.401275,0,All,-1,0
3,9,3,1.81044,0,All,-1,0
3,9,4,1.37774,0,All,-1,0
3,9,5,2.66704,0,All,-1,0
3,9,6,2.29134,0,All,-1,0
3,9,7,1.98283,0,All,-1,0
3,9,8,1.59296,0,All,-1,0
3,9,9,1.35734,0,All,-1,0
3,9,10,0.0205688,0,All,-1,0
3,9,11,0.467059,0,All,-1,0
3,9,12,1.39912,0,All,-1,0
3,9,13,-0.801006,1,All,-1,0
3,9,14,-1.31487,1,All,-1,0
3,9,-1,0.84449,0,All,-1,0
3,9,0,0.0667919,0,All,-1,0
3,9,1,0.0476538,0,All,-1,0
3,9,2,0.582603,0,All,-1,0
3,10,0,0.505922,0,All,-1,0
3,10,2,1.04444,0,All,-1,0
3,10,3,-0.277769,0,All,-1,0
3,10,4,0.187386,0,All,-1,0
3,10,5,0.806992,0,All,-1,0
3,10,6,1.98887,0,All,-1,0
3,10,7,2.16744,0,All,-1,0
3,10,8,1.95818,0,All,-1,0
3,10,9,1.87122,0,All,-1,0
3,10,10,1.79219,0,All,-1,0
3,10,-1,-1.05048,1,All,-1,0
3,10,1,1.39678,0,All,-1,0
3,10,11,1.34323,0,All,-1,0
3,10,12,1.48825,0,All,-1,0
3,10,13,0.579312,0,All,-1,0
3,10,14,0.0775457,0,All,-1,0
3,11,-1,-0.116478,0,All,-1,0
3,11,0,-0.788631,1,All,-1,0
3,11,2,0.041782,0,All,-1,0
3,11,3,0.939319,0,All,-1,0
3,11,4,1.02891,0,All,-1,0
3,11,5,1.82911,0,All,-1,0
3,11,6,0.803151,0,All,-1,0
3,11,7,1.08222,0,All,-1,0
3,11,8,-0.265155,0,All,-1,0
3,11,9,0.448463,0,All,-1,0
3,11,10,0.762358,0,All,-1,0
3,11,11,1.28515,0,All,-1,0
3,11,1,-0.123911,0,All,-1,0
3,11,12,0.435043,0,All,-1,0
3,11,13,0.748839,0,All,-1,0
3,11,14,-0.407152,1,All,-1,0
3,12,-1,0.617812,0,All,-1,0
3,12,0,-0.8708,1,All,-1,0
3,12,7,1.90171,0,All,-1,0
3,12,8,1.96342,0,All,-1,0
3,12,9,2.25062,0,All,-1,0
3,12,10,1.50136,0,All,-1,0
3,12,11,2.06384,0,All,-1,0
3,12,1,-0.115347,0,All,-1,0
3,12,2,-0.739602,1,All,-1,0
3,12,3,-1.25187,1,All,-1,0
3,12,4,0.106972,0,All,-1,0
3,12,5,1.87465,0,All,-1,0
3,12,6,2.06713,0,All,-1,0
3,12,12,1.20383,0,All,-1,0
3,12,13,0.853296,0,All,-1,0
3,12,14,0.112066,0,All,-1,0
3,13,0,0.0753575,0,All,-1,0
3,13,4,1.16829,0,All,-1,0
3,13,5,2.25392,0,All,-1,0
3,13,6,1.72551,0,All,-1,0
3,13,7,1.52864,0,All,-1,0
3,13,8,1.3857,0,All,-1,0
3,13,9,1.1756,0,All,-1,0
3,13,10,0.338502,0,All,-1,0
3,13,12,0.532932,0,All,-1,0
3,13,13,-1.61574,1,All,-1,0
3,13,14,-2.04929,1,All,-1,0
3,13,-1,-0.313047,1,All,-1,0
3,13,1,-0.783472,1,All,-1,0
3,13,2,1.16248,0,All,-1,0
3,13,3,0.989816,0,All,-1,0
3,13,11,0.229545,0,All,-1,0
3,14,0,0.00312893,0,All,-1,0
3,14,1,-0.254034,0,All,-1,0
3,14,3,-0.321825,1,All,-1,0
3,14,4,-0.747401,1,All,-1,0
3,14,5,0.900427,0,All,-1,0
3,14,6,1.74889,0,All,-1,0
3,14,7,1.71382,0,All,-1,0
