ID,time,pop,popPred,indivPredMean,indivPredMode
7,13,0,0,0,0
7,13.1046,0,0,0,0
7,13.12,0,0,0,0
7,13.24,0,0,0,0
7,13.36,0,0,0,0
7,13.3985,0,0,0,0
7,13.48,0,0,0,0
7,13.5,0,0,0,0
7,13.6,0,0,0,0
7,13.699,0,0,0,0
7,13.72,0,0,0,0
7,13.84,0,0,0,0
7,13.96,0,0,0,0
7,14,0,0,0,0
7,14.0063,0,0,0,0
7,14.08,0,0,0,0
7,14.2,0,0,0,0
7,14.32,0,0,0,0
7,14.3204,0,0,0,0
7,14.44,0,0,0,0
7,14.5,0,0,0,0
7,14.56,0,0,0,0
7,14.6416,0,0,0,0
7,14.68,0,0,0,0
7,14.8,0,0,0,0
7,14.92,0,0,0,0
7,14.97,0,0,0,0
7,15,0,0,0,0
7,15.04,0,0,0,0
7,15.16,0,0,0,0
7,15.28,0,0,0,0
7,15.3057,0,0,0,0
7,15.4,0,0,0,0
7,15.5,0,0,0,0
7,15.52,0,0,0,0
7,15.64,0,0,0,0
7,15.649,0,0,0,0
7,15.76,0,0,0,0
7,15.88,0,0,0,0
7,16,0,0,0,0
8,1,0,0,0,0
8,1.02405,0,0,0,0
8,1.04867,0,0,0,0
8,1.07389,0,0,0,0
8,1.09972,0,0,0,0
8,1.12616,0,0,0,0
8,1.148,0,0,0,0
8,1.15325,0,0,0,0
8,1.18098,0,0,0,0
8,1.20938,0,0,0,0
8,1.23846,0,0,0,0
8,1.26824,0,0,0,0
8,1.296,0,0,0,0
8,1.29874,0,0,0,0
8,1.32997,0,0,0,0
8,1.36196,0,0,0,0
8,1.39471,0,0,0,0
8,1.42825,0,0,0,0
8,1.444,0,0,0,0
8,1.4626,0,0,0,0
8,1.49777,0,0,0,0
8,1.5,0,0,0,0
8,1.53379,0,0,0,0
8,1.57067,0,0,0,0
8,1.592,0,0,0,0
8,1.60844,0,0,0,0
8,1.64712,0,0,0,0
8,1.68673,0,0,0,0
8,1.72729,0,0,0,0
8,1.74,0,0,0,0
8,1.76883,0,0,0,0
8,1.81137,0,0,0,0
8,1.85493,0,0,0,0
8,1.888,0,0,0,0
8,1.89954,0,0,0,0
8,1.94522,0,0,0,0
8,1.99199,0,0,0,0
8,2,0,0,0,0
8,2.036,0,0,0,0
8,2.0399,0,0,0,0
8,2.08895,0.0383193,0.0383193,0,0
8,2.13919,0.205772,0.205772,0,0
8,2.184,0.340899,0.340899,0,0
8,2.19063,0.359909,0.359909,0,0
8,2.24331,0.502528,0.502528,0,0
8,2.29726,0.63511,0.63511,0,0
8,2.332,0.714308,0.714308,0,0
8,2.3525,0.759011,0.759011,0,0
8,2.40907,0.875134,0.875134,0,0
8,2.46701,0.98437,0.98437,0,0
8,2.48,1.00767,1.00767,0,0
8,2.5,1.04278,1.04278,0,0
8,2.52633,1.08757,1.08757,0,0
8,2.58709,1.18506,1.18506,0,0
8,2.628,1.24649,1.24649,0,0
8,2.6493,1.27724,1.27724,0.285839,0
8,2.71301,1.36456,1.36456,0.840176,0
8,2.776,1.44467,1.44467,1.17856,0
8,2.77825,1.44743,1.44743,1.18854,0
8,2.84506,1.5262,1.5262,1.44037,0.657669
8,2.91348,1.6011,1.6011,1.63693,1.07354
8,2.924,1.61214,1.61214,1.66312,1.1227
8,2.98355,1.67235,1.67235,1.79539,1.35633
8,3,1.68834,1.68834,1.82805,1.41052
8,3.05529,1.7401,1.7401,1.92802,1.56916
8,3.072,1.75516,1.75516,1.95562,1.61125
8,3.12877,1.80446,1.80446,2.04186,1.73864
8,3.20401,1.8655,1.8655,2.14099,1.87855
8,3.22,1.87789,1.87789,2.16017,1.90494
8,3.28106,1.92329,1.92329,2.22819,1.99698
8,3.35996,1.9778,1.9778,2.30552,2.09909
8,3.368,1.9831,1.9831,2.31281,2.1086
8,3.44076,2.029,2.029,2.37447,2.18837
8,3.5,2.06369,2.06369,2.41947,2.24597
8,3.516,2.07266,2.07266,2.4309,2.26054
8,3.5235,2.07681,2.07681,2.43616,2.26724
8,3.60824,2.12116,2.12116,2.49138,2.33745
8,3.664,2.14788,2.14788,2.52386,2.37879
8,3.69501,2.16191,2.16191,2.54071,2.4003
8,3.78386,2.19894,2.19894,2.58457,2.45675
8,3.812,2.2097,2.2097,2.59717,2.47315
8,3.87486,2.2321,2.2321,2.62325,2.50748
8,3.96,2.25894,2.25894,2.65431,2.5493
8,3.96804,2.26127,2.26127,2.657,2.55299
8,4,2.2702,2.2702,2.66731,2.56723
8,4.06346,2.28634,2.28634,2.68598,2.5936
8,4.108,2.29644,2.29644,2.69773,2.61068
8,4.16118,2.30723,2.30723,2.71035,2.6296
8,4.256,2.32313,2.32313,2.7293,2.65956
8,4.26125,2.32389,2.32389,2.73022,2.66108
8,4.36372,2.33633,2.33633,2.74575,2.68821
8,4.404,2.34001,2.34001,2.75066,2.6976
8,4.46866,2.34459,2.34459,2.75729,2.71123
8,4.5,2.34623,2.34623,2.75997,2.7172
8,4.552,2.34818,2.34818,2.76368,2.7263
8,4.57612,2.34876,2.34876,2.7651,2.7302
8,4.68617,2.34902,2.34902,2.76945,2.74523
8,4.7,2.34879,2.34879,2.76977,2.74682
8,4.79886,2.34557,2.34557,2.77073,2.75656
8,4.848,2.34302,2.34302,2.77041,2.76037
8,4.91426,2.33865,2.33865,2.76923,2.76445
8,4.996,2.33187,2.33187,2.76671,2.76798
8,5,2.3315,2.3315,2.76656,2.76812
8,5.03244,2.32838,2.32838,2.76524,2.76905
8,5.144,2.31614,2.31614,2.7596,2.77057
8,5.15346,2.31501,2.31501,2.75905,2.77058
8,5.27739,2.29898,2.29898,2.75085,2.76933
8,5.292,2.29695,2.29695,2.74978,2.76901
8,5.4043,2.28045,2.28045,2.74085,2.76554
8,5.44,2.27493,2.27493,2.73777,2.76407
8,5.5,2.26536,2.26536,2.73237,2.76124
8,5.53426,2.25973,2.25973,2.72915,2.75943
8,5.588,2.2507,2.2507,2.72394,2.75632
8,5.66735,2.23693,2.23693,2.71587,2.75118
8,5.736,2.22466,2.22466,2.70856,2.74624
8,5.80364,2.2123,2.2123,2.70106,2.74095
8,5.884,2.19728,2.19728,2.69179,2.73417
8,5.94321,2.186,2.186,2.68471,2.72884
8,6,2.17503,2.17503,2.67774,2.72348
8,6.032,2.16879,2.16879,2.67374,2.72036
8,6.08613,2.15815,2.15815,2.66683,2.71491
8,6.18,2.13945,2.13945,2.65447,2.70499
8,6.23249,2.12883,2.12883,2.64736,2.69918
8,6.328,2.10896,2.10896,2.63402,2.68818
