iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2
808,1443.34,1,-3.51693,1.30094,2.71819,1.99775,-2.41816,0.613681,8.05095,0.358723,-1.09883,-1.52738,0.336972,-4.87284,0.672499,0.632946,0.382073,0.331958,1.30688,0.257304,1.70073,0.705237,1.02935,0.291869,1.42193,-0.658131,-0.738012,-0.945548,0.8938,0.577181,0.251106,-0.864408,-0.121815,-0.533765,0.270011,0.592093,0.509073,-0.835592,-0.783261,-0.0815127,0.745438,0.644152,0.867675,-0.417103,0.729783,-0.843626,-0.30963,-0.541629,0.608949,0.377382,0.737453,-0.563943,-0.828812,-0.502369,-0.258566,0.82121,0.0252319,0.429623,-0.190905,0.67276,0.287259,-0.854053,-0.411545,-0.768258,0.42054,-0.3561,-0.830061,-0.51931,-0.528818,-0.104204,0.147788,0.157285,-0.354918,0.848977,0.413181,0.553598,0.0175725,0.724398,-0.163694,-0.616264,0.893537,0.391519
809,1457.58,1,-3.53301,1.27268,2.7125,1.99998,-2.38107,0.608615,7.86877,0.357242,-1.07964,-1.53691,0.352255,-4.86372,0.652499,0.664239,0.394994,0.32753,1.32235,0.264472,1.67822,0.706315,1.04612,0.296762,1.47107,-0.64533,-0.729703,-0.946612,0.870429,0.523309,0.276059,-0.838775,-0.0993904,-0.514647,0.3014,0.597356,0.503189,-0.832119,-0.782945,-0.0692248,0.759379,0.647051,0.850676,-0.407147,0.731422,-0.833415,-0.277465,-0.528711,0.61992,0.418686,0.765479,-0.565177,-0.806108,-0.439444,-0.298825,0.792983,0.0161106,0.422647,-0.230427,0.646216,0.252689,-0.862975,-0.432073,-0.755631,0.402096,-0.407024,-0.829016,-0.553591,-0.499994,-0.136852,0.136834,0.174128,-0.353191,0.844008,0.446702,0.560514,0.000599452,0.735073,-0.128226,-0.604113,0.902629,0.399128
810,1451.51,1,-3.50459,1.29296,2.71855,2.00651,-2.40654,0.609174,8.05297,0.360017,-1.06987,-1.51117,0.348691,-4.85515,0.649477,0.641192,0.380604,0.332609,1.30743,0.267357,1.73809,0.740728,1.06578,0.29643,1.41465,-0.647796,-0.756847,-0.93554,0.897929,0.526928,0.285479,-0.841554,-0.146966,-0.516635,0.251202,0.574604,0.486682,-0.795643,-0.787638,-0.0516961,0.762165,0.677728,0.84334,-0.393125,0.779419,-0.837655,-0.284589,-0.521183,0.649195,0.397787,0.734449,-0.477539,-0.842366,-0.418619,-0.324252,0.783863,0.0695224,0.431769,-0.169317,0.637458,0.273276,-0.870416,-0.419848,-0.734091,0.340224,-0.427498,-0.834123,-0.607238,-0.50664,-0.167704,0.138236,0.17898,-0.358537,0.791968,0.491976,0.570453,0.0479207,0.753062,-0.122669,-0.565345,0.885167,0.399457
811,1448.42,1,-3.47574,1.28549,2.70012,1.9913,-2.4397,0.613008,8.32255,0.371482,-1.05953,-1.47383,0.348126,-4.85522,0.651294,0.685361,0.382853,0.324695,1.32018,0.267362,1.82518,0.754625,1.06447,0.29335,1.44969,-0.618528,-0.735209,-0.939169,0.895179,0.517283,0.317872,-0.845766,-0.142413,-0.515878,0.232542,0.53802,0.473711,-0.775111,-0.775732,-0.0635369,0.722563,0.700803,0.854943,-0.434939,0.782951,-0.843802,-0.274235,-0.595456,0.599154,0.351357,0.735021,-0.492267,-0.852831,-0.426337,-0.362284,0.798064,0.0778385,0.455078,-0.159448,0.633351,0.322511,-0.854719,-0.43854,-0.754878,0.349969,-0.414392,-0.835773,-0.661833,-0.544118,-0.150699,0.108074,0.187791,-0.356848,0.763894,0.47384,0.561602,0.0640512,0.757935,-0.155236,-0.587155,0.89384,0.3949
812,1454.09,1,-3.47898,1.27991,2.70068,2.02135,-2.40988,0.610906,8.39895,0.383328,-1.04752,-1.48261,0.35441,-4.85035,0.639823,0.676712,0.386563,0.327389,1.31616,0.266032,1.79328,0.770319,1.05947,0.291291,1.41465,-0.632178,-0.766414,-0.944899,0.882272,0.511454,0.251342,-0.846869,-0.172634,-0.56663,0.209195,0.543179,0.487589,-0.805816,-0.775385,-0.0282479,0.745864,0.691537,0.854996,-0.417503,0.793073,-0.832078,-0.253211,-0.583425,0.5999,0.345549,0.743071,-0.514575,-0.822154,-0.424824,-0.294373,0.795414,0.111488,0.496865,-0.147279,0.64953,0.220402,-0.861788,-0.476176,-0.78131,0.34569,-0.467096,-0.837998,-0.666346,-0.560974,-0.160785,0.16212,0.195167,-0.328676,0.753948,0.509966,0.615057,0.0586343,0.750057,-0.164112,-0.569296,0.892775,0.392972
813,1464.62,1,-3.47301,1.30889,2.70766,2.02564,-2.39065,0.609373,8.50239,0.387436,-1.05263,-1.49341,0.35486,-4.8561,0.641722,0.673902,0.382597,0.331021,1.31178,0.263234,1.76082,0.745379,1.04659,0.301971,1.40204,-0.632155,-0.758641,-0.947978,0.897444,0.494357,0.258275,-0.854869,-0.145862,-0.559144,0.185534,0.557938,0.493843,-0.779409,-0.745317,-0.105662,0.754907,0.655007,0.840258,-0.415535,0.75455,-0.849817,-0.213314,-0.627592,0.612783,0.316963,0.741899,-0.551221,-0.837105,-0.405802,-0.259955,0.801484,0.0869775,0.476156,-0.117482,0.580633,0.314568,-0.855754,-0.377621,-0.750764,0.380099,-0.455133,-0.81798,-0.627181,-0.514953,-0.179458,0.0952198,0.0973991,-0.406338,0.801109,0.494172,0.631544,0.0170599,0.74165,-0.191661,-0.578615,0.916482,0.387514
814,1467.02,1,-3.50814,1.27251,2.71714,2.02526,-2.34775,0.605138,8.38755,0.38062,-1.0191,-1.52688,0.355956,-4.85148,0.638829,0.694525,0.388406,0.334604,1.33239,0.266376,1.79301,0.715515,1.0781,0.297549,1.4452,-0.642116,-0.749012,-0.949424,0.885827,0.513431,0.262832,-0.867506,-0.146497,-0.556715,0.190853,0.595491,0.517112,-0.797688,-0.775246,-0.0869321,0.772737,0.669324,0.844154,-0.398424,0.759698,-0.845095,-0.272393,-0.622174,0.620278,0.379338,0.782657,-0.587138,-0.831496,-0.433432,-0.279808,0.821894,0.115265,0.497729,-0.130623,0.619588,0.283563,-0.862387,-0.418212,-0.749676,0.371753,-0.401913,-0.813814,-0.631704,-0.533838,-0.151658,0.0865183,0.093092,-0.433887,0.798591,0.477839,0.608422,0.000461629,0.725592,-0.220994,-0.616407,0.91451,0.392383
815,1452.58,1,-3.51674,1.24278,2.72269,2.00216,-2.34094,0.601559,8.25446,0.377587,-1.01839,-1.53617,0.350049,-4.85119,0.658639,0.674189,0.388934,0.339321,1.32884,0.262381,1.75686,0.706016,1.07919,0.304549,1.47709,-0.642702,-0.766483,-0.952373,0.874399,0.512252,0.280674,-0.855952,-0.199723,-0.588968,0.231232,0.569589,0.501942,-0.822911,-0.786338,-0.042912,0.769078,0.696577,0.821895,-0.371556,0.761391,-0.807413,-0.24039,-0.620743,0.604316,0.404721,0.80926,-0.60517,-0.81228,-0.416908,-0.305195,0.808203,0.143584,0.51171,-0.164621,0.685496,0.184271,-0.887613,-0.516553,-0.765286,0.317389,-0.442959,-0.825746,-0.624662,-0.478528,-0.183992,0.110659,0.0965074,-0.445214,0.803153,0.519113,0.597153,0.0185905,0.724479,-0.202298,-0.623922,0.908407,0.398241
816,1452.68,1,-3.50949,1.25658,2.7318,1.98566,-2.38932,0.604569,8.17989,0.362554,-1.0531,-1.52798,0.350538,-4.84379,0.637205,0.64702,0.383869,0.335186,1.31662,0.261616,1.70758,0.6943,1.07942,0.302306,1.44774,-0.657385,-0.772623,-0.950788,0.856913,0.508339,0.297056,-0.850537,-0.201304,-0.597309,0.243515,0.651146,0.533903,-0.821162,-0.770369,-0.0668291,0.775688,0.70946,0.850268,-0.414845,0.758746,-0.834362,-0.306187,-0.608078,0.616985,0.43385,0.830199,-0.616309,-0.811012,-0.423941,-0.311381,0.806672,0.158297,0.530652,-0.180182,0.686608,0.210405,-0.869514,-0.509285,-0.76019,0.351625,-0.440915,-0.827353,-0.653073,-0.503758,-0.163461,0.109038,0.130191,-0.401058,0.779424,0.519767,0.617337,0.00855078,0.75175,-0.189809,-0.618407,0.905509,0.398315
817,1455.53,1,-3.49985,1.17368,2.73465,2.00365,-2.35174,0.599889,7.9298,0.366481,-1.0531,-1.56141,0.350528,-4.81492,0.663975,0.662635,0.373711,0.343142,1.31535,0.264226,1.71423,0.726244,1.07499,0.285966,1.53593,-0.638531,-0.776887,-0.952627,0.860068,0.537083,0.237597,-0.866916,-0.206395,-0.577499,0.235711,0.614617,0.498712,-0.763978,-0.778488,-0.0337768,0.766849,0.737752,0.854845,-0.389784,0.759576,-0.841548,-0.318957,-0.576009,0.646534,0.433165,0.801296,-0.60437,-0.80925,-0.449589,-0.256208,0.814433,0.114107,0.482826,-0.154319,0.686847,0.198212,-0.870551,-0.467066,-0.713836,0.355966,-0.442772,-0.820697,-0.610643,-0.497905,-0.149389,0.132773,0.115275,-0.382332,0.785969,0.499828,0.607091,-0.0167551,0.76597,-0.246285,-0.636161,0.906501,0.399214
818,1462.72,1,-3.54729,1.1627,2.74352,2.02362,-2.29467,0.596633,7.84677,0.361853,-1.05782,-1.60364,0.354064,-4.82285,0.678029,0.643549,0.394534,0.324839,1.31893,0.257042,1.73057,0.714986,1.07157,0.298952,1.54412,-0.648549,-0.768718,-0.942925,0.893801,0.480992,0.286219,-0.868936,-0.20162,-0.560173,0.225882,0.592876,0.514792,-0.759426,-0.746886,-0.0328699,0.765212,0.697687,0.838345,-0.342936,0.758357,-0.820623,-0.207286,-0.640081,0.628577,0.438038,0.796525,-0.634568,-0.843931,-0.417644,-0.312358,0.822733,0.140175,0.485816,-0.163774,0.610638,0.258417,-0.885657,-0.441097,-0.695502,0.337638,-0.471083,-0.77712,-0.548982,-0.436098,-0.254715,0.0755294,0.0767654,-0.385317,0.781549,0.476866,0.591602,-0.0154659,0.780999,-0.28319,-0.628707,0.906575,0.401066
819,1447.45,1,-3.51859,1.1683,2.73266,2.06617,-2.2557,0.590594,7.78987,0.364507,-1.06051,-1.60432,0.358134,-4.80306,0.666057,0.665365,0.387491,0.328873,1.307,0.266022,1.76986,0.701529,1.06618,0.308643,1.53208,-0.612995,-0.752797,-0.944588,0.883869,0.503175,0.289689,-0.89029,-0.211304,-0.563853,0.261403,0.541785,0.455734,-0.735834,-0.774693,-0.024247,0.73199,0.715649,0.820267,-0.400372,0.751642,-0.805558,-0.212162,-0.653082,0.637584,0.455371,0.795523,-0.6562,-0.831467,-0.397385,-0.34183,0.83181,0.139602,0.488172,-0.212937,0.624786,0.261225,-0.895117,-0.454165,-0.697295,0.369115,-0.443908,-0.76441,-0.559826,-0.442907,-0.148295,0.0350083,0.0298998,-0.427508,0.79194,0.450168,0.582406,-0.0788189,0.79143,-0.36611,-0.709277,0.91547,0.396326
820,1446.35,1,-3.51709,1.20396,2.71113,2.05838,-2.28084,0.596786,7.65834,0.363339,-1.08505,-1.56411,0.360551,-4.81344,0.676561,0.677865,0.401767,0.319432,1.3036,0.261302,1.73336,0.71575,1.05861,0.307257,1.56494,-0.591622,-0.757345,-0.948021,0.886102,0.477783,0.331978,-0.8855,-0.176836,-0.575742,0.257943,0.538023,0.463459,-0.680277,-0.751977,-0.076893,0.708424,0.685422,0.815573,-0.373949,0.745463,-0.848134,-0.191289,-0.676591,0.660637,0.465866,0.810367,-0.639563,-0.860726,-0.409283,-0.340566,0.851449,0.138554,0.503294,-0.192491,0.537998,0.34571,-0.883003,-0.433726,-0.729757,0.40016,-0.459383,-0.755102,-0.537551,-0.422959,-0.222118,-0.0121271,-0.0366983,-0.462954,0.824299,0.431858,0.612516,-0.059146,0.792156,-0.323142,-0.661877,0.888632,0.390983
821,1448.08,1,-3.53023,1.18188,2.70944,2.06715,-2.24137,0.59165,7.51467,0.370671,-1.09458,-1.56492,0.361543,-4.79861,0.679342,0.680713,0.40964,0.313606,1.31414,0.265049,1.70031,0.731762,1.05789,0.315676,1.58219,-0.598435,-0.771841,-0.948344,0.864332,0.486932,0.345923,-0.882628,-0.203226,-0.599374,0.244269,0.533003,0.465371,-0.689711,-0.763911,-0.0964999,0.699364,0.691426,0.816177,-0.355848,0.780819,-0.839794,-0.220474,-0.685613,0.680192,0.453745,0.806823,-0.620102,-0.849356,-0.409739,-0.36093,0.846148,0.163928,0.53536,-0.201696,0.570067,0.320078,-0.883949,-0.477665,-0.737415,0.36401,-0.429001,-0.759913,-0.563808,-0.43418,-0.236075,-0.0334896,-0.0400603,-0.492636,0.835063,0.459139,0.622166,-0.0404187,0.778079,-0.297089,-0.652329,0.904603,0.395196
822,1452.2,1,-3.54645,1.15816,2.72903,2.06198,-2.24081,0.589981,7.25525,0.36163,-1.09373,-1.59033,0.357159,-4.79892,0.693568,0.678138,0.427058,0.31156,1.30484,0.264207,1.686,0.750243,1.03238,0.329533,1.50659,-0.603878,-0.789157,-0.953878,0.897405,0.525061,0.316632,-0.900337,-0.21342,-0.591741,0.260883,0.539166,0.473782,-0.663471,-0.757885,-0.129399,0.700739,0.669564,0.795194,-0.353271,0.777774,-0.829237,-0.256147,-0.677337,0.69678,0.453767,0.802716,-0.622487,-0.880106,-0.456269,-0.317052,0.86528,0.17784,0.535274,-0.221274,0.604509,0.30526,-0.903218,-0.41664,-0.682245,0.320368,-0.403903,-0.777553,-0.544758,-0.430171,-0.230515,-0.0398742,-0.110712,-0.536403,0.875867,0.434579,0.606435,-0.0614191,0.782936,-0.294222,-0.662303,0.884507,0.400632
823,1450.12,1,-3.5389,1.1813,2.73212,2.03086,-2.26543,0.597021,7.34092,0.358456,-1.08666,-1.59343,0.355644,-4.82025,0.691564,0.691237,0.418387,0.316509,1.3126,0.261091,1.73108,0.733923,1.00295,0.339933,1.37031,-0.599257,-0.750353,-0.946708,0.873888,0.489512,0.303609,-0.899451,-0.154738,-0.542699,0.274825,0.543245,0.44858,-0.653201,-0.751291,-0.206023,0.691316,0.637477,0.780775,-0.377053,0.728009,-0.808841,-0.200274,-0.714721,0.669254,0.45343,0.803627,-0.642962,-0.848838,-0.415347,-0.280915,0.863315,0.127937,0.486605,-0.214263,0.568807,0.343045,-0.885341,-0.36691,-0.657319,0.344317,-0.366442,-0.746655,-0.512098,-0.414474,-0.206329,-0.0581906,-0.181753,-0.591473,0.903554,0.386095,0.578438,-0.0773681,0.796505,-0.311968,-0.666672,0.879865,0.388513
824,1459.83,1,-3.52707,1.20556,2.73078,2.04011,-2.26256,0.594754,7.50444,0.373393,-1.0813,-1.58509,0.358237,-4.83378,0.699707,0.698699,0.42474,0.328606,1.29543,0.25999,1.71632,0.734972,1.00627,0.348221,1.40725,-0.57732,-0.723036,-0.949461,0.855681,0.470159,0.271454,-0.897521,-0.121068,-0.507294,0.251208,0.505874,0.440073,-0.606399,-0.760544,-0.176431,0.684703,0.61287,0.773962,-0.380005,0.700328,-0.809032,-0.178203,-0.694687,0.662119,0.456072,0.78538,-0.626558,-0.847054,-0.40602,-0.237948,0.867692,0.09666,0.449982,-0.178242,0.512651,0.350713,-0.862722,-0.334042,-0.633493,0.359615,-0.377779,-0.7294,-0.497206,-0.416091,-0.190891,-0.0391961,-0.188974,-0.571905,0.89538,0.371914,0.57303,-0.0811446,0.803249,-0.339198,-0.676576,0.893204,0.391692
825,1463.81,1,-3.51151,1.13854,2.71993,2.02799,-2.23117,0.589,7.44377,0.366289,-1.07447,-1.61176,0.358966,-4.8172,0.6931,0.703319,0.434792,0.323098,1.31104,0.268316,1.71647,0.723758,1.00308,0.355031,1.47473,-0.548733,-0.735975,-0.954792,0.858279,0.477429,0.281964,-0.889786,-0.114856,-0.522786,0.238064,0.487872,0.415198,-0.578633,-0.774035,-0.149037,0.661777,0.613699,0.779597,-0.365862,0.718127,-0.821748,-0.191192,-0.68989,0.656978,0.443439,0.797654,-0.630905,-0.847512,-0.39005,-0.255549,0.858179,0.0905152,0.468675,-0.173541,0.494661,0.366991,-0.840862,-0.311442,-0.661649,0.373579,-0.37949,-0.737088,-0.455794,-0.41828,-0.193463,-0.0243552,-0.160977,-0.540145,0.881866,0.362308,0.585349,-0.0521334,0.79842,-0.343959,-0.66863,0.886431,0.393709
826,1457.14,1,-3.54914,1.12799,2.72189,2.05907,-2.19987,0.58649,7.23204,0.367557,-1.07848,-1.6149,0.352143,-4.80006,0.690195,0.677956,0.41374,0.315906,1.29279,0.269038,1.69799,0.736164,0.97834,0.321212,1.47712,-0.521909,-0.731631,-0.952525,0.862189,0.458076,0.305939,-0.897821,-0.101034,-0.50195,0.237855,0.488732,0.374218,-0.559021,-0.776072,-0.14398,0.651368,0.634327,0.773712,-0.352635,0.711548,-0.865446,-0.21022,-0.645653,0.672279,0.443434,0.795642,-0.608714,-0.842217,-0.34985,-0.284614,0.858422,0.0675183,0.439689,-0.176847,0.456396,0.400135,-0.844401,-0.331445,-0.686731,0.386835,-0.376332,-0.715753,-0.481745,-0.405084,-0.200086,-0.0446943,-0.0859504,-0.522899,0.87434,0.361916,0.568434,-0.0595851,0.789834,-0.318143,-0.677218,0.891715,0.393064
827,1463.3,1,-3.55128,1.1141,2.72509,2.04624,-2.18749,0.583648,7.36578,0.37978,-1.10844,-1.62748,0.359727,-4.79638,0.67182,0.692311,0.403171,0.312591,1.31021,0.268354,1.75512,0.745241,0.992847,0.30607,1.53645,-0.529139,-0.726421,-0.95332,0.880801,0.492924,0.280075,-0.906507,-0.113171,-0.487309,0.282964,0.484706,0.378148,-0.533386,-0.797597,-0.147533,0.650308,0.641228,0.764717,-0.41092,0.726542,-0.844234,-0.219507,-0.651584,0.66331,0.447983,0.79223,-0.667865,-0.881133,-0.383507,-0.273887,0.869608,0.0692083,0.434391,-0.23517,0.469626,0.370465,-0.86266,-0.309753,-0.662423,0.411423,-0.351245,-0.720098,-0.489437,-0.440402,-0.0893919,-0.0393833,-0.0879324,-0.510864,0.851793,0.366266,0.57247,-0.143329,0.802997,-0.345443,-0.707842,0.896434,0.394888
828,1455.94,1,-3.52331,1.15605,2.72303,2.0283,-2.24862,0.588965,7.6001,0.395468,-1.10612,-1.57463,0.359448,-4.79795,0.676471,0.698301,0.40304,0.313899,1.30856,0.272586,1.67984,0.712082,0.996863,0.300704,1.5516,-0.534672,-0.746309,-0.949628,0.903144,0.519868,0.27999,-0.905131,-0.159436,-0.547823,0.302263,0.461078,0.366663,-0.537172,-0.779627,-0.104783,0.657909,0.676809,0.751727,-0.403367,0.754814,-0.840608,-0.222617,-0.649254,0.65559,0.420819,0.796861,-0.643097,-0.909325,-0.408428,-0.295357,0.857657,0.11028,0.502188,-0.25168,0.527095,0.31593,-0.885442,-0.338696,-0.673051,0.356431,-0.37233,-0.753273,-0.508899,-0.42913,-0.109997,-0.0161366,-0.068571,-0.52099,0.824315,0.402307,0.588724,-0.125111,0.779634,-0.330962,-0.71413,0.892635,0.395122
829,1473.86,1,-3.53042,1.15001,2.73557,2.01697,-2.23321,0.585774,7.65791,0.400582,-1.11807,-1.59866,0.359494,-4.80383,0.687273,0.70435,0.397427,0.321319,1.30986,0.268904,1.70283,0.7477,0.994558,0.317695,1.62741,-0.534417,-0.716479,-0.948338,0.89536,0.504674,0.326038,-0.897547,-0.144611,-0.526814,0.325895,0.455221,0.368352,-0.51395,-0.770002,-0.196212,0.660803,0.67694,0.7755,-0.444247,0.745934,-0.823704,-0.220245,-0.667838,0.634109,0.417331,0.773473,-0.638549,-0.916203,-0.382822,-0.339093,0.847414,0.10076,0.478162,-0.291283,0.493175,0.368119,-0.862616,-0.30063,-0.629622,0.376236,-0.293279,-0.747632,-0.537944,-0.433378,-0.077055,-0.0592388,-0.0884831,-0.546312,0.840443,0.407713,0.576846,-0.144607,0.775004,-0.325717,-0.723171,0.895422,0.39884
830,1485.62,1,-3.54477,1.1643,2.74865,2.01446,-2.26628,0.58763,7.61631,0.385663,-1.09883,-1.58247,0.3573,-4.78886,0.702604,0.708697,0.416183,0.310739,1.28589,0.268504,1.69382,0.728987,0.979968,0.339692,1.55908,-0.524961,-0.716409,-0.948687,0.883729,0.474681,0.245746,-0.895235,-0.134501,-0.502719,0.294816,0.360229,0.350638,-0.485157,-0.776942,-0.135793,0.664687,0.654753,0.739002,-0.355408,0.767037,-0.817108,-0.114422,-0.605125,0.601256,0.3411,0.719886,-0.579262,-0.902017,-0.329547,-0.287092,0.83432,0.0989537,0.471499,-0.284308,0.436243,0.294014,-0.840605,-0.296054,-0.63427,0.365585,-0.370641,-0.733896,-0.527509,-0.408729,-0.126324,0.0142832,-0.0840044,-0.519919,0.844504,0.40522,0.561368,-0.0895277,0.779039,-0.224731,-0.653308,0.894331,0.403103
831,1480.65,1,-3.54534,1.17183,2.74531,2.01556,-2.2987,0.590975,7.79944,0.395616,-1.12504,-1.55269,0.355356,-4.78057,0.715245,0.701287,0.41102,0.312862,1.28333,0.269341,1.72527,0.75107,0.974181,0.327069,1.54274,-0.542741,-0.751079,-0.947019,0.889067,0.468063,0.288191,-0.891376,-0.178238,-0.563296,0.295824,0.430601,0.362147,-0.544269,-0.774577,-0.186303,0.664399,0.658983,0.752031,-0.317909,0.794428,-0.832291,-0.15498,-0.634982,0.635253,0.370758,0.759156,-0.586302,-0.901037,-0.300372,-0.33377,0.820496,0.119008,0.523456,-0.297431,0.422028,0.383862,-0.820039,-0.329594,-0.71438,0.393606,-0.33771,-0.722605,-0.566798,-0.416289,-0.164937,-0.0132395,-0.0554649,-0.559964,0.858529,0.452239,0.599599,-0.0664757,0.748183,-0.158083,-0.625531,0.893733,0.408522
832,1468.94,1,-3.55758,1.22086,2.76973,2.02785,-2.29906,0.59306,7.77119,0.384944,-1.0396,-1.55396,0.351166,-4.78373,0.726916,0.693717,0.419044,0.321915,1.29711,0.269232,1.77927,0.729595,1.00779,0.314232,1.56558,-0.536513,-0.76605,-0.949971,0.90491,0.4944,0.201597,-0.897963,-0.186573,-0.554978,0.263214,0.483112,0.367642,-0.581569,-0.798003,-0.196956,0.637064,0.684078,0.772975,-0.366942,0.79278,-0.852753,-0.236972,-0.56228,0.672126,0.424618,0.777722,-0.533584,-0.903158,-0.331806,-0.249157,0.83219,0.121557,0.508951,-0.243945,0.447931,0.346318,-0.818584,-0.339404,-0.732065,0.406658,-0.321528,-0.728474,-0.578327,-0.444876,-0.131374,0.0634912,-0.116941,-0.561782,0.858228,0.432823,0.564745,-0.0437632,0.753703,-0.192859,-0.638222,0.898437,0.402672
833,1465.83,1,-3.56314,1.23684,2.7685,2.01298,-2.35557,0.602375,8.02645,0.392636,-1.04484,-1.51152,0.352561,-4.80289,0.714791,0.714989,0.408743,0.313865,1.31098,0.27278,1.72491,0.73001,1.03281,0.315105,1.54984,-0.561491,-0.762658,-0.952764,0.922429,0.537951,0.185402,-0.896383,-0.204108,-0.566762,0.291129,0.51887,0.402381,-0.601388,-0.796221,-0.249891,0.667727,0.695209,0.815986,-0.395144,0.783219,-0.866333,-0.297803,-0.567224,0.690208,0.437809,0.787642,-0.576938,-0.910135,-0.387104,-0.222513,0.826999,0.135694,0.511214,-0.271547,0.483853,0.317386,-0.833877,-0.338986,-0.718935,0.421456,-0.265676,-0.768696,-0.591962,-0.495564,-0.104224,0.0253544,-0.178011,-0.572264,0.839251,0.468619,0.602334,-0.104627,0.748477,-0.208052,-0.648434,0.88464,0.393299
834,1463.11,1,-3.54691,1.20711,2.75712,2.04882,-2.33808,0.598236,7.96315,0.39522,-1.06441,-1.52374,0.354297,-4.78214,0.724147,0.69975,0.422048,0.308769,1.29056,0.272966,1.74641,0.737607,1.01609,0.348958,1.56053,-0.5393,-0.747767,-0.949239,0.940278,0.510989,0.204016,-0.895578,-0.21312,-0.577714,0.252802,0.490028,0.3687,-0.593933,-0.793273,-0.282531,0.646996,0.691263,0.801539,-0.373251,0.777822,-0.848092,-0.26345,-0.594246,0.661628,0.463358,0.786679,-0.57405,-0.917496,-0.343662,-0.23866,0.819957,0.1461,0.519306,-0.232256,0.496884,0.311255,-0.864763,-0.356734,-0.71665,0.343955,-0.242739,-0.757889,-0.61337,-0.511387,-0.115903,0.0283536,-0.177583,-0.592324,0.866572,0.479331,0.605623,-0.051122,0.750786,-0.228616,-0.63251,0.881833,0.391837
835,1457.73,1,-3.52419,1.22832,2.75617,2.04167,-2.36738,0.599481,7.99122,0.398781,-1.04791,-1.50503,0.355837,-4.78711,0.738457,0.695164,0.417151,0.311765,1.29212,0.274097,1.75052,0.766106,1.02866,0.358448,1.47627,-0.532935,-0.766275,-0.948441,0.929322,0.509677,0.196668,-0.888905,-0.198664,-0.555717,0.194547,0.49012,0.345534,-0.567741,-0.839869,-0.205912,0.649609,0.705594,0.787549,-0.305369,0.778581,-0.876356,-0.300296,-0.57005,0.692281,0.442944,0.784488,-0.54841,-0.909365,-0.332796,-0.237003,0.816847,0.116488,0.482822,-0.191814,0.485247,0.310925,-0.856895,-0.366155,-0.7017,0.306699,-0.237192,-0.754361,-0.655652,-0.534747,-0.120557,0.0452725,-0.127817,-0.572663,0.896642,0.472552,0.590468,0.00342527,0.75563,-0.204991,-0.622424,0.882604,0.392244
836,1471.28,1,-3.53517,1.23765,2.78777,2.02926,-2.32266,0.593344,7.9922,0.396204,-1.04881,-1.54763,0.361282,-4.80376,0.716788,0.678315,0.3899,0.314098,1.29503,0.270791,1.72397,0.751751,1.03329,0.363945,1.49146,-0.566009,-0.783943,-0.944576,0.931093,0.565529,0.166585,-0.895854,-0.232149,-0.583896,0.228285,0.544574,0.376938,-0.598359,-0.825063,-0.227536,0.66271,0.698001,0.789951,-0.344324,0.789718,-0.87153,-0.385046,-0.543711,0.72372,0.444316,0.815231,-0.573326,-0.90452,-0.407731,-0.192289,0.831492,0.151158,0.504331,-0.22607,0.528714,0.270753,-0.860717,-0.344182,-0.713532,0.348427,-0.208157,-0.792203,-0.671767,-0.542731,-0.076521,0.0382118,-0.124702,-0.581431,0.89266,0.49261,0.619184,-0.05815,0.717346,-0.217929,-0.654395,0.884062,0.397121
