time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
18.2915,0.715762,0.462532,0.395349,0.53876,All
18.3844,0.715762,0.462532,0.395349,0.53876,All
18.4774,0.715762,0.462532,0.395349,0.53876,All
18.5704,0.717224,0.462725,0.393316,0.53856,All
18.6633,0.717224,0.462725,0.393316,0.53856,All
18.7563,0.717224,0.462725,0.393316,0.53856,All
18.8492,0.717224,0.462725,0.393316,0.53856,All
18.9422,0.717224,0.462725,0.393316,0.53856,All
19.0352,0.717949,0.464103,0.39359,0.538462,All
19.1281,0.717949,0.464103,0.39359,0.538462,All
19.2211,0.717949,0.464103,0.39359,0.538462,All
19.3141,0.717949,0.464103,0.39359,0.538462,All
19.407,0.717949,0.464103,0.39359,0.538462,All
19.5,0.71867,0.462916,0.393862,0.537084,All
