ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
16,4,2.32409,-0.192236,-0.192236,1.2521,-0.561047,-0.561047,1.14422,-0.498323,-0.498323,2.32409,-0.454729,-0.454729,0,All,#4682B4,0
16,5,2.36195,-0.484167,-0.484167,2.06519,-0.940774,-0.940774,1.9813,-0.918556,-0.918556,2.36195,-0.685227,-0.685227,0,All,#4682B4,0
16,6,2.09102,-0.172497,-0.172497,2.32307,-0.58471,-0.58471,2.32557,-0.585586,-0.585586,2.09102,-0.261661,-0.261661,0,All,#4682B4,0
16,7,1.69343,-0.208455,-0.208455,2.12666,-0.603838,-0.603838,2.22171,-0.637735,-0.637735,1.69343,-0.292865,-0.292865,0,All,#4682B4,0
16,8,1.09248,0.597598,0.597598,1.74348,0.338746,0.338746,1.92943,0.199929,0.199929,1.09248,0.736292,0.736292,0,All,#4682B4,0
16,9,0.29198,0.722197,0.722197,1.31121,0.490343,0.490343,1.58683,0.236656,0.236656,0.29198,0.83238,0.83238,0,All,#4682B4,0
16,10,-0.56737,1.58988,1.58988,0.887935,1.85518,1.85518,1.24824,1.22206,1.22206,-0.56737,1.73038,1.73038,0,All,#4682B4,0
16,11,-1.28532,1.3897,1.3897,0.503585,2.67731,2.67731,0.941927,1.55574,1.55574,-1.28532,1.55829,1.55829,0,All,#4682B4,0
16,12,-1.8256,1.13826,1.13826,0.167019,2.30725,2.30725,0.680779,0.886069,0.886069,-1.8256,1.38178,1.38178,0,All,#4682B4,0
16,13,-2.25822,1.20477,1.20477,-0.121182,2.55535,2.55535,0.467943,1.02894,1.02894,-2.25822,1.42685,1.42685,0,All,#4682B4,0
16,14,-2.63939,1.14614,1.14614,-0.36899,1.98997,1.98997,0.29705,1.07195,1.07195,-2.63939,1.49275,1.49275,0,All,#4682B4,0
17,-1,-7,1.53144,1.53144,-7,1.53083,1.53083,-7,1.53083,1.53083,-7,1.6271,1.6271,0,All,#4682B4,0
17,0,-7,1.48812,1.48812,-7,1.48484,1.48484,-7,1.48484,1.48484,-7,1.43467,1.43467,0,All,#4682B4,0
17,1,-7,1.4277,1.4277,-7,1.43755,1.43755,-7,1.43755,1.43755,-7,1.47414,1.47414,0,All,#4682B4,0
17,2,-1.46233,0.690281,0.690281,-7,1.48162,1.48162,-4.39274,1.38846,1.38846,-1.46233,0.562389,0.562389,0,All,#4682B4,0
17,3,1.4853,0.108687,0.108687,-0.685081,0.929938,0.929938,-0.849382,1.00525,1.00525,1.4853,-0.0973893,-0.0973893,0,All,#4682B4,0
17,4,2.32409,-0.207055,-0.207055,1.11593,-0.47959,-0.47959,0.884904,-0.312553,-0.312553,2.32409,-0.395947,-0.395947,0,All,#4682B4,0
17,5,2.36195,-0.222612,-0.222612,2.04029,-0.621991,-0.621991,1.91736,-0.573994,-0.573994,2.36195,-0.489793,-0.489793,0,All,#4682B4,0
17,6,2.09102,0.190493,0.190493,2.28762,-0.135365,-0.135365,2.3345,-0.158582,-0.158582,2.09102,0.161437,0.161437,0,All,#4682B4,0
17,7,1.69343,0.552501,0.552501,1.97988,0.326138,0.326138,2.19699,0.179674,0.179674,1.69343,0.704184,0.704184,0,All,#4682B4,0
17,8,1.09248,0.369675,0.369675,1.32047,0.333915,0.333915,1.75298,-0.0108435,-0.0108435,1.09248,0.499885,0.499885,0,All,#4682B4,0
17,9,0.29198,0.235044,0.235044,0.425272,0.932035,0.932035,1.11828,-0.0287186,-0.0287186,0.29198,0.304449,0.304449,0,All,#4682B4,0
17,10,-0.56737,0.585957,0.585957,-0.535255,2.33659,2.33659,0.353158,1.38561,1.38561,-0.56737,0.845322,0.845322,0,All,#4682B4,0
