rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,7.5,7.77835,0.546859,0.546859,0,All,#4682B4,0
2,7,7.5,7.38975,0.982647,0.982647,0,All,#4682B4,0
3,7,7.5,7.1434,1.25891,1.25891,0,All,#4682B4,0
4,7,7.5,7.39287,0.979142,0.979142,0,All,#4682B4,0
5,7,7.5,7.65967,0.679949,0.679949,0,All,#4682B4,0
6,7,7.5,6.94594,1.48034,1.48034,0,All,#4682B4,0
7,7,7.5,7.11151,1.29467,1.29467,0,All,#4682B4,0
8,7,7.5,7.33203,1.04737,1.04737,0,All,#4682B4,0
9,7,7.5,7.38235,0.990946,0.990946,0,All,#4682B4,0
10,7,7.5,7.48384,0.877135,0.877135,0,All,#4682B4,0
1,7,8,7.54991,0.0146754,0.0146754,0,All,#4682B4,0
2,7,8,7.10767,0.510612,0.510612,0,All,#4682B4,0
3,7,8,6.91667,0.724808,0.724808,0,All,#4682B4,0
4,7,8,7.11314,0.504485,0.504485,0,All,#4682B4,0
5,7,8,7.55812,0.0054692,0.0054692,0,All,#4682B4,0
6,7,8,6.87175,0.77518,0.77518,0,All,#4682B4,0
7,7,8,6.94766,0.690052,0.690052,0,All,#4682B4,0
8,7,8,7.08489,0.536159,0.536159,0,All,#4682B4,0
9,7,8,7.13603,0.478812,0.478812,0,All,#4682B4,0
10,7,8,7.25847,0.34151,0.34151,0,All,#4682B4,0
1,7,8.5,7.36123,-0.223416,-0.223416,0,All,#4682B4,0
2,7,8.5,6.91172,0.280674,0.280674,0,All,#4682B4,0
3,7,8.5,6.75678,0.454426,0.454426,0,All,#4682B4,0
4,7,8.5,6.91693,0.27483,0.27483,0,All,#4682B4,0
5,7,8.5,7.45344,-0.326824,-0.326824,0,All,#4682B4,0
6,7,8.5,6.85068,0.349119,0.349119,0,All,#4682B4,0
7,7,8.5,6.85851,0.340338,0.340338,0,All,#4682B4,0
8,7,8.5,6.9066,0.286405,0.286405,0,All,#4682B4,0
9,7,8.5,6.8877,0.307606,0.307606,0,All,#4682B4,0
10,7,8.5,7.07073,0.102349,0.102349,0,All,#4682B4,0
1,7,9,7.1873,-1.01747,-1.01747,0,All,#4682B4,0
2,7,9,6.79156,-0.573674,-0.573674,0,All,#4682B4,0
3,7,9,6.66463,-0.431333,-0.431333,0,All,#4682B4,0
4,7,9,6.74685,-0.52353,-0.52353,0,All,#4682B4,0
5,7,9,7.27896,-1.12026,-1.12026,0,All,#4682B4,0
6,7,9,6.85023,-0.639469,-0.639469,0,All,#4682B4,0
7,7,9,6.78107,-0.561911,-0.561911,0,All,#4682B4,0
8,7,9,6.80322,-0.58675,-0.58675,0,All,#4682B4,0
9,7,9,6.64977,-0.414671,-0.414671,0,All,#4682B4,0
10,7,9,6.88275,-0.675934,-0.675934,0,All,#4682B4,0
1,7,9.5,7.02259,1.18356,1.18356,0,All,#4682B4,0
2,7,9.5,6.66495,1.58462,1.58462,0,All,#4682B4,0
3,7,9.5,6.62884,1.62511,1.62511,0,All,#4682B4,0
4,7,9.5,6.5776,1.68258,1.68258,0,All,#4682B4,0
5,7,9.5,7.05606,1.14603,1.14603,0,All,#4682B4,0
6,7,9.5,6.85223,1.3746,1.3746,0,All,#4682B4,0
7,7,9.5,6.67099,1.57785,1.57785,0,All,#4682B4,0
8,7,9.5,6.76248,1.47525,1.47525,0,All,#4682B4,0
9,7,9.5,6.42528,1.85339,1.85339,0,All,#4682B4,0
10,7,9.5,6.67133,1.57747,1.57747,0,All,#4682B4,0
1,7,10,6.85466,0.628376,0.628376,0,All,#4682B4,0
2,7,10,6.50678,1.0185,1.0185,0,All,#4682B4,0
3,7,10,6.58354,0.932415,0.932415,0,All,#4682B4,0
4,7,10,6.40122,1.13687,1.13687,0,All,#4682B4,0
5,7,10,6.7946,0.695725,0.695725,0,All,#4682B4,0
6,7,10,6.77081,0.722407,0.722407,0,All,#4682B4,0
7,7,10,6.5271,0.995714,0.995714,0,All,#4682B4,0
8,7,10,6.76877,0.724698,0.724698,0,All,#4682B4,0
9,7,10,6.2116,1.34951,1.34951,0,All,#4682B4,0
10,7,10,6.43622,1.09762,1.09762,0,All,#4682B4,0
1,7,10.5,6.68374,0.379335,0.379335,0,All,#4682B4,0
2,7,10.5,6.30691,0.801918,0.801918,0,All,#4682B4,0
3,7,10.5,6.47115,0.617738,0.617738,0,All,#4682B4,0
4,7,10.5,6.20649,0.914527,0.914527,0,All,#4682B4,0
5,7,10.5,6.49601,0.589851,0.589851,0,All,#4682B4,0
6,7,10.5,6.59433,0.479602,0.479602,0,All,#4682B4,0
7,7,10.5,6.34756,0.756331,0.756331,0,All,#4682B4,0
8,7,10.5,6.78679,0.263765,0.263765,0,All,#4682B4,0
9,7,10.5,6.00008,1.146,1.146,0,All,#4682B4,0
10,7,10.5,6.17323,0.951826,0.951826,0,All,#4682B4,0
1,7,11,6.5022,-0.121343,-0.121343,0,All,#4682B4,0
2,7,11,6.05876,0.375944,0.375944,0,All,#4682B4,0
3,7,11,6.28924,0.117485,0.117485,0,All,#4682B4,0
4,7,11,5.98688,0.456555,0.456555,0,All,#4682B4,0
5,7,11,6.14606,0.278044,0.278044,0,All,#4682B4,0
6,7,11,6.34517,0.0547611,0.0547611,0,All,#4682B4,0
7,7,11,6.13105,0.294881,0.294881,0,All,#4682B4,0
8,7,11,6.66075,-0.299137,-0.299137,0,All,#4682B4,0
9,7,11,5.78131,0.687084,0.687084,0,All,#4682B4,0
10,7,11,5.87627,0.580593,0.580593,0,All,#4682B4,0
1,7,11.5,6.31842,-0.872931,-0.872931,0,All,#4682B4,0
2,7,11.5,5.74812,-0.233393,-0.233393,0,All,#4682B4,0
3,7,11.5,6.03632,-0.556588,-0.556588,0,All,#4682B4,0
4,7,11.5,5.73443,-0.218041,-0.218041,0,All,#4682B4,0
5,7,11.5,5.7304,-0.213519,-0.213519,0,All,#4682B4,0
6,7,11.5,6.0336,-0.553535,-0.553535,0,All,#4682B4,0
7,7,11.5,5.87562,-0.376371,-0.376371,0,All,#4682B4,0
8,7,11.5,6.38834,-0.951344,-0.951344,0,All,#4682B4,0
9,7,11.5,5.55031,-0.0115586,-0.0115586,0,All,#4682B4,0
10,7,11.5,5.53963,0.000418861,0.000418861,0,All,#4682B4,0
