iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
11,-3.78938,0.233018,2.00145,0.218061,3.02208,0.179485,2.11408,0.0784296,-2.40347,0.386692,0.632526,0.0925554,7.97889,0.692187,0.486899,0.350017,-1.54547,0.383883,-4.42663,0.188111,0.44623,0.223257
12,-3.79129,0.231464,1.99347,0.218299,3.02403,0.178686,2.11548,0.0794079,-2.3998,0.389063,0.63187,0.0929668,7.97803,0.690231,0.488519,0.351816,-1.54758,0.384092,-4.42283,0.188446,0.445765,0.222216
13,-3.79597,0.231485,1.98569,0.21844,3.0265,0.178047,2.11627,0.0803514,-2.39672,0.389349,0.631371,0.0929923,7.97578,0.688423,0.489385,0.352892,-1.55036,0.386131,-4.42253,0.188808,0.444995,0.221462
14,-3.79967,0.230935,1.98001,0.21926,3.02793,0.178087,2.1172,0.0803814,-2.39426,0.389529,0.630935,0.0931731,7.97435,0.684311,0.489644,0.351888,-1.55297,0.38541,-4.42227,0.190761,0.444419,0.222223
15,-3.80155,0.231282,1.97623,0.218923,3.03073,0.179053,2.11951,0.0796911,-2.39182,0.388922,0.630502,0.0934051,7.96463,0.681759,0.488803,0.353515,-1.55525,0.387361,-4.42113,0.19141,0.44485,0.222237
16,-3.8029,0.231403,1.97551,0.219248,3.03196,0.180375,2.12216,0.0792619,-2.39025,0.387777,0.630075,0.0936242,7.95557,0.680857,0.489722,0.35319,-1.55706,0.387296,-4.42064,0.191947,0.445602,0.221803
17,-3.80193,0.232224,1.97416,0.219282,3.03275,0.180986,2.12318,0.0788922,-2.38937,0.387448,0.629847,0.0935402,7.95311,0.684313,0.48917,0.352427,-1.55836,0.390549,-4.42009,0.190753,0.446703,0.221974
18,-3.80155,0.231668,1.97614,0.220402,3.03229,0.182523,2.12419,0.0790289,-2.38653,0.387003,0.629457,0.0933834,7.95072,0.685949,0.48945,0.354053,-1.55963,0.392976,-4.42017,0.189605,0.446754,0.223928
19,-3.80038,0.231829,1.98065,0.221084,3.03052,0.183726,2.12598,0.0797139,-2.38514,0.389757,0.629404,0.0939648,7.95459,0.685395,0.489886,0.356456,-1.5586,0.397244,-4.42102,0.190289,0.447144,0.224235
20,-3.8003,0.232246,1.98106,0.221571,3.02958,0.184275,2.12803,0.0803323,-2.38384,0.391564,0.62923,0.0945778,7.95478,0.690687,0.490036,0.358341,-1.55747,0.398922,-4.41877,0.191885,0.447692,0.224455
21,-3.79917,0.232512,1.9821,0.222286,3.02782,0.185209,2.12941,0.0809367,-2.38344,0.39333,0.629142,0.0950697,7.95481,0.693897,0.490038,0.35856,-1.55649,0.399253,-4.41815,0.192311,0.448328,0.224441
22,-3.79888,0.232583,1.98305,0.223279,3.02602,0.186064,2.13074,0.0814692,-2.382,0.396217,0.629036,0.0956958,7.9557,0.695722,0.490519,0.357787,-1.55626,0.400284,-4.41775,0.192708,0.448673,0.224914
23,-3.79897,0.232178,1.98225,0.223871,3.0251,0.186123,2.13116,0.0820037,-2.38084,0.399172,0.628916,0.0966267,7.95742,0.697758,0.490295,0.35635,-1.55679,0.401073,-4.41808,0.192914,0.449223,0.2252
24,-3.79862,0.231845,1.98237,0.225041,3.02376,0.185579,2.13155,0.0824394,-2.3798,0.401773,0.62891,0.0973272,7.9586,0.694844,0.4899,0.354155,-1.55648,0.400937,-4.41859,0.192723,0.449862,0.225687
25,-3.7994,0.23187,1.98124,0.224026,3.02258,0.184845,2.13242,0.0826847,-2.37867,0.404287,0.628872,0.0977741,7.95974,0.69261,0.489739,0.352118,-1.5558,0.399661,-4.41882,0.192663,0.450458,0.22581
26,-3.80157,0.23373,1.98043,0.223851,3.02213,0.184383,2.13385,0.0833166,-2.37742,0.407129,0.62895,0.0981273,7.96268,0.689357,0.489781,0.350288,-1.55533,0.398958,-4.41855,0.192888,0.45102,0.224613
27,-3.80411,0.235805,1.97888,0.224456,3.02239,0.183381,2.13539,0.0833104,-2.37624,0.408779,0.629007,0.0982439,7.96163,0.68685,0.489151,0.349686,-1.55566,0.398679,-4.41796,0.192515,0.451381,0.224357
28,-3.80561,0.237355,1.97583,0.224563,3.02282,0.183073,2.13689,0.0831131,-2.37492,0.410058,0.628912,0.0984986,7.954,0.68563,0.488383,0.349216,-1.5569,0.397688,-4.41731,0.19227,0.451396,0.22416
29,-3.80826,0.239215,1.97416,0.2234,3.02365,0.183286,2.13746,0.082923,-2.37372,0.411711,0.62891,0.098646,7.95168,0.686785,0.488007,0.348908,-1.5572,0.396728,-4.41679,0.192471,0.452027,0.224287
30,-3.81058,0.240198,1.97276,0.223545,3.02453,0.183445,2.13794,0.0828549,-2.37264,0.411995,0.628945,0.0987909,7.94617,0.690862,0.487653,0.349326,-1.55662,0.396208,-4.41705,0.192239,0.452336,0.224783
31,-3.81259,0.241002,1.97025,0.223727,3.02525,0.18365,2.13809,0.0827321,-2.3718,0.41239,0.628891,0.0990859,7.94208,0.693433,0.486383,0.349023,-1.55662,0.395959,-4.41654,0.192172,0.452007,0.224929
32,-3.81472,0.242259,1.96877,0.223692,3.0258,0.183947,2.13816,0.0828864,-2.37027,0.412888,0.628851,0.0994272,7.93975,0.696886,0.485982,0.348289,-1.5568,0.396081,-4.41661,0.191928,0.452186,0.224399
33,-3.8166,0.243757,1.96799,0.224043,3.02596,0.184186,2.13792,0.0833882,-2.36903,0.413646,0.628801,0.0998504,7.93751,0.698981,0.485755,0.347421,-1.55722,0.396385,-4.41662,0.190975,0.452504,0.224906
34,-3.81827,0.245118,1.96629,0.224429,3.02636,0.184561,2.13755,0.0835441,-2.36765,0.414311,0.628688,0.100128,7.93443,0.700221,0.48512,0.347027,-1.55788,0.396601,-4.41664,0.190682,0.452702,0.225319
35,-3.81886,0.246074,1.96556,0.224714,3.0265,0.185085,2.13703,0.0838243,-2.36678,0.414686,0.628577,0.100215,7.92713,0.702103,0.484713,0.345793,-1.5588,0.397285,-4.41738,0.19085,0.452643,0.225047
36,-3.81956,0.246877,1.96514,0.226389,3.0269,0.185654,2.13687,0.0836544,-2.36571,0.415362,0.628459,0.100468,7.92228,0.701301,0.485081,0.345859,-1.55992,0.398928,-4.41788,0.191175,0.452402,0.224533
37,-3.82054,0.247777,1.96458,0.227797,3.0272,0.186356,2.13742,0.0832277,-2.36432,0.415334,0.62841,0.10077,7.91763,0.703864,0.484727,0.345833,-1.56051,0.399971,-4.41843,0.191897,0.452013,0.223416
38,-3.82188,0.248774,1.9643,0.228577,3.0275,0.187076,2.13818,0.0828568,-2.36367,0.415564,0.62841,0.100886,7.91168,0.7052,0.484095,0.348038,-1.56104,0.400775,-4.41857,0.192391,0.452154,0.222972
39,-3.82343,0.249655,1.96359,0.229343,3.02785,0.187778,2.13764,0.0830651,-2.36257,0.41537,0.628385,0.100808,7.90629,0.704949,0.484087,0.349924,-1.56184,0.401529,-4.41866,0.192506,0.451754,0.222809
40,-3.82438,0.250225,1.96319,0.22938,3.02809,0.187945,2.13721,0.0832462,-2.36128,0.415071,0.628321,0.100699,7.89884,0.704423,0.484102,0.351435,-1.56244,0.403098,-4.41846,0.192027,0.451934,0.223482
41,-3.82522,0.250488,1.96213,0.229373,3.02834,0.187936,2.13685,0.0831987,-2.35973,0.414994,0.628167,0.100702,7.89132,0.704956,0.484219,0.353489,-1.56315,0.4043,-4.41863,0.191565,0.453165,0.224243
42,-3.8254,0.250552,1.96125,0.229016,3.02816,0.188286,2.1372,0.0830836,-2.35798,0.414994,0.627984,0.100797,7.88428,0.706782,0.484115,0.354914,-1.56401,0.404753,-4.41863,0.191311,0.453654,0.224083
43,-3.82565,0.251039,1.96053,0.229637,3.02788,0.188403,2.13732,0.0830902,-2.35641,0.414907,0.627809,0.100838,7.87909,0.707323,0.483887,0.355531,-1.56343,0.404687,-4.41876,0.190586,0.454254,0.224021
44,-3.82629,0.251698,1.96137,0.23007,3.02785,0.187923,2.13819,0.0830776,-2.35474,0.41497,0.627656,0.100789,7.87412,0.710595,0.483686,0.356705,-1.56287,0.404672,-4.41896,0.190064,0.454873,0.224655
45,-3.82637,0.252113,1.96209,0.230778,3.0275,0.18778,2.1386,0.0829328,-2.35314,0.415105,0.627525,0.100809,7.87141,0.712551,0.484071,0.356966,-1.56221,0.404506,-4.41896,0.190368,0.454972,0.224853
46,-3.82615,0.25215,1.96169,0.231375,3.02704,0.187467,2.13861,0.0827154,-2.35256,0.415279,0.62746,0.101105,7.87053,0.714901,0.484537,0.357287,-1.56128,0.404558,-4.41881,0.19032,0.454736,0.22515
47,-3.82652,0.252523,1.96069,0.231692,3.0264,0.187472,2.13898,0.0824795,-2.35177,0.415737,0.627413,0.101306,7.8709,0.715202,0.484621,0.358054,-1.56079,0.40522,-4.41912,0.190903,0.454883,0.224539
48,-3.82617,0.252627,1.96132,0.232595,3.02584,0.187631,2.13943,0.0825479,-2.35126,0.416405,0.627383,0.101522,7.86927,0.717022,0.484311,0.358706,-1.56037,0.406539,-4.41959,0.191381,0.454878,0.225108
49,-3.82622,0.25291,1.96029,0.233433,3.02534,0.18783,2.13979,0.0826281,-2.35065,0.416615,0.627284,0.101797,7.86784,0.717434,0.484334,0.359936,-1.55987,0.407807,-4.41972,0.191578,0.454568,0.225669
50,-3.82641,0.253407,1.9596,0.233399,3.02497,0.188006,2.13997,0.0828856,-2.35031,0.416958,0.627245,0.102124,7.86595,0.718476,0.483777,0.361106,-1.55968,0.409241,-4.41946,0.191627,0.455109,0.226461
51,-3.82612,0.253846,1.95788,0.2343,3.02438,0.188105,2.14036,0.0831073,-2.35023,0.416843,0.627282,0.10218,7.86606,0.71978,0.483441,0.362277,-1.55942,0.410221,-4.41907,0.192156,0.455167,0.226786
52,-3.82596,0.253753,1.95822,0.235287,3.02363,0.18823,2.14038,0.083289,-2.35009,0.417074,0.627323,0.102331,7.86763,0.721635,0.483064,0.363122,-1.55944,0.411029,-4.41856,0.192921,0.455352,0.22705
53,-3.82557,0.253824,1.95816,0.236122,3.02288,0.188425,2.14032,0.0834024,-2.35038,0.417087,0.627395,0.102444,7.87115,0.72398,0.482847,0.36402,-1.55906,0.41206,-4.41811,0.193619,0.455191,0.227375
54,-3.8251,0.253943,1.95837,0.236802,3.02211,0.188421,2.14041,0.0833833,-2.35056,0.417131,0.627461,0.102699,7.87266,0.725103,0.482325,0.364868,-1.55862,0.413033,-4.41773,0.193976,0.455258,0.227438
55,-3.82467,0.253831,1.95959,0.237263,3.02172,0.188332,2.14045,0.083297,-2.35058,0.416807,0.627528,0.10287,7.87557,0.726377,0.481991,0.365669,-1.55856,0.413214,-4.41728,0.194168,0.45562,0.227516
56,-3.82431,0.253584,1.96043,0.238065,3.0214,0.18789,2.14058,0.0833548,-2.35051,0.416213,0.627593,0.102989,7.87824,0.730905,0.481822,0.365785,-1.55867,0.413391,-4.41731,0.194237,0.455762,0.227819
57,-3.82402,0.25365,1.96096,0.238286,3.02121,0.187724,2.14052,0.0834245,-2.35041,0.415972,0.627584,0.103149,7.87993,0.735199,0.481702,0.366292,-1.55829,0.413433,-4.41742,0.194276,0.456144,0.228278
58,-3.82377,0.253857,1.96185,0.238809,3.0212,0.187613,2.14055,0.0833763,-2.3507,0.415624,0.62764,0.103121,7.88037,0.737702,0.481384,0.366205,-1.55832,0.413843,-4.41745,0.194393,0.45636,0.227993
59,-3.82376,0.254156,1.96199,0.238879,3.0207,0.187681,2.14037,0.0833177,-2.35055,0.415153,0.627702,0.103179,7.87819,0.740551,0.480942,0.367,-1.55874,0.414587,-4.41745,0.194746,0.456572,0.227689
60,-3.82413,0.254655,1.96177,0.23948,3.02069,0.187655,2.13947,0.0833882,-2.35058,0.414688,0.627769,0.103144,7.88029,0.741,0.480396,0.368157,-1.55842,0.415253,-4.41745,0.194997,0.456206,0.22746
61,-3.82439,0.255036,1.96289,0.240368,3.02065,0.18766,2.13886,0.0834187,-2.35082,0.414104,0.627844,0.103162,7.87997,0.742291,0.479756,0.369325,-1.55822,0.415569,-4.4172,0.195089,0.45576,0.227438
62,-3.82472,0.255277,1.96432,0.240821,3.02057,0.187702,2.13825,0.0834922,-2.35057,0.413874,0.627861,0.10316,7.88202,0.741071,0.479257,0.369574,-1.55806,0.415465,-4.41722,0.195208,0.455701,0.227869
63,-3.82507,0.255293,1.96514,0.240901,3.02072,0.187675,2.13795,0.0832658,-2.35072,0.413768,0.627883,0.103223,7.88333,0.741307,0.478822,0.369286,-1.55789,0.415633,-4.41722,0.195021,0.455489,0.228096
64,-3.82507,0.25524,1.96614,0.241078,3.02085,0.187768,2.13775,0.0831287,-2.35076,0.413693,0.627896,0.103176,7.88545,0.740351,0.478306,0.369283,-1.55779,0.415824,-4.41707,0.19479,0.455336,0.228412
65,-3.82498,0.255408,1.96723,0.240952,3.02077,0.187614,2.13745,0.0829308,-2.35063,0.413602,0.627871,0.103162,7.88789,0.740463,0.477944,0.369943,-1.55773,0.415367,-4.41707,0.194641,0.455309,0.228861
66,-3.825,0.255263,1.96727,0.240897,3.02077,0.187476,2.13736,0.082848,-2.35073,0.413633,0.627902,0.103173,7.89239,0.7414,0.477628,0.370389,-1.55795,0.415198,-4.41756,0.194373,0.455029,0.228719
67,-3.82474,0.255084,1.96804,0.240736,3.02139,0.18734,2.1368,0.0829081,-2.35157,0.413697,0.627947,0.103214,7.89426,0.741408,0.477157,0.370892,-1.5587,0.41529,-4.41813,0.194384,0.454488,0.229088
68,-3.82473,0.255128,1.96849,0.240612,3.0215,0.187048,2.1362,0.0830312,-2.35184,0.413579,0.627909,0.103196,7.89427,0.741718,0.476962,0.370825,-1.55868,0.415191,-4.41821,0.19401,0.454317,0.228908
69,-3.82479,0.25522,1.9688,0.240703,3.02146,0.186754,2.13587,0.0830086,-2.35194,0.413862,0.627931,0.103146,7.89474,0.742916,0.476574,0.370664,-1.55813,0.415538,-4.41785,0.193946,0.454107,0.228798
70,-3.82483,0.255576,1.969,0.240904,3.0213,0.186557,2.13532,0.0830489,-2.35266,0.414112,0.628009,0.103144,7.89511,0.742668,0.476485,0.370853,-1.55739,0.415567,-4.41756,0.193837,0.454101,0.228759
71,-3.82477,0.25576,1.96854,0.240958,3.02106,0.186461,2.13498,0.0829825,-2.35321,0.414316,0.628137,0.103187,7.89586,0.742115,0.476343,0.370669,-1.55696,0.415797,-4.41756,0.193693,0.454052,0.228496
72,-3.82501,0.255933,1.96845,0.241712,3.02095,0.186276,2.13482,0.0827937,-2.35397,0.414476,0.628293,0.1033,7.89628,0.742483,0.476185,0.370997,-1.55654,0.416143,-4.41718,0.193513,0.454198,0.228479
73,-3.82511,0.256258,1.96849,0.242189,3.02065,0.186135,2.13469,0.0826269,-2.35467,0.414628,0.628464,0.103382,7.89684,0.743824,0.476097,0.37157,-1.55572,0.416218,-4.41662,0.1933,0.454311,0.228427
74,-3.82491,0.256668,1.96838,0.242447,3.02031,0.186062,2.13462,0.0824553,-2.35538,0.414865,0.628619,0.103399,7.89709,0.74541,0.476119,0.37218,-1.55527,0.416588,-4.41621,0.193082,0.454191,0.228188
75,-3.82458,0.256762,1.96848,0.242484,3.01981,0.186288,2.13446,0.0823584,-2.35614,0.414932,0.628757,0.103339,7.89674,0.746588,0.476014,0.372571,-1.55482,0.416709,-4.416,0.193165,0.454169,0.228412
76,-3.82395,0.256951,1.96774,0.242116,3.01933,0.186131,2.13422,0.0823516,-2.35683,0.415144,0.62887,0.10343,7.89547,0.748129,0.475982,0.372676,-1.55416,0.416326,-4.41591,0.193106,0.454446,0.2289
77,-3.82379,0.256773,1.96741,0.242139,3.01919,0.186007,2.13386,0.0823216,-2.35752,0.415283,0.628994,0.103416,7.89494,0.750604,0.476297,0.372714,-1.55378,0.41582,-4.41621,0.193003,0.454483,0.229118
78,-3.82337,0.256423,1.96705,0.242171,3.01894,0.185555,2.13356,0.0823172,-2.3581,0.415509,0.629077,0.103422,7.89401,0.754093,0.476761,0.372791,-1.55306,0.415461,-4.4163,0.192766,0.454363,0.229187
79,-3.82298,0.255921,1.96663,0.242267,3.01888,0.185152,2.13344,0.0825295,-2.35868,0.415555,0.62916,0.103458,7.89225,0.755537,0.476848,0.372415,-1.55258,0.415326,-4.41641,0.192875,0.454191,0.22921
80,-3.82256,0.255721,1.96706,0.242461,3.01878,0.185095,2.13319,0.0827083,-2.35929,0.415712,0.62924,0.10343,7.89188,0.756254,0.476868,0.372644,-1.552,0.414902,-4.41663,0.19289,0.4541,0.22923
81,-3.82231,0.255488,1.96736,0.242301,3.01878,0.184963,2.13293,0.0829261,-2.35985,0.415839,0.629312,0.103498,7.89149,0.757482,0.476922,0.37266,-1.55168,0.41497,-4.4173,0.193175,0.453799,0.22949
82,-3.82216,0.25526,1.96792,0.242229,3.0187,0.18488,2.13236,0.0831441,-2.36053,0.415855,0.629426,0.103564,7.89049,0.758237,0.476919,0.372794,-1.55111,0.41518,-4.41792,0.193512,0.453453,0.229801
83,-3.82202,0.255107,1.96817,0.242204,3.01842,0.184657,2.132,0.0831552,-2.36113,0.41573,0.629521,0.103602,7.89063,0.760573,0.476692,0.37274,-1.55081,0.415535,-4.41882,0.193804,0.453015,0.229626
84,-3.82181,0.254936,1.96853,0.242149,3.01809,0.184491,2.13129,0.0832618,-2.36176,0.415582,0.629627,0.103627,7.89135,0.761371,0.476621,0.372582,-1.55014,0.415609,-4.4194,0.194183,0.452664,0.229564
85,-3.82149,0.254933,1.9678,0.242037,3.01739,0.184657,2.13117,0.0833325,-2.3623,0.415524,0.629736,0.103648,7.89378,0.762208,0.476734,0.372309,-1.54915,0.415362,-4.41965,0.194208,0.452675,0.230323
86,-3.82112,0.254978,1.96759,0.242143,3.01694,0.184677,2.13088,0.0835888,-2.36297,0.415661,0.629844,0.103666,7.89507,0.76281,0.4771,0.37197,-1.54803,0.415124,-4.41965,0.194341,0.452406,0.23078
87,-3.82085,0.25476,1.96737,0.242208,3.01657,0.184795,2.13075,0.0837166,-2.36343,0.415533,0.629905,0.103667,7.89633,0.762881,0.477556,0.37203,-1.54673,0.414883,-4.41965,0.194496,0.452351,0.230878
88,-3.82027,0.254826,1.96744,0.242046,3.01596,0.184808,2.13056,0.0837957,-2.36411,0.415189,0.630014,0.103602,7.89922,0.762844,0.477939,0.371899,-1.54543,0.415031,-4.4196,0.194321,0.452595,0.231085
89,-3.81953,0.255112,1.96768,0.241955,3.01539,0.184717,2.13046,0.0837465,-2.36486,0.414726,0.630101,0.103443,7.90232,0.764262,0.478476,0.371884,-1.54419,0.415189,-4.41955,0.19415,0.452685,0.231031
90,-3.81921,0.254985,1.96725,0.24216,3.01485,0.184574,2.13055,0.0837467,-2.36542,0.414211,0.630193,0.103271,7.9054,0.764519,0.478469,0.371864,-1.54278,0.415445,-4.41927,0.193991,0.452683,0.230853
91,-3.81881,0.254965,1.9669,0.242163,3.01436,0.184471,2.13041,0.0838152,-2.36583,0.41365,0.630278,0.103146,7.90731,0.765074,0.478523,0.371755,-1.54173,0.415486,-4.41922,0.193942,0.452668,0.230812
92,-3.81823,0.255127,1.96759,0.241959,3.01383,0.184315,2.13021,0.0839365,-2.36629,0.413183,0.630348,0.103013,7.91073,0.764318,0.478533,0.371333,-1.54053,0.415739,-4.41931,0.193836,0.452634,0.230652
93,-3.81758,0.255198,1.96842,0.241811,3.01332,0.184135,2.13002,0.0840033,-2.36671,0.41282,0.630386,0.102881,7.91474,0.763612,0.47873,0.371362,-1.5392,0.416001,-4.41925,0.193917,0.452612,0.230776
94,-3.81681,0.255206,1.9689,0.241651,3.01273,0.183947,2.12985,0.0839793,-2.36707,0.412655,0.63043,0.102785,7.91834,0.762539,0.47885,0.370924,-1.53797,0.416109,-4.41919,0.193808,0.45262,0.231134
95,-3.81621,0.255128,1.96965,0.24148,3.0122,0.183831,2.1297,0.0839174,-2.36747,0.412544,0.630514,0.102796,7.9217,0.761938,0.478928,0.370663,-1.5374,0.415772,-4.41911,0.193929,0.452558,0.231344
96,-3.81552,0.255042,1.96964,0.24124,3.01172,0.183759,2.1294,0.0838948,-2.3678,0.412607,0.630542,0.102771,7.92211,0.761522,0.478981,0.370347,-1.53682,0.415475,-4.419,0.194021,0.452594,0.231434
97,-3.81496,0.254919,1.96939,0.241175,3.0112,0.183716,2.12899,0.0840019,-2.36814,0.412749,0.630546,0.102741,7.92242,0.759998,0.478857,0.370083,-1.53622,0.415042,-4.41861,0.1941,0.452533,0.231487
98,-3.81431,0.254823,1.96864,0.240919,3.01066,0.183703,2.12838,0.0841842,-2.36863,0.412776,0.630547,0.102715,7.92318,0.758156,0.478787,0.369715,-1.53529,0.414958,-4.41818,0.194186,0.452506,0.23147
99,-3.81371,0.25483,1.96836,0.240781,3.0101,0.183674,2.12796,0.0842589,-2.36917,0.412941,0.630589,0.102679,7.92299,0.757352,0.478895,0.36968,-1.53436,0.414699,-4.41784,0.194228,0.452582,0.23148
100,-3.81305,0.254671,1.96845,0.240729,3.00967,0.183578,2.128,0.0842691,-2.36956,0.413137,0.630601,0.102626,7.92263,0.756604,0.479141,0.369737,-1.53344,0.414467,-4.41763,0.194249,0.4524,0.231654
101,-3.81272,0.254488,1.96866,0.240829,3.00922,0.18334,2.12791,0.0843953,-2.3697,0.413468,0.630617,0.102645,7.92511,0.756143,0.479181,0.369154,-1.53291,0.41422,-4.41757,0.194139,0.452298,0.23185
102,-3.81238,0.254393,1.96929,0.240655,3.00899,0.183121,2.12767,0.0845618,-2.36985,0.413806,0.630609,0.102634,7.92811,0.755603,0.479313,0.368672,-1.53265,0.414028,-4.41799,0.194093,0.451971,0.231987
103,-3.81196,0.254495,1.96983,0.240477,3.00877,0.182885,2.1273,0.0848276,-2.3699,0.414386,0.630597,0.102787,7.93094,0.755829,0.479687,0.368028,-1.53238,0.41414,-4.41803,0.193834,0.451718,0.231922
104,-3.81158,0.254764,1.97042,0.240129,3.00864,0.182709,2.12713,0.0850866,-2.36981,0.415083,0.630586,0.102912,7.93286,0.755436,0.480003,0.367257,-1.53235,0.414062,-4.41827,0.193642,0.451456,0.231859
105,-3.81117,0.254864,1.97154,0.239936,3.00843,0.18273,2.12701,0.0853747,-2.36989,0.415567,0.630599,0.10298,7.93515,0.755969,0.48015,0.366868,-1.53229,0.414106,-4.4185,0.193474,0.451418,0.231753
106,-3.811,0.255436,1.97248,0.239853,3.00807,0.182909,2.12693,0.0855961,-2.36989,0.416158,0.630595,0.103043,7.93569,0.756276,0.480159,0.366672,-1.53205,0.414188,-4.41855,0.193402,0.451495,0.231697
107,-3.81073,0.255523,1.9726,0.240041,3.00781,0.183228,2.12693,0.0857552,-2.36985,0.416435,0.630595,0.103085,7.9352,0.756253,0.480194,0.366244,-1.53179,0.414056,-4.41857,0.19328,0.451795,0.231819
108,-3.81059,0.255657,1.97236,0.240114,3.0076,0.183318,2.12677,0.0858585,-2.36991,0.416685,0.630593,0.103138,7.9351,0.755333,0.480141,0.366021,-1.53141,0.414125,-4.41853,0.193196,0.451792,0.231696
109,-3.81057,0.255587,1.97182,0.240186,3.00744,0.183258,2.12658,0.0859114,-2.36996,0.417148,0.630598,0.103193,7.93489,0.755742,0.480147,0.36581,-1.53117,0.413974,-4.41857,0.193137,0.451749,0.231834
110,-3.81067,0.255409,1.97185,0.240191,3.00752,0.18334,2.12631,0.0861043,-2.37007,0.417606,0.630607,0.103301,7.93414,0.7571,0.480215,0.366225,-1.53111,0.414426,-4.41876,0.193117,0.451637,0.23188
111,-3.8109,0.255383,1.97176,0.240287,3.00746,0.183452,2.1259,0.0860978,-2.37013,0.417725,0.630617,0.10333,7.93354,0.758099,0.480491,0.36652,-1.53101,0.4145,-4.41888,0.193128,0.45142,0.231809
112,-3.8109,0.25526,1.97171,0.240272,3.00753,0.183603,2.12556,0.0863113,-2.37051,0.418016,0.630669,0.103374,7.9328,0.759235,0.480803,0.366611,-1.53088,0.414985,-4.4191,0.192882,0.451267,0.231857
113,-3.81099,0.255495,1.97167,0.240277,3.0074,0.183608,2.12513,0.0863452,-2.37102,0.418427,0.630741,0.103394,7.93276,0.760421,0.480981,0.366881,-1.53075,0.415432,-4.4192,0.192637,0.450976,0.231767
114,-3.81109,0.255496,1.97164,0.240213,3.00725,0.183712,2.12473,0.086387,-2.37146,0.418841,0.630813,0.103427,7.93205,0.761493,0.480723,0.36668,-1.53027,0.41544,-4.41922,0.192458,0.450727,0.23169
115,-3.81123,0.255522,1.97136,0.239912,3.00706,0.183887,2.12443,0.0864341,-2.37193,0.419452,0.630897,0.103419,7.93234,0.762371,0.480487,0.366575,-1.53,0.415625,-4.41903,0.192322,0.450495,0.231993
116,-3.81148,0.255645,1.97124,0.239843,3.00694,0.183991,2.12435,0.0865185,-2.37224,0.420089,0.630962,0.103449,7.93178,0.763004,0.480316,0.366391,-1.52964,0.415993,-4.4189,0.192198,0.450445,0.232071
