rep,ID,time,y2,y2_simBlq_simulated,indivPredSimulated,censored,split,color,filter
6,8,1,1.27,2.71326e-16,0,1,All,#4682B4,0
7,8,1,1.27,3.06449e-18,0,1,All,#4682B4,0
8,8,1,1.27,3.24351e-16,0,1,All,#4682B4,0
9,8,1,1.27,7.48637e-17,0,1,All,#4682B4,0
10,8,1,1.27,8.66831e-17,0,1,All,#4682B4,0
1,8,1.5,1.27,3.85525e-17,0,1,All,#4682B4,0
2,8,1.5,1.27,1.45548e-16,0,1,All,#4682B4,0
3,8,1.5,1.27,5.09237e-16,0,1,All,#4682B4,0
4,8,1.5,1.27,1.42613e-17,0,1,All,#4682B4,0
5,8,1.5,1.27,4.85918e-17,0,1,All,#4682B4,0
6,8,1.5,1.27,1.24155e-16,0,1,All,#4682B4,0
7,8,1.5,1.27,2.78337e-16,0,1,All,#4682B4,0
8,8,1.5,1.27,5.23071e-16,0,1,All,#4682B4,0
9,8,1.5,1.27,3.51576e-16,0,1,All,#4682B4,0
10,8,1.5,1.27,1.22836e-16,0,1,All,#4682B4,0
1,8,2,1.27,9.16602e-17,0,1,All,#4682B4,0
2,8,2,1.27,2.50096e-16,0,1,All,#4682B4,0
3,8,2,1.27,5.04308e-17,0,1,All,#4682B4,0
4,8,2,1.27,1.42816e-16,0,1,All,#4682B4,0
5,8,2,1.27,1.04257e-16,0,1,All,#4682B4,0
6,8,2,1.27,4.45044e-17,0,1,All,#4682B4,0
7,8,2,1.27,6.07681e-17,0,1,All,#4682B4,0
8,8,2,1.27,3.2506e-16,0,1,All,#4682B4,0
9,8,2,1.27,9.2441e-17,0,1,All,#4682B4,0
10,8,2,1.27,8.93124e-17,0,1,All,#4682B4,0
1,8,2.5,1.27,1.59416e-16,0,1,All,#4682B4,0
2,8,2.5,1.27,0.819817,0.580798,1,All,#4682B4,0
3,8,2.5,1.27,4.73881e-17,0,1,All,#4682B4,0
4,8,2.5,1.27,3.81281e-16,0,1,All,#4682B4,0
5,8,2.5,1.27,2.33282e-16,0,1,All,#4682B4,0
6,8,2.5,1.27,3.58464e-16,0,1,All,#4682B4,0
7,8,2.5,1.27,1.23152e-17,0,1,All,#4682B4,0
8,8,2.5,1.27,1.69468e-16,0,1,All,#4682B4,0
9,8,2.5,1.27,1.86503e-17,0,1,All,#4682B4,0
10,8,2.5,1.27,1.02556e-16,0,1,All,#4682B4,0
1,8,3,1.86,1.86,1.52015,0,All,#4682B4,0
2,8,3,1.86,1.86,2.3743,0,All,#4682B4,0
3,8,3,1.86,1.86,1.54713,0,All,#4682B4,0
4,8,3,1.86,1.86,1.72655,0,All,#4682B4,0
5,8,3,1.86,1.86,1.64333,0,All,#4682B4,0
6,8,3,1.86,1.86,1.72749,0,All,#4682B4,0
7,8,3,1.86,1.86,1.88747,0,All,#4682B4,0
8,8,3,1.86,1.86,1.43468,0,All,#4682B4,0
9,8,3,1.86,1.86,1.37272,0,All,#4682B4,0
10,8,3,1.86,1.86,2.04655,0,All,#4682B4,0
1,8,3.5,1.27,1.23061,2.28481,1,All,#4682B4,0
2,8,3.5,1.27,1.13568,2.73479,1,All,#4682B4,0
3,8,3.5,1.27,1.04447,2.49728,1,All,#4682B4,0
4,8,3.5,1.27,0.0024047,2.53071,1,All,#4682B4,0
5,8,3.5,1.27,1.134,2.26593,1,All,#4682B4,0
6,8,3.5,1.27,0.987346,2.35556,1,All,#4682B4,0
7,8,3.5,1.27,0.293677,2.50661,1,All,#4682B4,0
8,8,3.5,1.27,0.359847,2.23931,1,All,#4682B4,0
9,8,3.5,1.27,1.22692,2.51328,1,All,#4682B4,0
10,8,3.5,1.27,0.733451,2.48222,1,All,#4682B4,0
1,8,4,3.59,3.59,2.61696,0,All,#4682B4,0
2,8,4,3.59,3.59,2.87277,0,All,#4682B4,0
3,8,4,3.59,3.59,2.76004,0,All,#4682B4,0
4,8,4,3.59,3.59,2.87723,0,All,#4682B4,0
5,8,4,3.59,3.59,2.52046,0,All,#4682B4,0
6,8,4,3.59,3.59,2.64062,0,All,#4682B4,0
7,8,4,3.59,3.59,2.80246,0,All,#4682B4,0
8,8,4,3.59,3.59,2.52223,0,All,#4682B4,0
9,8,4,3.59,3.59,2.94524,0,All,#4682B4,0
10,8,4,3.59,3.59,2.63161,0,All,#4682B4,0
1,8,4.5,1.27,0.914981,2.7606,1,All,#4682B4,0
2,8,4.5,1.27,1.00566,2.90715,1,All,#4682B4,0
3,8,4.5,1.27,1.16577,2.80298,1,All,#4682B4,0
4,8,4.5,1.27,0.954352,3.02753,1,All,#4682B4,0
5,8,4.5,1.27,1.01085,2.64069,1,All,#4682B4,0
6,8,4.5,1.27,1.12171,2.78209,1,All,#4682B4,0
7,8,4.5,1.27,1.07582,2.93346,1,All,#4682B4,0
8,8,4.5,1.27,0.424326,2.62269,1,All,#4682B4,0
9,8,4.5,1.27,0.386533,3.11938,1,All,#4682B4,0
10,8,4.5,1.27,0.466984,2.64874,1,All,#4682B4,0
1,8,5,3.93,3.93,2.79198,0,All,#4682B4,0
2,8,5,3.93,3.93,2.89822,0,All,#4682B4,0
3,8,5,3.93,3.93,2.76835,0,All,#4682B4,0
4,8,5,3.93,3.93,3.06198,0,All,#4682B4,0
5,8,5,3.93,3.93,2.68249,0,All,#4682B4,0
6,8,5,3.93,3.93,2.83678,0,All,#4682B4,0
7,8,5,3.93,3.93,2.96436,0,All,#4682B4,0
8,8,5,3.93,3.93,2.63165,0,All,#4682B4,0
9,8,5,3.93,3.93,3.1474,0,All,#4682B4,0
10,8,5,3.93,3.93,2.61174,0,All,#4682B4,0
1,8,5.5,1.27,1.26065,2.76499,1,All,#4682B4,0
2,8,5.5,1.27,0.134063,2.87424,1,All,#4682B4,0
3,8,5.5,1.27,0.76669,2.71338,1,All,#4682B4,0
4,8,5.5,1.27,1.18216,3.03755,1,All,#4682B4,0
5,8,5.5,1.27,1.21241,2.67881,1,All,#4682B4,0
6,8,5.5,1.27,0.539908,2.84013,1,All,#4682B4,0
7,8,5.5,1.27,0.622514,2.94236,1,All,#4682B4,0
8,8,5.5,1.27,0.886893,2.60252,1,All,#4682B4,0
9,8,5.5,1.27,1.08063,3.10097,1,All,#4682B4,0
10,8,5.5,1.27,0.140192,2.55714,1,All,#4682B4,0
1,8,6,3.98,3.98,2.71043,0,All,#4682B4,0
2,8,6,3.98,3.98,2.84027,0,All,#4682B4,0
3,8,6,3.98,3.98,2.65368,0,All,#4682B4,0
4,8,6,3.98,3.98,2.98598,0,All,#4682B4,0
5,8,6,3.98,3.98,2.65017,0,All,#4682B4,0
6,8,6,3.98,3.98,2.81582,0,All,#4682B4,0
7,8,6,3.98,3.98,2.89176,0,All,#4682B4,0
8,8,6,3.98,3.98,2.56044,0,All,#4682B4,0
9,8,6,3.98,3.98,3.02034,0,All,#4682B4,0
10,8,6,3.98,3.98,2.49729,0,All,#4682B4,0
1,8,6.5,1.27,0.598624,2.64067,1,All,#4682B4,0
2,8,6.5,1.27,0.423272,2.79675,1,All,#4682B4,0
3,8,6.5,1.27,0.709388,2.59295,1,All,#4682B4,0
4,8,6.5,1.27,0.828027,2.91914,1,All,#4682B4,0
