iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,alpha_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_alpha_exp,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_p_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_p_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_p_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_p_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3,b3
913,2082.16,1,-3.93971,0.769483,3.03685,1.75952,-2.46776,0.617672,6.1208,0.431163,-2.11905,-2.03048,-3.35726,0.533811,1.24928,0.600243,0.487723,1.57966,0.31494,1.70925,0.544895,0.743154,0.191666,-0.589671,-0.611253,-0.957475,0.113778,-0.866494,0.0789156,-0.452225,0.73444,0.581596,0.462722,-0.484883,0.325517,-0.372617,0.332959,-0.423994,0.577051,0.048086,0.565912,0.41976,0.901748,-0.515346,-0.11967,0.892883,-0.011155,0.432974,-0.64773,-0.143717,0.436552,0.154753,-0.332686,0.170549,0.512452,-0.546897,0.681788,0.0324081,-0.340614,0.899714,0.405635,0.457636,0.595615
914,2079.34,1,-3.91244,0.762698,3.01962,1.76317,-2.48245,0.619522,6.07094,0.434649,-2.1174,-2.04428,-3.36689,0.525588,1.21765,0.597261,0.480434,1.5788,0.314684,1.68565,0.547517,0.757036,0.186813,-0.59351,-0.621138,-0.955549,0.109082,-0.870099,0.0618046,-0.470497,0.737061,0.605717,0.46213,-0.442346,0.366897,-0.317328,0.364623,-0.482425,0.57789,0.0642986,0.58434,0.453176,0.900579,-0.549094,-0.120745,0.881415,-0.00445396,0.439948,-0.633472,-0.150109,0.426786,0.150118,-0.311966,0.169044,0.530566,-0.557698,0.69898,0.0118278,-0.370512,0.905517,0.407076,0.433482,0.595006
915,2072.9,1,-3.92747,0.744018,2.99492,1.74522,-2.50137,0.620628,6.03805,0.423724,-2.15135,-2.01023,-3.36169,0.536854,1.18681,0.600624,0.490933,1.5805,0.318456,1.64297,0.533653,0.737867,0.182082,-0.591313,-0.64585,-0.953049,0.0747788,-0.870771,0.0864213,-0.506763,0.719023,0.651699,0.449666,-0.45476,0.358809,-0.34856,0.411337,-0.448951,0.595119,0.0420729,0.561907,0.378173,0.898486,-0.558969,-0.0731113,0.886689,-0.016306,0.477527,-0.620347,-0.0978166,0.44343,0.127612,-0.363223,0.141453,0.525202,-0.563126,0.643966,0.0445909,-0.360372,0.902995,0.406673,0.444686,0.583065
916,2071.18,1,-3.91513,0.759462,2.97425,1.74615,-2.49725,0.624309,5.95139,0.417898,-2.16133,-2.02502,-3.36289,0.530972,1.18449,0.598574,0.478503,1.59871,0.31368,1.6147,0.530464,0.722216,0.177472,-0.595982,-0.626872,-0.958064,0.051153,-0.878255,0.0818253,-0.494961,0.703619,0.638759,0.470475,-0.445704,0.344897,-0.386816,0.380171,-0.431171,0.591365,0.0563259,0.558721,0.36138,0.888451,-0.51928,-0.0434657,0.896589,-0.00159142,0.478917,-0.612198,-0.0232937,0.468312,0.145457,-0.385112,0.157701,0.533934,-0.572834,0.643503,0.0661748,-0.322754,0.909869,0.40642,0.42842,0.599399
917,2078.39,1,-3.88221,0.772008,2.93132,1.74356,-2.49559,0.625526,5.96614,0.413369,-2.14758,-2.04342,-3.36553,0.527904,1.20503,0.586531,0.482227,1.62587,0.315757,1.60415,0.528082,0.765762,0.172978,-0.579246,-0.616285,-0.960232,0.0237653,-0.892379,0.0410787,-0.480372,0.713414,0.651342,0.454797,-0.403782,0.356274,-0.333365,0.405784,-0.414774,0.569713,0.0956575,0.538258,0.39597,0.899316,-0.508519,-0.0134093,0.908435,0.0300498,0.460792,-0.640365,-0.02995,0.478646,0.170465,-0.400155,0.171883,0.512648,-0.594112,0.667842,0.037458,-0.319735,0.907366,0.405817,0.429002,0.591383
918,2082.96,1,-3.8923,0.7713,2.94332,1.76614,-2.48835,0.625183,5.98395,0.415734,-2.14832,-2.05234,-3.36833,0.515786,1.21859,0.589433,0.474166,1.63012,0.319254,1.67514,0.53573,0.783458,0.168598,-0.61915,-0.626875,-0.95607,0.00774387,-0.890173,0.00704594,-0.471396,0.706827,0.689168,0.502314,-0.388796,0.391862,-0.283782,0.460176,-0.419571,0.56639,0.0699853,0.54052,0.396255,0.899588,-0.470344,-0.0299915,0.898316,0.0364078,0.430164,-0.610029,-0.00418491,0.486757,0.16201,-0.403191,0.190398,0.49073,-0.591556,0.663045,0.0292155,-0.28911,0.911135,0.405135,0.442068,0.585967
919,2071.56,1,-3.89337,0.765733,2.95951,1.75567,-2.47807,0.620426,5.94123,0.424274,-2.14196,-2.01561,-3.39207,0.511739,1.18922,0.574509,0.473409,1.63105,0.319142,1.63272,0.538731,0.763621,0.164329,-0.62716,-0.631903,-0.961379,0.0291686,-0.887925,0.003741,-0.489653,0.701461,0.705127,0.509892,-0.388733,0.369689,-0.292784,0.485338,-0.435251,0.569732,0.0939182,0.513762,0.370205,0.893455,-0.491262,-0.0366798,0.907439,0.0597599,0.45243,-0.610694,0.015821,0.474925,0.165018,-0.406401,0.213745,0.481446,-0.578159,0.640411,0.0622647,-0.299215,0.915311,0.404603,0.445531,0.589708
920,2083.4,1,-3.8908,0.748318,2.9562,1.74449,-2.48832,0.620344,6.01335,0.432719,-2.13536,-2.04271,-3.41095,0.525545,1.21463,0.576798,0.46862,1.62448,0.326663,1.6137,0.548587,0.788231,0.160168,-0.590314,-0.639456,-0.957247,0.0277716,-0.867493,0.0356869,-0.474687,0.727181,0.697921,0.448303,-0.424091,0.317694,-0.33296,0.45161,-0.423442,0.568763,0.081338,0.511207,0.328771,0.882135,-0.497094,-0.014943,0.904644,0.045791,0.422384,-0.643176,0.00599529,0.484689,0.202398,-0.362763,0.212629,0.447619,-0.611634,0.618593,0.0666861,-0.32321,0.911097,0.400812,0.482182,0.57927
921,2073.69,1,-3.88083,0.763371,2.9534,1.71708,-2.48492,0.617403,6.04842,0.434053,-2.14307,-2.02487,-3.42438,0.545965,1.27031,0.569159,0.490113,1.62955,0.328205,1.61478,0.534696,0.768272,0.157453,-0.54975,-0.638219,-0.958025,0.0154425,-0.877167,0.0345641,-0.512961,0.72894,0.706743,0.412203,-0.432637,0.28763,-0.313948,0.490736,-0.3813,0.568463,0.0807177,0.523535,0.331458,0.892293,-0.490017,-0.00385001,0.903705,0.0296733,0.450404,-0.646177,0.0498484,0.531837,0.207186,-0.389867,0.214489,0.480468,-0.610434,0.594513,0.0572468,-0.34907,0.893924,0.405726,0.471213,0.588042
922,2073.59,1,-3.90975,0.756779,2.9864,1.73913,-2.49655,0.620075,6.18695,0.435061,-2.11542,-2.03499,-3.42255,0.56487,1.26001,0.561293,0.477703,1.63572,0.32065,1.57389,0.528296,0.748819,0.183066,-0.569418,-0.628476,-0.960868,0.0582744,-0.888821,0.0835114,-0.525652,0.710761,0.720699,0.446476,-0.474546,0.322343,-0.355658,0.491632,-0.365715,0.559431,0.0327982,0.529322,0.257022,0.869391,-0.473681,-0.0541237,0.912832,-0.0198241,0.471015,-0.627328,0.0246635,0.500202,0.130479,-0.379568,0.175818,0.516395,-0.63097,0.551859,0.067137,-0.351991,0.893015,0.407234,0.453236,0.587146
923,2068.4,1,-3.90381,0.726592,2.99475,1.71557,-2.50813,0.617101,5.85092,0.428619,-2.11625,-2.02656,-3.41798,0.574901,1.25277,0.556891,0.481858,1.6295,0.321819,1.53404,0.531884,0.776928,0.186089,-0.593049,-0.639448,-0.960309,0.0968879,-0.876288,0.0989847,-0.513283,0.724676,0.749291,0.46324,-0.477449,0.346392,-0.339098,0.494082,-0.415852,0.564043,-0.0362535,0.551851,0.248369,0.872826,-0.5071,-0.0947871,0.908851,-0.0254596,0.464655,-0.635644,0.0207326,0.463487,0.0585446,-0.366747,0.206533,0.525075,-0.658048,0.560834,0.0478265,-0.35563,0.888181,0.415713,0.451424,0.591704
924,2069.17,1,-3.92791,0.737736,3.02006,1.70956,-2.48694,0.618471,5.95263,0.438522,-2.09678,-2.00642,-3.43248,0.595624,1.31822,0.546201,0.484664,1.61697,0.320223,1.53317,0.531188,0.757256,0.197107,-0.566889,-0.619844,-0.96087,0.161416,-0.882363,0.124072,-0.476049,0.736426,0.73325,0.445926,-0.515639,0.31683,-0.349293,0.475824,-0.38764,0.561769,-0.0601324,0.551163,0.250747,0.864908,-0.478337,-0.161445,0.915082,-0.0482156,0.44161,-0.648225,-0.00121324,0.493323,0.0456257,-0.303194,0.188522,0.503428,-0.670304,0.576604,0.0706076,-0.325351,0.892935,0.407889,0.473674,0.585689
925,2073.27,1,-3.9175,0.770925,3.02293,1.71592,-2.4731,0.615652,5.90049,0.433072,-2.0936,-2.00926,-3.41132,0.607182,1.36378,0.550015,0.494041,1.64287,0.322067,1.52926,0.558118,0.750748,0.192116,-0.533145,-0.573815,-0.963753,0.139954,-0.885438,0.118071,-0.460912,0.73986,0.667406,0.426483,-0.543385,0.292351,-0.379727,0.402389,-0.377886,0.523363,-0.0187281,0.545171,0.308278,0.871003,-0.454669,-0.146944,0.918277,-0.0436528,0.436221,-0.663266,0.0322034,0.518892,0.096766,-0.272742,0.200222,0.520055,-0.682697,0.61178,0.11162,-0.290115,0.903906,0.413095,0.464094,0.588856
926,2065.87,1,-3.90528,0.825782,3.02146,1.72547,-2.48422,0.616691,6.00985,0.428141,-2.10955,-2.03798,-3.41579,0.609782,1.3475,0.549453,0.485954,1.629,0.325956,1.52458,0.570353,0.778852,0.187252,-0.539159,-0.60642,-0.957026,0.144129,-0.877403,0.128194,-0.47121,0.727682,0.657848,0.406766,-0.537013,0.262958,-0.405225,0.374287,-0.360801,0.567934,-0.0307123,0.573142,0.289109,0.857316,-0.457676,-0.125124,0.919641,-0.0231025,0.458363,-0.646229,0.0245632,0.486549,0.0812833,-0.325503,0.229961,0.550675,-0.654444,0.606124,0.111159,-0.296642,0.891323,0.407219,0.460569,0.596006
927,2070.46,1,-3.90484,0.803498,3.03145,1.68659,-2.48957,0.611819,6.06394,0.426348,-2.10937,-2.02956,-3.42824,0.605319,1.37061,0.571627,0.499113,1.63747,0.333444,1.55348,0.561847,0.784483,0.182562,-0.542678,-0.603854,-0.954889,0.150731,-0.879778,0.165475,-0.486553,0.745346,0.669626,0.413082,-0.529396,0.268424,-0.439706,0.392229,-0.376713,0.564983,-0.0679644,0.568736,0.229701,0.855692,-0.451643,-0.15443,0.921452,-0.0731104,0.463054,-0.65565,0.00890394,0.507788,0.0667592,-0.311051,0.177502,0.544006,-0.676421,0.557568,0.139819,-0.295731,0.907839,0.409809,0.453058,0.589203
928,2071.4,1,-3.92828,0.799571,3.03313,1.70745,-2.4882,0.616397,6.08598,0.427723,-2.11067,-2.02938,-3.41736,0.613386,1.34092,0.575972,0.486475,1.63466,0.328532,1.59729,0.576635,0.771026,0.17794,-0.535963,-0.605244,-0.955177,0.151745,-0.88518,0.0930161,-0.486712,0.732004,0.684742,0.401525,-0.507018,0.266146,-0.374715,0.392585,-0.347278,0.57298,-0.0514412,0.573732,0.291706,0.856834,-0.442861,-0.150425,0.934659,0.00933179,0.476762,-0.649106,-0.0193164,0.469765,0.0816627,-0.340739,0.224778,0.558126,-0.649824,0.621379,0.110172,-0.286881,0.912298,0.40581,0.459713,0.587349
929,2067.11,1,-3.93126,0.787918,3.01302,1.69217,-2.50887,0.620801,6.06462,0.431033,-2.12234,-2.01085,-3.41725,0.615283,1.30696,0.573895,0.487152,1.63756,0.321786,1.55685,0.570946,0.752458,0.184945,-0.548801,-0.600811,-0.955111,0.107798,-0.894009,0.100119,-0.457179,0.728415,0.681865,0.407702,-0.492801,0.264197,-0.431871,0.336804,-0.328695,0.549687,-0.051086,0.555207,0.254482,0.828049,-0.411676,-0.133194,0.935381,-0.00308859,0.438399,-0.640203,0.0675096,0.492483,0.117508,-0.38743,0.22019,0.531047,-0.671539,0.635318,0.0989351,-0.242247,0.907128,0.409339,0.443041,0.589824
930,2069.58,1,-3.90907,0.759586,2.9924,1.70178,-2.51428,0.620835,6.05048,0.420072,-2.1256,-2.02685,-3.43272,0.627133,1.28386,0.559363,0.493611,1.63324,0.323178,1.55178,0.564085,0.761318,0.204414,-0.52531,-0.60493,-0.951546,0.114029,-0.895316,0.105594,-0.491903,0.742403,0.682725,0.362065,-0.521545,0.235313,-0.441069,0.36222,-0.3205,0.544195,-0.059556,0.538694,0.244083,0.842919,-0.429245,-0.10133,0.944489,0.00114503,0.465257,-0.663064,0.0558794,0.507663,0.106556,-0.372237,0.192166,0.533617,-0.669307,0.609229,0.122388,-0.275201,0.896007,0.412784,0.425598,0.592781
931,2063.4,1,-3.86923,0.776118,2.99952,1.69511,-2.52152,0.618021,6.01754,0.420352,-2.16726,-2.0527,-3.38524,0.632664,1.30436,0.556311,0.481113,1.65173,0.32801,1.52859,0.558747,0.758167,0.220555,-0.524944,-0.589808,-0.957312,0.143721,-0.888179,0.0964739,-0.489707,0.744735,0.676314,0.377638,-0.548324,0.236081,-0.407725,0.34415,-0.270102,0.54984,-0.0906183,0.562092,0.274431,0.83236,-0.402959,-0.117792,0.942276,0.0161987,0.480956,-0.70008,0.0325641,0.476707,0.0931726,-0.351258,0.24394,0.579503,-0.673889,0.633545,0.0932612,-0.276704,0.903571,0.4108,0.430627,0.595952
932,2060.11,1,-3.87792,0.801364,3.00617,1.73193,-2.50407,0.62092,6.08796,0.41724,-2.13658,-2.07238,-3.38248,0.620702,1.28582,0.583023,0.468931,1.64531,0.324864,1.52121,0.544599,0.772683,0.21497,-0.512635,-0.593881,-0.955715,0.13631,-0.891955,0.0467081,-0.505825,0.733528,0.660017,0.353131,-0.549059,0.207618,-0.360133,0.424546,-0.28508,0.532883,-0.0576046,0.536817,0.315712,0.860526,-0.456912,-0.120431,0.944731,0.0391529,0.461162,-0.665527,0.0388969,0.497523,0.0589987,-0.354953,0.255457,0.538839,-0.6453,0.620709,0.0158303,-0.336436,0.88849,0.406189,0.411562,0.606438
933,2068.51,1,-3.86574,0.804172,3.00392,1.71469,-2.50738,0.618537,6.1016,0.418473,-2.13108,-2.10188,-3.36538,0.622078,1.29868,0.601524,0.493022,1.65854,0.332064,1.53672,0.532769,0.792278,0.209527,-0.475801,-0.603224,-0.95416,0.096469,-0.913503,0.0274759,-0.483578,0.745887,0.638815,0.326536,-0.577537,0.217865,-0.376009,0.395802,-0.264786,0.547355,-0.0676681,0.561968,0.31629,0.86632,-0.428322,-0.0862367,0.9583,0.0607867,0.451838,-0.670914,0.0416908,0.488965,0.03943,-0.341334,0.230427,0.522665,-0.666236,0.633253,0.0788369,-0.256563,0.904191,0.413816,0.422824,0.603664
934,2057.23,1,-3.85002,0.806606,3.00393,1.70591,-2.50086,0.613261,6.13144,0.419374,-2.16812,-2.1063,-3.36744,0.621897,1.29888,0.597607,0.488614,1.64943,0.334222,1.52051,0.545208,0.8012,0.204222,-0.465937,-0.618688,-0.9546,0.0866141,-0.923533,0.0378583,-0.495049,0.752999,0.636423,0.295643,-0.574809,0.218952,-0.392311,0.401665,-0.27469,0.553639,-0.024165,0.554576,0.311917,0.875389,-0.458793,-0.0430973,0.967059,0.0676483,0.457118,-0.683097,0.0431894,0.530505,0.0804716,-0.360657,0.183908,0.492135,-0.67521,0.60712,0.0544145,-0.296058,0.896656,0.412809,0.434192,0.596251
935,2058.65,1,-3.85461,0.815261,3.00152,1.69372,-2.496,0.613791,6.13407,0.417251,-2.16346,-2.09238,-3.37635,0.629615,1.30796,0.60432,0.506001,1.64591,0.332674,1.4891,0.541554,0.809859,0.199051,-0.463513,-0.644309,-0.950814,0.0764891,-0.915359,0.0201253,-0.511188,0.750385,0.644184,0.275964,-0.547692,0.178865,-0.382027,0.414756,-0.269608,0.564299,-0.0102433,0.557142,0.322984,0.887204,-0.445535,-0.0405821,0.96806,0.0767697,0.455691,-0.679274,0.0698305,0.58713,0.128154,-0.357681,0.200095,0.480622,-0.671144,0.606691,0.0244586,-0.309218,0.902468,0.412793,0.445585,0.593379
936,2071.97,1,-3.87008,0.833062,3.01066,1.68499,-2.47448,0.611575,6.17433,0.423499,-2.13628,-2.08503,-3.38122,0.647054,1.30396,0.605785,0.508853,1.65051,0.33678,1.50832,0.549316,0.817039,0.204613,-0.444718,-0.635839,-0.952314,0.0894237,-0.921628,0.0198523,-0.503896,0.757009,0.626144,0.264178,-0.55757,0.183126,-0.388851,0.389114,-0.258108,0.55956,-0.0172968,0.574458,0.331852,0.883296,-0.457357,-0.0611213,0.968448,0.0728609,0.455048,-0.67835,0.0420688,0.583521,0.114637,-0.349558,0.193174,0.490807,-0.682898,0.610796,0.00491111,-0.307258,0.896211,0.408826,0.450764,0.596246
937,2072.54,1,-3.8917,0.833277,3.00337,1.68559,-2.48491,0.612219,6.10821,0.421529,-2.14992,-2.04545,-3.36159,0.653754,1.33837,0.593756,0.501788,1.63753,0.332941,1.58235,0.550437,0.804101,0.199432,-0.495761,-0.674215,-0.953558,0.0733864,-0.918019,-0.00447201,-0.499348,0.767238,0.619164,0.323612,-0.572072,0.228523,-0.365329,0.372703,-0.304736,0.615485,-0.0198809,0.609963,0.353566,0.866432,-0.478947,-0.0222342,0.969358,0.0949087,0.454353,-0.702814,0.0608269,0.584247,0.13801,-0.340698,0.206287,0.488847,-0.68231,0.652445,0.0146633,-0.29418,0.895922,0.420061,0.455737,0.587428
938,2065.67,1,-3.86153,0.906673,3.01054,1.6554,-2.49131,0.608804,6.36973,0.432467,-2.19535,-2.05254,-3.34866,0.657143,1.30448,0.610783,0.509556,1.64611,0.333702,1.57138,0.55753,0.79692,0.194382,-0.488343,-0.679201,-0.958176,0.0819662,-0.928025,-0.00427757,-0.50434,0.758991,0.61513,0.344607,-0.597613,0.251267,-0.351059,0.353856,-0.289638,0.623503,-0.0379758,0.630985,0.370117,0.868453,-0.472204,-0.0415199,0.964807,0.0718595,0.462503,-0.696566,0.044664,0.562684,0.125081,-0.337117,0.188972,0.51405,-0.672134,0.667665,0.0313558,-0.292758,0.895429,0.416571,0.449881,0.591906
939,2063.26,1,-3.87589,0.894618,3.02581,1.68544,-2.49614,0.611648,6.24564,0.429241,-2.19706,-2.05242,-3.35502,0.666241,1.27338,0.608331,0.505829,1.64407,0.327567,1.55371,0.561561,0.782493,0.189461,-0.496797,-0.6852,-0.964204,0.0821766,-0.926697,0.0279497,-0.464278,0.757686,0.603333,0.360673,-0.606049,0.284682,-0.373929,0.34702,-0.322919,0.642026,-0.0296527,0.676893,0.363455,0.870919,-0.514891,-0.0372457,0.963029,0.0404408,0.434688,-0.70215,0.0397481,0.589993,0.113474,-0.331296,0.182714,0.514333,-0.663037,0.660805,0.0233655,-0.282252,0.908858,0.413557,0.44797,0.591216
940,2067.76,1,-3.88336,0.897118,3.01251,1.67992,-2.47193,0.609541,6.22513,0.427942,-2.20934,-2.07137,-3.33938,0.686297,1.32407,0.592928,0.506767,1.65199,0.329888,1.57324,0.557043,0.80176,0.184663,-0.495442,-0.677235,-0.962644,0.0835764,-0.92932,0.0490512,-0.498458,0.767039,0.631865,0.34701,-0.613016,0.338415,-0.352604,0.378444,-0.312641,0.628081,-0.0623429,0.698175,0.343996,0.863936,-0.485138,-0.031813,0.95921,0.0370933,0.470755,-0.699445,0.0117661,0.517579,0.0695873,-0.317059,0.176109,0.572649,-0.641878,0.637482,0.118776,-0.276634,0.906205,0.411497,0.43314,0.589592
941,2051.13,1,-3.887,0.936573,3.01764,1.68732,-2.47803,0.610293,6.30937,0.429866,-2.22283,-2.08038,-3.3525,0.692343,1.29055,0.600921,0.50037,1.64802,0.327431,1.56773,0.549438,0.795984,0.179988,-0.504961,-0.687082,-0.960091,0.102881,-0.921813,0.0559478,-0.492376,0.755107,0.622311,0.353499,-0.619108,0.305366,-0.388746,0.37285,-0.304581,0.640837,-0.0822825,0.697156,0.33575,0.86314,-0.492989,-0.052871,0.961299,0.0347001,0.468819,-0.690531,0.0216565,0.515974,0.0198511,-0.347006,0.206918,0.578357,-0.65291,0.638003,0.0808973,-0.247424,0.887674,0.415786,0.422019,0.599103
942,2060.34,1,-3.87755,0.939173,3.01987,1.70843,-2.47547,0.60828,6.15091,0.421386,-2.21724,-2.06434,-3.35366,0.722719,1.27438,0.645658,0.510829,1.67169,0.330952,1.58337,0.564469,0.801103,0.17543,-0.482145,-0.666996,-0.960488,0.0694256,-0.912441,0.0395654,-0.485182,0.735795,0.608716,0.344112,-0.640006,0.263107,-0.419429,0.366082,-0.276072,0.619393,-0.0564813,0.686804,0.331469,0.856077,-0.484471,-0.0318085,0.951075,0.0411262,0.453971,-0.661665,0.0919099,0.564076,0.0310139,-0.359686,0.245092,0.578707,-0.648429,0.620149,0.0436994,-0.230388,0.890675,0.418673,0.433366,0.593326
943,2053.14,1,-3.88431,0.936202,3.02622,1.69985,-2.48181,0.610012,6.13998,0.413459,-2.21894,-2.05023,-3.37163,0.731239,1.25086,0.65666,0.498263,1.67301,0.33015,1.55114,0.560024,0.781898,0.170988,-0.474526,-0.679999,-0.961439,0.079126,-0.915826,0.0574263,-0.494856,0.732716,0.611301,0.330932,-0.682738,0.252311,-0.436647,0.385627,-0.217265,0.63003,-0.0873257,0.671944,0.305787,0.863027,-0.461619,-0.0223265,0.949362,0.0307889,0.461766,-0.672862,0.0851981,0.582914,0.0338172,-0.378171,0.197687,0.531476,-0.686601,0.590083,0.0254515,-0.242233,0.892108,0.405973,0.464823,0.587425
944,2066.93,1,-3.87725,0.950899,3.04079,1.70263,-2.48095,0.610959,6.28335,0.414559,-2.18395,-2.0507,-3.36366,0.738572,1.26879,0.649807,0.501516,1.64983,0.330177,1.55067,0.565144,0.805381,0.168264,-0.454313,-0.67667,-0.961595,0.110525,-0.913031,0.0403876,-0.525783,0.698211,0.602476,0.317853,-0.700033,0.210955,-0.442583,0.393876,-0.207406,0.632368,-0.0979581,0.662224,0.323171,0.874443,-0.467341,-0.0538042,0.950416,0.0512519,0.491294,-0.640879,0.0768473,0.597386,0.00622449,-0.356833,0.229984,0.558242,-0.644227,0.568384,0.00587313,-0.267231,0.909872,0.402764,0.437367,0.604552
945,2059.7,1,-3.86753,0.947111,3.04625,1.69464,-2.49761,0.611059,6.24421,0.409092,-2.17243,-2.06733,-3.35497,0.721781,1.27283,0.653748,0.510847,1.6318,0.329144,1.51806,0.564971,0.820801,0.164004,-0.430409,-0.669732,-0.962031,0.113742,-0.919005,0.047545,-0.476624,0.713778,0.596667,0.288774,-0.71033,0.213257,-0.442291,0.376731,-0.225604,0.624027,-0.103992,0.662722,0.322465,0.865905,-0.49177,-0.0517922,0.953785,0.038308,0.44521,-0.652806,0.0503094,0.631093,0.00511127,-0.319975,0.199275,0.519266,-0.660143,0.588243,-0.0105517,-0.250351,0.894764,0.411129,0.44838,0.596712
946,2059.99,1,-3.84822,0.943012,3.04573,1.67803,-2.49261,0.60605,6.38607,0.404702,-2.1849,-2.08186,-3.35267,0.703505,1.27636,0.662556,0.513581,1.63563,0.336508,1.54323,0.550793,0.825821,0.159851,-0.415297,-0.68209,-0.960619,0.0906877,-0.928706,0.0160668,-0.484601,0.732619,0.576312,0.272755,-0.692271,0.191913,-0.447442,0.359767,-0.227029,0.648563,-0.100865,0.650787,0.330148,0.858695,-0.473538,-0.0421458,0.960187,0.0658604,0.456456,-0.665333,0.0756588,0.646384,0.0166271,-0.332367,0.202826,0.48717,-0.689499,0.585861,-0.0318285,-0.234373,0.906902,0.411641,0.448307,0.587658
947,2069.64,1,-3.85018,0.982167,3.02636,1.6959,-2.5041,0.60454,6.33321,0.402112,-2.15373,-2.10434,-3.38579,0.697864,1.28564,0.64578,0.512611,1.63412,0.34148,1.50415,0.55283,0.840467,0.155804,-0.446204,-0.673336,-0.958325,0.0868358,-0.911438,0.0307704,-0.49557,0.733823,0.57097,0.298466,-0.682817,0.192229,-0.441688,0.378673,-0.260264,0.637532,-0.0587997,0.642978,0.340283,0.877598,-0.459171,-0.0345839,0.947557,0.0566657,0.470085,-0.654403,0.119038,0.667269,0.0642975,-0.306259,0.227211,0.5129,-0.683926,0.575198,0.00946814,-0.247353,0.905151,0.427818,0.442197,0.596768
948,2065.98,1,-3.84019,0.971709,3.01308,1.71645,-2.44494,0.598556,6.27834,0.403883,-2.15369,-2.09798,-3.40977,0.68202,1.2738,0.629429,0.499632,1.64498,0.342795,1.46607,0.559627,0.819186,0.151859,-0.470427,-0.653969,-0.956623,0.0988641,-0.892545,0.0796043,-0.493517,0.727326,0.561962,0.313471,-0.663854,0.173813,-0.443082,0.377367,-0.299108,0.615088,-0.046725,0.626204,0.343361,0.878149,-0.432297,-0.0345138,0.934086,0.0122962,0.4609,-0.648849,0.148402,0.663818,0.060207,-0.290253,0.210971,0.515619,-0.676919,0.557395,0.056551,-0.237459,0.900955,0.418836,0.443986,0.595541
949,2069.99,1,-3.83087,0.961599,2.99209,1.7289,-2.43257,0.603144,6.20963,0.398042,-2.13426,-2.11569,-3.43714,0.69109,1.28454,0.63666,0.493248,1.64411,0.334115,1.44205,0.575616,0.83996,0.148014,-0.45542,-0.6549,-0.956798,0.0558939,-0.90268,0.0771545,-0.487567,0.722556,0.588795,0.296897,-0.625398,0.20139,-0.440529,0.379308,-0.274995,0.598646,-0.0198127,0.61626,0.320445,0.864537,-0.444444,-0.00968868,0.937897,0.0067415,0.44023,-0.658197,0.117069,0.660011,0.0953535,-0.312877,0.17008,0.49536,-0.675429,0.559329,0.0516991,-0.219626,0.894213,0.4132,0.437431,0.601284
950,2075.4,1,-3.8347,0.946579,2.99677,1.70676,-2.43438,0.605238,6.1039,0.393991,-2.14197,-2.12758,-3.43948,0.69555,1.27042,0.647448,0.523476,1.65498,0.330909,1.41501,0.581468,0.871401,0.152046,-0.447442,-0.660454,-0.956644,0.0519788,-0.900119,0.0631752,-0.511408,0.708376,0.5902,0.289218,-0.620146,0.181854,-0.442083,0.384418,-0.290885,0.60278,0.00236789,0.621942,0.298387,0.855426,-0.444297,-0.0103719,0.932809,0.0142615,0.461957,-0.63948,0.134356,0.664954,0.110913,-0.287839,0.218004,0.559283,-0.645574,0.548474,0.0961406,-0.21294,0.904197,0.406555,0.451645,0.601731
951,2074.4,1,-3.84908,0.950555,2.99794,1.71266,-2.41974,0.604238,6.13753,0.387432,-2.11474,-2.13537,-3.45953,0.722665,1.23825,0.631054,0.517911,1.63774,0.333117,1.37918,0.599375,0.882238,0.149865,-0.426259,-0.681138,-0.958162,0.0648896,-0.899786,0.0816118,-0.480803,0.709526,0.601188,0.263457,-0.659254,0.133775,-0.434529,0.383707,-0.247848,0.622505,-0.0754837,0.615314,0.251252,0.856151,-0.411627,-0.00484792,0.938439,-0.000858578,0.438836,-0.641438,0.141292,0.661363,0.0863764,-0.279915,0.206114,0.517355,-0.637884,0.557183,0.111601,-0.171383,0.916718,0.403694,0.462752,0.599245
