iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,alpha_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_alpha_exp,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_p_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_p_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_p_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_p_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3,b3
21,2149.11,1,-4.34391,0.378007,3.27933,2.04168,-1.83792,0.534222,5.41404,0.513491,-1.64896,-1.88349,-3.51187,0.455584,1.12641,0.432373,0.370135,0.792845,0.163797,0.867502,0.443138,0.462931,0.598737,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.977586,0.458715,0.547897,0.607096
22,2127.12,1,-4.37885,0.36107,3.30046,2.06457,-1.7875,0.531212,5.42039,0.527642,-1.63238,-1.89059,-3.5266,0.444048,1.11271,0.428599,0.369376,0.819134,0.165683,0.845536,0.456454,0.453317,0.583577,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.952833,0.446878,0.536313,0.609983
23,2127.78,1,-4.37113,0.372837,3.30112,2.04268,-1.80743,0.533364,5.48095,0.528932,-1.61141,-1.87952,-3.49921,0.4562,1.11078,0.428375,0.374175,0.826805,0.169053,0.830597,0.444896,0.446321,0.5688,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.952788,0.443186,0.539023,0.620147
24,2129.25,1,-4.36646,0.367836,3.30631,2.03846,-1.7926,0.531984,5.50271,0.525994,-1.65422,-1.8823,-3.47813,0.448375,1.09602,0.431346,0.379094,0.808499,0.16846,0.809566,0.443848,0.455658,0.554398,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.949803,0.442753,0.495167,0.627275
25,2128.47,1,-4.38117,0.359136,3.29909,2.03651,-1.79299,0.532434,5.51827,0.517793,-1.65419,-1.88672,-3.4616,0.445643,1.06826,0.442988,0.382205,0.812351,0.166908,0.789067,0.459703,0.444121,0.54036,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.955205,0.44888,0.510842,0.613077
26,2138.1,1,-4.3733,0.367123,3.2922,2.03591,-1.78714,0.531277,5.58514,0.51337,-1.68743,-1.88463,-3.42196,0.463447,1.09828,0.453895,0.387228,0.813745,0.166029,0.842548,0.461472,0.432875,0.526678,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.958122,0.449545,0.51514,0.602119
27,2126.54,1,-4.38333,0.369354,3.29903,2.04826,-1.76747,0.527741,5.54253,0.515497,-1.71313,-1.87965,-3.40468,0.468734,1.11122,0.460213,0.389836,0.81509,0.171477,0.828051,0.459341,0.421915,0.513342,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.943318,0.45199,0.510246,0.606914
28,2124.29,1,-4.39711,0.348025,3.29208,2.01648,-1.76923,0.525436,5.5284,0.513403,-1.72822,-1.90099,-3.34397,0.484821,1.08425,0.472975,0.39694,0.822979,0.173536,0.807084,0.468911,0.411231,0.500344,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.965968,0.454441,0.487913,0.612936
29,2121.03,1,-4.38092,0.345223,3.29262,2.02643,-1.76755,0.523787,5.52383,0.51177,-1.74881,-1.92267,-3.34157,0.520973,1.06217,0.484891,0.38689,0.84422,0.180028,0.786648,0.457038,0.400819,0.487675,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.963957,0.455758,0.50379,0.607904
30,2115.15,1,-4.38777,0.334048,3.27935,2.01567,-1.76792,0.523479,5.44169,0.50104,-1.75119,-1.95845,-3.33823,0.527004,1.07086,0.477858,0.383477,0.85263,0.180008,0.76673,0.445465,0.39067,0.518242,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.965781,0.452262,0.49639,0.604724
