pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.446003,0.419437,-1.72285,0.0419437,-0.118025,0.419437,All
-0.443828,0.421995,-1.72111,0.0421995,-0.115248,0.421995,All
-0.442807,0.424552,-1.71297,0.0424552,-0.113682,0.424552,All
-0.440165,0.42711,-1.71117,0.042711,-0.112075,0.42711,All
-0.437862,0.429668,-1.71098,0.0429668,-0.104719,0.429668,All
-0.437182,0.432225,-1.71003,0.0432225,-0.102543,0.432225,All
-0.435777,0.434783,-1.70943,0.0434783,-0.100012,0.434783,All
-0.435425,0.43734,-1.70687,0.043734,-0.0983582,0.43734,All
-0.435152,0.439898,-1.70493,0.0439898,-0.0963949,0.439898,All
-0.432692,0.442455,-1.699,0.0442455,-0.0955667,0.442455,All
-0.431779,0.445013,-1.69613,0.0445013,-0.0940109,0.445013,All
-0.430976,0.44757,-1.69554,0.044757,-0.0913925,0.44757,All
-0.429524,0.450128,-1.69411,0.0450128,-0.0900599,0.450128,All
-0.429185,0.452685,-1.69366,0.0452685,-0.0860069,0.452685,All
-0.429094,0.455243,-1.69249,0.0455243,-0.0834582,0.455243,All
-0.428046,0.457801,-1.69155,0.0457801,-0.077608,0.457801,All
-0.427556,0.460358,-1.68772,0.0460358,-0.0762044,0.460358,All
-0.427472,0.462916,-1.67978,0.0462916,-0.075925,0.462916,All
-0.426937,0.465473,-1.67758,0.0465473,-0.0707631,0.465473,All
-0.42589,0.468031,-1.67465,0.0468031,-0.0706489,0.468031,All
-0.425842,0.470588,-1.67456,0.0470588,-0.0696362,0.470588,All
-0.423283,0.473146,-1.67092,0.0473146,-0.0691951,0.473146,All
-0.422055,0.475703,-1.66922,0.0475703,-0.0682092,0.475703,All
-0.416513,0.478261,-1.66909,0.0478261,-0.0681428,0.478261,All
-0.416207,0.480818,-1.66763,0.0480818,-0.0595659,0.480818,All
-0.414709,0.483376,-1.66276,0.0483376,-0.0559402,0.483376,All
-0.414388,0.485934,-1.66143,0.0485934,-0.0541514,0.485934,All
-0.408166,0.488491,-1.65928,0.0488491,-0.0518509,0.488491,All
-0.407025,0.491049,-1.65812,0.0491049,-0.0513009,0.491049,All
-0.406787,0.493606,-1.65644,0.0493606,-0.0498841,0.493606,All
-0.406784,0.496164,-1.65534,0.0496164,-0.0485946,0.496164,All
-0.403239,0.498721,-1.65467,0.0498721,-0.0425231,0.498721,All
-0.402588,0.501279,-1.65382,0.0501279,-0.034459,0.501279,All
-0.400094,0.503836,-1.65293,0.0503836,-0.0338851,0.503836,All
-0.395283,0.506394,-1.65074,0.0506394,-0.033263,0.506394,All
-0.392352,0.508951,-1.64613,0.0508951,-0.0331607,0.508951,All
-0.392217,0.511509,-1.64522,0.0511509,-0.0321415,0.511509,All
-0.391907,0.514066,-1.64429,0.0514066,-0.0282747,0.514066,All
-0.389225,0.516624,-1.64223,0.0516624,-0.0241982,0.516624,All
-0.388492,0.519182,-1.64157,0.0519182,-0.021843,0.519182,All
-0.387712,0.521739,-1.64051,0.0521739,-0.0216685,0.521739,All
-0.385798,0.524297,-1.63898,0.0524297,-0.0209832,0.524297,All
-0.38429,0.526854,-1.63667,0.0526854,-0.0209269,0.526854,All
-0.372137,0.529412,-1.63619,0.0529412,-0.0206007,0.529412,All
-0.369615,0.531969,-1.63384,0.0531969,-0.0178066,0.531969,All
-0.367329,0.534527,-1.63236,0.0534527,-0.0162971,0.534527,All
-0.364398,0.537084,-1.62279,0.0537084,-0.0127523,0.537084,All
-0.349738,0.539642,-1.62157,0.0539642,-0.0126995,0.539642,All
-0.349301,0.542199,-1.61815,0.0542199,-0.00574155,0.542199,All
-0.347049,0.544757,-1.61813,0.0544757,-0.00337826,0.544757,All
-0.346078,0.547315,-1.61787,0.0547315,-0.00300372,0.547315,All
-0.345556,0.549872,-1.61588,0.0549872,-0.0013424,0.549872,All
-0.343309,0.55243,-1.61375,0.055243,0.00320345,0.55243,All
-0.322316,0.554987,-1.60995,0.0554987,0.0102905,0.554987,All
-0.313968,0.557545,-1.60949,0.0557545,0.0226677,0.557545,All
-0.313066,0.560102,-1.60806,0.0560102,0.0260288,0.560102,All
-0.311671,0.56266,-1.60774,0.056266,0.0272511,0.56266,All
-0.308644,0.565217,-1.6069,0.0565217,0.031407,0.565217,All
-0.303708,0.567775,-1.60462,0.0567775,0.0342673,0.567775,All
-0.300738,0.570332,-1.60461,0.0570332,0.0344518,0.570332,All
-0.295609,0.57289,-1.60246,0.057289,0.0498208,0.57289,All
-0.289363,0.575448,-1.60156,0.0575448,0.0504771,0.575448,All
-0.28592,0.578005,-1.60111,0.0578005,0.051836,0.578005,All
-0.283716,0.580563,-1.59686,0.0580563,0.0528284,0.580563,All
-0.283333,0.58312,-1.59422,0.058312,0.0529463,0.58312,All
-0.27724,0.585678,-1.59101,0.0585678,0.0569846,0.585678,All
-0.274953,0.588235,-1.59082,0.0588235,0.0708138,0.588235,All
-0.269998,0.590793,-1.58893,0.0590793,0.0714209,0.590793,All
-0.268117,0.59335,-1.58403,0.059335,0.0720727,0.59335,All
-0.267556,0.595908,-1.57898,0.0595908,0.0728806,0.595908,All
-0.253708,0.598465,-1.57804,0.0598465,0.0738491,0.598465,All
-0.252434,0.601023,-1.57667,0.0601023,0.0785657,0.601023,All
-0.251832,0.603581,-1.57584,0.0603581,0.0828062,0.603581,All
-0.237083,0.606138,-1.57468,0.0606138,0.0858983,0.606138,All
-0.228959,0.608696,-1.56842,0.0608696,0.0963348,0.608696,All
-0.228381,0.611253,-1.56601,0.0611253,0.0982725,0.611253,All
-0.227506,0.613811,-1.56556,0.0613811,0.100619,0.613811,All
-0.22513,0.616368,-1.56186,0.0616368,0.103377,0.616368,All
-0.221136,0.618926,-1.56117,0.0618926,0.123215,0.618926,All
-0.214887,0.621483,-1.56032,0.0621483,0.123754,0.621483,All
-0.212692,0.624041,-1.55878,0.0624041,0.130606,0.624041,All
-0.205696,0.626598,-1.55501,0.0626598,0.135519,0.626598,All
-0.201785,0.629156,-1.54904,0.0629156,0.13689,0.629156,All
-0.200391,0.631714,-1.54374,0.0631714,0.14139,0.631714,All
-0.196483,0.634271,-1.54341,0.0634271,0.143987,0.634271,All
-0.192841,0.636829,-1.54232,0.0636829,0.149195,0.636829,All
-0.191479,0.639386,-1.54164,0.0639386,0.149683,0.639386,All
-0.19105,0.641944,-1.53966,0.0641944,0.151486,0.641944,All
-0.184259,0.644501,-1.53885,0.0644501,0.159096,0.644501,All
-0.181274,0.647059,-1.5356,0.0647059,0.160317,0.647059,All
-0.176433,0.649616,-1.53481,0.0649616,0.163255,0.649616,All
-0.172059,0.652174,-1.52797,0.0652174,0.168496,0.652174,All
-0.170049,0.654731,-1.52509,0.0654731,0.170547,0.654731,All
-0.168822,0.657289,-1.52411,0.0657289,0.176811,0.657289,All
-0.164544,0.659847,-1.52399,0.0659847,0.184138,0.659847,All
-0.163955,0.662404,-1.52302,0.0662404,0.184303,0.662404,All
-0.159059,0.664962,-1.51905,0.0664962,0.188591,0.664962,All
-0.158393,0.667519,-1.51799,0.0667519,0.189719,0.667519,All
-0.156832,0.670077,-1.51697,0.0670077,0.195794,0.670077,All
-0.139165,0.672634,-1.5154,0.0672634,0.202409,0.672634,All
-0.138642,0.675192,-1.51373,0.0675192,0.212897,0.675192,All
-0.120367,0.677749,-1.51293,0.0677749,0.219592,0.677749,All
-0.107344,0.680307,-1.51241,0.0680307,0.221463,0.680307,All
-0.104725,0.682864,-1.50358,0.0682864,0.225848,0.682864,All
-0.103131,0.685422,-1.5034,0.0685422,0.229321,0.685422,All
-0.0924983,0.68798,-1.50274,0.068798,0.23971,0.68798,All
-0.0855009,0.690537,-1.5022,0.0690537,0.241699,0.690537,All
-0.0702671,0.693095,-1.5002,0.0693095,0.249802,0.693095,All
-0.0675291,0.695652,-1.49948,0.0695652,0.274656,0.695652,All
-0.0635485,0.69821,-1.4986,0.069821,0.277268,0.69821,All
-0.061832,0.700767,-1.49708,0.0700767,0.277278,0.700767,All
-0.0599712,0.703325,-1.49107,0.0703325,0.300757,0.703325,All
-0.0591536,0.705882,-1.49086,0.0705882,0.30244,0.705882,All
-0.0580584,0.70844,-1.4892,0.070844,0.317452,0.70844,All
-0.054375,0.710997,-1.47901,0.0710997,0.324581,0.710997,All
-0.0464977,0.713555,-1.47817,0.0713555,0.330916,0.713555,All
-0.0447214,0.716113,-1.47782,0.0716113,0.333953,0.716113,All
-0.0447214,0.71867,-1.47703,0.071867,0.336762,0.71867,All
-0.0447214,0.721228,-1.47436,0.0721228,0.345571,0.721228,All
-0.0420196,0.723785,-1.47129,0.0723785,0.347203,0.723785,All
-0.0387233,0.726343,-1.46621,0.0726343,0.35694,0.726343,All
-0.0366181,0.7289,-1.46337,0.07289,0.362825,0.7289,All
-0.0271499,0.731458,-1.46131,0.0731458,0.367225,0.731458,All
