iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
58,-3.51096,0.27514,1.94428,0.46301,2.74117,0.255941,1.87905,0.16376,-2.61016,0.507821,0.661849,0.1127,5.88413,0.695321,0.49848,0.228092,-2.12042,0.360326,-3.72723,0.242814
59,-3.51126,0.275634,1.94369,0.463085,2.74109,0.256369,1.87879,0.164216,-2.60958,0.509037,0.661767,0.112988,5.88237,0.694971,0.498602,0.229086,-2.12061,0.361115,-3.72689,0.242785
60,-3.51167,0.276313,1.94151,0.463769,2.74117,0.256663,1.87846,0.164821,-2.60872,0.510377,0.661626,0.113243,5.88098,0.694827,0.498757,0.229854,-2.12103,0.361768,-3.7264,0.242596
61,-3.51242,0.277051,1.93943,0.464703,2.74136,0.257149,1.8789,0.16479,-2.60742,0.511753,0.661498,0.113556,5.87923,0.695015,0.498853,0.230526,-2.12175,0.362076,-3.72561,0.242488
62,-3.51296,0.277701,1.93704,0.465562,2.74144,0.257477,1.87918,0.164627,-2.60636,0.513086,0.661375,0.113957,5.87773,0.69562,0.498855,0.23123,-2.12216,0.362642,-3.72497,0.242418
63,-3.51329,0.277915,1.93614,0.466757,2.74175,0.257694,1.87956,0.164453,-2.60548,0.514278,0.661252,0.114274,5.87622,0.696123,0.49887,0.231562,-2.12298,0.362949,-3.72418,0.242226
64,-3.51375,0.278273,1.9348,0.467955,2.74199,0.257584,1.88035,0.16423,-2.60442,0.51511,0.661089,0.114568,5.87554,0.696021,0.49875,0.231978,-2.1246,0.363706,-3.72356,0.242198
65,-3.51443,0.278656,1.933,0.468511,2.74212,0.257362,1.88116,0.1641,-2.60295,0.515647,0.660895,0.114739,5.87538,0.695315,0.498744,0.232015,-2.12573,0.364044,-3.72361,0.242377
66,-3.51521,0.279031,1.93124,0.469034,2.7426,0.257332,1.88184,0.164324,-2.60143,0.515919,0.660723,0.114904,5.87522,0.695272,0.498978,0.232189,-2.12728,0.364167,-3.72311,0.2427
67,-3.51624,0.279145,1.92978,0.469514,2.74308,0.257549,1.88247,0.163997,-2.59981,0.516244,0.660574,0.115064,5.87558,0.694996,0.499268,0.232451,-2.12838,0.364079,-3.72263,0.242945
68,-3.51709,0.279043,1.92901,0.469441,2.74312,0.257634,1.8831,0.163881,-2.59862,0.516612,0.660457,0.115173,5.87629,0.695208,0.499482,0.232795,-2.12919,0.364438,-3.72242,0.242981
69,-3.5177,0.279081,1.92782,0.469388,2.74338,0.257705,1.88341,0.163908,-2.59736,0.516603,0.660289,0.115302,5.8767,0.696297,0.499944,0.233345,-2.12935,0.364344,-3.72219,0.243264
70,-3.51847,0.278954,1.92719,0.46967,2.74342,0.257392,1.88416,0.163929,-2.59577,0.516811,0.660131,0.115337,5.8771,0.696551,0.500269,0.233739,-2.12981,0.36446,-3.72199,0.243417
71,-3.51936,0.279216,1.9265,0.470552,2.74313,0.257441,1.88495,0.163865,-2.5938,0.516692,0.659903,0.115344,5.87635,0.696148,0.500521,0.233862,-2.12985,0.364444,-3.72191,0.243503
72,-3.51987,0.279499,1.92655,0.471235,2.74289,0.257637,1.88554,0.163955,-2.59168,0.516596,0.659648,0.115296,5.87525,0.696027,0.500655,0.233876,-2.12984,0.364006,-3.72208,0.24366
73,-3.52031,0.279752,1.92553,0.472135,2.74251,0.258023,1.88585,0.164018,-2.58957,0.516708,0.659354,0.115342,5.87474,0.696023,0.500846,0.234028,-2.12968,0.364191,-3.72217,0.243796
74,-3.52034,0.279624,1.92566,0.473104,2.74224,0.258623,1.88663,0.163862,-2.58701,0.516791,0.659024,0.115335,5.87371,0.696196,0.501001,0.234406,-2.1298,0.364541,-3.72225,0.243854
