beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,q_exp_abscissa,q_exp_pdf,q_exp_cdf,ifn0_abscissa,ifn0_pdf,ifn0_cdf,split
-3.30927,0.457123,0.799122,12.8611,0.00338083,0.976083,3.37038,0.543995,0.78842,4.87636,0.0197383,0.983044,-1.80558,0.273255,0.646464,1.14582,0.0499772,0.995162,8.17326,0.0986139,0.688636,1.35407,0.0837287,0.96652,-1.21744,0.409878,0.807509,-4.16303,0.0122261,0.999906,1.09456,0.093988,0.978698,All
-3.27819,0.437573,0.813023,13.0544,0.00325552,0.976724,3.40079,0.518808,0.804581,4.94224,0.0182385,0.984294,-1.7518,0.269015,0.661048,1.15969,0.0434384,0.995809,8.27922,0.0986239,0.699086,1.37334,0.0793468,0.968091,-1.1844,0.39214,0.820761,-4.1561,0.00511881,0.999963,1.10962,0.0876465,0.980065,All
-3.24712,0.417788,0.826312,13.2476,0.00313619,0.977341,3.4312,0.493174,0.819969,5.00812,0.0168548,0.98545,-1.69802,0.264428,0.675394,1.17356,0.0377286,0.996371,8.38518,0.098617,0.709536,1.39261,0.0752164,0.969579,-1.15136,0.374251,0.833423,-4.14917,0.00203614,0.999986,1.12468,0.0817491,0.98134,All
-3.21605,0.397878,0.838985,13.4409,0.00302249,0.977936,3.46161,0.467278,0.834573,5.074,0.0155781,0.986518,-1.64423,0.259512,0.689485,1.18743,0.032748,0.996859,8.49114,0.0985911,0.719985,1.41188,0.0713221,0.970991,-1.11831,0.356303,0.845494,-4.14224,0.000769491,0.999995,1.13975,0.0762641,0.982529,All
-3.18498,0.377947,0.851038,13.6342,0.00291409,0.97851,3.49202,0.441298,0.848388,5.13988,0.0144001,0.987505,-1.59045,0.254291,0.703303,1.20131,0.0284074,0.997283,8.59711,0.0985438,0.730429,1.43115,0.0676491,0.972329,-1.08527,0.338385,0.856971,-4.13531,0.000276285,0.999998,1.15481,0.0711619,0.983639,All
-3.15391,0.358097,0.862472,13.8274,0.00281069,0.979063,3.52243,0.415404,0.861413,5.20576,0.0133132,0.988417,-1.53667,0.248785,0.716832,1.21518,0.0246281,0.99765,8.70307,0.0984727,0.740868,1.45042,0.0641839,0.973599,-1.05222,0.320581,0.867859,-4.12839,9.42475e-05,0.999999,1.16987,0.0664151,0.984675,All
-3.12283,0.338422,0.873293,14.0207,0.002712,0.979596,3.55284,0.389754,0.873655,5.27165,0.0123102,0.989261,-1.48289,0.243018,0.730059,1.22905,0.0213401,0.997968,8.80903,0.0983748,0.751297,1.46969,0.0609137,0.974804,-1.01918,0.302971,0.87816,-4.12146,3.0545e-05,1,1.18493,0.0619983,0.985641,All
-3.09176,0.31901,0.883506,14.2139,0.00261777,0.980111,3.58325,0.364495,0.885122,5.33753,0.0113845,0.990041,-1.4291,0.237015,0.742968,1.24293,0.0184819,0.998244,8.915,0.0982467,0.761715,1.48896,0.0578267,0.975948,-0.986134,0.285626,0.887884,-4.11453,9.40517e-06,1,1.19999,0.0578878,0.986544,All
-3.06069,0.299942,0.893121,14.4072,0.00252774,0.980608,3.61366,0.339762,0.895829,5.40341,0.0105303,0.990762,-1.37532,0.230798,0.755549,1.2568,0.015999,0.998483,9.02096,0.0980847,0.772117,1.50823,0.0549116,0.977034,-0.95309,0.268616,0.897041,-4.1076,2.75139e-06,1,1.21505,0.0540618,0.987386,All
-3.02962,0.281293,0.90215,14.6004,0.00244168,0.981089,3.64407,0.315675,0.905793,5.46929,0.00974176,0.99143,-1.32154,0.224394,0.767791,1.27067,0.0138438,0.99869,9.12692,0.0978845,0.7825,1.5275,0.0521582,0.978065,-0.920045,0.251999,0.905641,-4.10068,7.64706e-07,1,1.23011,0.0504999,0.988174,All
-2.99855,0.263129,0.910607,14.7937,0.00235938,0.981552,3.67448,0.292339,0.915036,5.53517,0.0090139,0.992047,-1.26776,0.217827,0.779683,1.28454,0.011974,0.998868,9.23289,0.0976414,0.79286,1.54677,0.0495567,0.979045,-0.887001,0.235832,0.9137,-4.09375,2.01927e-07,1,1.24517,0.0471832,0.988909,All
-2.96747,0.245509,0.918507,14.9869,0.00228065,0.982001,3.70489,0.269845,0.923581,5.60105,0.00834193,0.992619,-1.21398,0.211121,0.791219,1.29842,0.010353,0.999023,9.33885,0.0973496,0.803191,1.56604,0.0470979,0.979976,-0.853957,0.220162,0.921233,-4.08682,5.06586e-08,1,1.26023,0.0440944,0.989596,All
-2.9364,0.228482,0.92587,15.1802,0.00220528,0.982434,3.7353,0.24827,0.931457,5.66694,0.00772149,0.993147,-1.16019,0.204303,0.80239,1.31229,0.00894831,0.999157,9.44481,0.097003,0.813489,1.58531,0.0447733,0.980861,-0.820912,0.205029,0.928256,-4.07989,1.20745e-08,1,1.2753,0.0412173,0.990238,All
-2.90533,0.212093,0.932713,15.3734,0.0021331,0.982853,3.76571,0.227675,0.938691,5.73282,0.00714856,0.993637,-1.10641,0.197396,0.813193,1.32616,0.00773179,0.999272,9.55077,0.0965943,0.823747,1.60458,0.0425751,0.981702,-0.787868,0.190469,0.934789,-4.07297,2.73428e-09,1,1.29036,0.0385367,0.990838,All
-2.87426,0.196376,0.939057,15.5667,0.00206395,0.983259,3.79612,0.208108,0.945314,5.7987,0.00661941,0.99409,-1.05263,0.190425,0.823622,1.34004,0.00667871,0.999372,9.65674,0.096115,0.833957,1.62385,0.0404957,0.982502,-0.754824,0.17651,0.940851,-4.06604,5.88266e-10,1,1.30542,0.0360387,0.9914,All
-2.84319,0.181358,0.944923,15.7599,0.00199767,0.983651,3.82653,0.189602,0.951359,5.86458,0.00613064,0.99451,-0.998846,0.183413,0.833675,1.35391,0.00576754,0.999458,9.7627,0.0955556,0.844113,1.64311,0.0385281,0.983264,-0.721779,0.163173,0.946461,-4.05911,1.20244e-10,1,1.32048,0.0337105,0.991925,All
-2.81212,0.167061,0.950334,15.9532,0.00193412,0.984031,3.85694,0.172179,0.956857,5.93046,0.0056791,0.994899,-0.945064,0.176383,0.84335,1.36778,0.00497946,0.999532,9.86866,0.0949048,0.854205,1.66238,0.0366657,0.983988,-0.688735,0.150475,0.951642,-4.05218,2.33512e-11,1,1.33554,0.03154,0.992416,All
-2.78104,0.153497,0.955313,16.1464,0.00187315,0.984399,3.88735,0.155847,0.961842,5.99635,0.00526188,0.995259,-0.891282,0.169358,0.852648,1.38165,0.00429813,0.999597,9.97463,0.0941496,0.864222,1.68165,0.0349026,0.984677,-0.65569,0.138425,0.956413,-4.04525,4.30838e-12,1,1.3506,0.0295162,0.992876,All
-2.74997,0.140674,0.959881,16.3397,0.00181465,0.984755,3.91776,0.140604,0.966347,6.06223,0.00487631,0.995593,-0.8375,0.162359,0.861568,1.39553,0.00370929,0.999652,10.0806,0.0932748,0.874153,1.70092,0.0332328,0.985334,-0.622646,0.127028,0.960797,-4.03833,7.55224e-13,1,1.36566,0.0276287,0.993306,All
-2.7189,0.128593,0.964062,16.5329,0.00175848,0.9851,3.94817,0.126438,0.970404,6.12811,0.00451993,0.995902,-0.783717,0.155405,0.870113,1.4094,0.00320054,0.9997,10.1866,0.0922624,0.883985,1.72019,0.031651,0.985959,-0.589602,0.116284,0.964815,-4.0314,1.25775e-13,1,1.38072,0.0258679,0.993709,All
-2.68783,0.117248,0.96788,16.7262,0.00170453,0.985435,3.97858,0.113329,0.974047,6.19399,0.00419048,0.996189,-0.729935,0.148518,0.878285,1.42327,0.00276114,0.999741,10.2925,0.0910913,0.893701,1.73946,0.0301522,0.986554,-0.556557,0.106188,0.968489,-4.02447,1.99009e-14,1,1.39578,0.0242251,0.994086,All
-2.65676,0.106631,0.971356,16.9194,0.0016527,0.985759,4.00899,0.101248,0.977307,6.25987,0.00388586,0.996455,-0.676153,0.141714,0.886089,1.43715,0.00238172,0.999777,10.3985,0.0897362,0.903283,1.75873,0.0287316,0.987121,-0.523513,0.0967314,0.97184,-4.01754,2.99163e-15,1,1.41085,0.0226918,0.994439,All
-2.62568,0.0967273,0.974514,17.1127,0.00160289,0.986074,4.0394,0.0901594,0.980215,6.32575,0.00360415,0.996702,-0.62237,0.13501,0.89353,1.45102,0.00205419,0.999808,10.5044,0.0881671,0.91271,1.778,0.0273848,0.987662,-0.490469,0.087901,0.974889,-4.01062,4.27269e-16,1,1.42591,0.0212607,0.99477,All
-2.59461,0.0875191,0.977374,17.3059,0.00155499,0.986379,4.06981,0.0800237,0.9828,6.39164,0.00334359,0.99693,-0.568588,0.128423,0.900614,1.46489,0.00177152,0.999834,10.6104,0.0863478,0.921959,1.79727,0.0261075,0.988177,-0.457424,0.0796811,0.977656,-4.00369,2.22045e-16,1,1.44097,0.0199244,0.99508,All
-2.56354,0.078985,0.97996,17.4992,0.00150892,0.986675,4.10022,0.0707958,0.985091,6.45752,0.00310253,0.997143,-0.514806,0.121967,0.907346,1.47876,0.00152761,0.999857,10.7164,0.0842342,0.930999,1.81654,0.0248959,0.988668,-0.42438,0.0720531,0.980162,-3.99676,2.22045e-16,1,1.45603,0.0186765,0.99537,All
-2.53247,0.0711008,0.98229,17.6924,0.0014646,0.986962,4.13063,0.0624279,0.987115,6.5234,0.00287948,0.99734,-0.461023,0.115654,0.913736,1.49264,0.00131718,0.999877,10.8223,0.0817726,0.939798,1.83581,0.0237463,0.989137,-0.391336,0.0649957,0.982424,-3.98983,2.22045e-16,1,1.47109,0.0175108,0.995643,All
-2.5014,0.0638399,0.984384,17.8857,0.00142193,0.987241,4.16104,0.0548695,0.988896,6.58928,0.00267305,0.997522,-0.407241,0.109496,0.919789,1.50651,0.00113567,0.999894,10.9283,0.0788966,0.948314,1.85508,0.0226552,0.989584,-0.358291,0.058486,0.984463,-3.98291,2.22045e-16,1,1.48615,0.0164218,0.995898,All
-2.47032,0.0571739,0.986263,18.0789,0.00138085,0.987512,4.19145,0.048069,0.99046,6.65516,0.00248196,0.997692,-0.353459,0.103505,0.925516,1.52038,0.000979133,0.999908,11.0343,0.0755237,0.956501,1.87435,0.0216193,0.99001,-0.325247,0.0524995,0.986295,-3.97598,2.22045e-16,1,1.50121,0.015404,0.996138,All
-2.43925,0.0510731,0.987943,18.2722,0.00134129,0.987775,4.22186,0.041974,0.991827,6.72104,0.00230504,0.99785,-0.299677,0.0976883,0.930926,1.53426,0.000844144,0.999921,11.1402,0.07155,0.964299,1.89362,0.0206357,0.990417,-0.292202,0.0470103,0.987938,-3.96905,2.22045e-16,1,1.51627,0.0144527,0.996362,All
-2.40818,0.0455065,0.989442,18.4654,0.00130317,0.98803,4.25227,0.0365324,0.993019,6.78693,0.0021412,0.997996,-0.245894,0.0920548,0.936028,1.54813,0.000727752,0.999932,11.2462,0.0668437,0.971638,1.91289,0.0197014,0.990806,-0.259158,0.041992,0.989407,-3.96212,2.22045e-16,1,1.53133,0.0135633,0.996573,All
-2.37711,0.040443,0.990776,18.6587,0.00126643,0.988279,4.28268,0.0316925,0.994055,6.85281,0.00198945,0.998132,-0.192112,0.0866106,0.940831,1.562,0.000627404,0.999941,11.3521,0.0612361,0.978433,1.93216,0.0188138,0.991177,-0.226114,0.0374175,0.990718,-3.95519,2.22045e-16,1,1.5464,0.0127315,0.996771,All
-2.34604,0.035851,0.991961,18.8519,0.00123101,0.98852,4.31309,0.0274042,0.994952,6.91869,0.00184886,0.998259,-0.13833,0.0813612,0.945347,1.57587,0.000540896,0.999949,11.4581,0.0545106,0.984576,1.95143,0.0179702,0.991531,-0.193069,0.0332597,0.991885,-3.94827,2.22045e-16,1,1.56146,0.0119536,0.996957,All
-2.31497,0.0316991,0.993009,19.0452,0.00119686,0.988755,4.3435,0.0236189,0.995727,6.98457,0.00171859,0.998376,-0.0845474,0.0763106,0.949586,1.58975,0.000466324,0.999956,11.5641,0.0463917,0.989936,1.97069,0.0171684,0.99187,-0.160025,0.0294915,0.992921,-3.94134,2.22045e-16,1,1.57652,0.0112257,0.997132,All
-2.28389,0.0279564,0.993935,19.2384,0.00116391,0.988983,4.37391,0.0202901,0.996393,7.05045,0.00159786,0.998485,-0.0307651,0.0714617,0.953559,1.60362,0.000402044,0.999962,11.67,0.0365466,0.994347,1.98996,0.016406,0.992193,-0.126981,0.0260863,0.993838,-3.93441,2.22045e-16,1,1.59158,0.0105446,0.997296,All
