beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-3.53397,0.683333,1.92937,0.683333,3.22397,0.691667,2.42034,0.683333,-1.5052,0.691667,0.695312,0.683333,6.94968,0.683333,0.549269,0.691667,-1.55056,0.683333,-4.26707,0.683333,0.544003,0.683333,All
-3.50696,0.691667,1.99021,0.691667,3.22859,0.7,2.42702,0.691667,-1.47904,0.7,0.696322,0.691667,7.05623,0.691667,0.549872,0.7,-1.54683,0.691667,-4.26637,0.691667,0.552015,0.691667,All
-3.48915,0.7,2.05006,0.7,3.23086,0.708333,2.44951,0.7,-1.46644,0.708333,0.697537,0.7,7.06261,0.7,0.5637,0.708333,-1.53544,0.7,-4.26567,0.7,0.55628,0.7,All
-3.48741,0.708333,2.1715,0.708333,3.23726,0.716667,2.45416,0.708333,-1.46175,0.716667,0.699578,0.708333,7.21886,0.708333,0.56955,0.716667,-1.52881,0.708333,-4.26526,0.708333,0.563992,0.708333,All
-3.48482,0.716667,2.21566,0.716667,3.25828,0.725,2.46004,0.716667,-1.46156,0.725,0.705896,0.716667,7.28214,0.716667,0.575804,0.725,-1.51909,0.716667,-4.26513,0.716667,0.568875,0.716667,All
-3.48426,0.725,2.2514,0.725,3.26475,0.733333,2.471,0.725,-1.39695,0.733333,0.73413,0.725,7.53872,0.725,0.577339,0.733333,-1.50009,0.725,-4.26263,0.725,0.574967,0.725,All
-3.4732,0.733333,2.28192,0.733333,3.2689,0.741667,2.49099,0.733333,-1.36511,0.741667,0.735391,0.733333,7.69165,0.733333,0.580613,0.741667,-1.46609,0.733333,-4.26242,0.733333,0.580099,0.733333,All
-3.46803,0.741667,2.35322,0.741667,3.27757,0.75,2.52683,0.741667,-1.34493,0.75,0.737859,0.741667,7.6979,0.741667,0.581549,0.75,-1.46458,0.741667,-4.25946,0.741667,0.585111,0.741667,All
-3.46793,0.75,2.47008,0.75,3.28507,0.758333,2.56011,0.75,-1.32154,0.758333,0.738312,0.75,7.81086,0.75,0.593935,0.758333,-1.39611,0.75,-4.25499,0.75,0.612341,0.75,All
-3.45072,0.758333,2.55367,0.758333,3.2852,0.766667,2.57039,0.758333,-1.28944,0.766667,0.749721,0.758333,7.94061,0.758333,0.597213,0.766667,-1.3776,0.758333,-4.25468,0.758333,0.613947,0.758333,All
